dataset,source,relation_age,eligible_current_edges,carried_edges,carried_continued,carried_continuation_rate,new_edges,new_continued,new_continuation_rate,continuation_rate_difference,future_current_edges,informative
2091_basis,BTC_2024,30,3,2,0,0.0,1,0,0.0,0.0,0,1
2091_basis,BTC_2024,31,2,1,0,0.0,1,0,0.0,0.0,0,1
2091_basis,BTC_2024,32,2,2,1,0.5,0,0,0.0,0.5,1,0
2091_basis,BTC_2024,33,2,1,0,0.0,1,1,1.0,-1.0,1,1
2091_basis,BTC_2024,34,1,1,0,0.0,0,0,0.0,0.0,0,0
2091_basis,BTC_2024,36,2,1,1,1.0,1,1,1.0,0.0,2,1
2091_basis,BTC_2024,37,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2024,38,2,1,0,0.0,1,1,1.0,-1.0,1,1
2091_basis,BTC_2024,40,2,2,2,1.0,0,0,0.0,1.0,2,0
2091_basis,BTC_2024,43,2,2,2,1.0,0,0,0.0,1.0,2,0
2091_basis,BTC_2024,45,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2024,46,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2024,47,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2024,48,1,1,1,1.0,0,0,0.0,1.0,1,0
2091_basis,BTC_2025,3,2444,1370,886,0.6467153284671533,1074,729,0.6787709497206704,-0.03205562125351713,1615,1
2091_basis,BTC_2025,4,896,453,313,0.6909492273730684,443,315,0.7110609480812641,-0.02011172070819567,628,1
2091_basis,BTC_2025,5,301,122,104,0.8524590163934426,179,114,0.6368715083798883,0.2155875080135543,218,1
2091_basis,BTC_2025,6,107,42,37,0.8809523809523809,65,51,0.7846153846153846,0.09633699633699633,88,1
2091_basis,BTC_2025,7,100,35,31,0.8857142857142857,65,50,0.7692307692307693,0.1164835164835164,81,1
2091_basis,BTC_2025,8,60,31,31,1.0,29,22,0.7586206896551724,0.24137931034482762,53,1
2091_basis,BTC_2025,9,34,14,13,0.9285714285714286,20,14,0.7,0.22857142857142865,27,1
2091_basis,BTC_2025,10,43,18,15,0.8333333333333334,25,21,0.84,-0.006666666666666599,36,1
2091_basis,BTC_2025,11,28,17,17,1.0,11,11,1.0,0.0,28,1
2091_basis,BTC_2025,12,17,6,4,0.6666666666666666,11,3,0.2727272727272727,0.3939393939393939,7,1
2091_basis,BTC_2025,13,13,6,3,0.5,7,4,0.5714285714285714,-0.0714285714285714,7,1
