symbol_family,seed_class,seed_real_events,seed_null_events,seed_ratio,seed_field,follow_status,follow_events,follow_labels,follow_field,follow_reifung,follow_field_share,follow_mcm,boundary
dio_1ewh,real_deutlich_staerker,1684,940,1.612591,tragende_rekopplung,folge_stabil_feldgleich,1433,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;paxg2025_follow:1;xrp2025_follow:1;btc2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.530/0.154/0.702,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_00ja,real_deutlich_staerker,1764,1034,1.535636,tragende_rekopplung,folge_stabil_feldgleich,1284,doge2025:1;paxg2025:1;xrp2025_clean:1;doge2025_clean:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;xrp2025_follow:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.539/0.169/0.697,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1pij,real_deutlich_staerker,1368,217,5.674616,tragende_rekopplung,folge_stabil_feldgleich,1033,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.502/0.184/0.682,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0g2r,real_deutlich_staerker,1019,572,1.603571,tragende_rekopplung,folge_stabil_feldgleich,909,doge2025:1;doge2025_clean:1;xrp2025_clean:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;doge2025_follow:1;btc2025_follow:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.533/0.155/0.701,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0fe7,real_deutlich_staerker,726,381,1.715228,tragende_rekopplung,folge_stabil_feldgleich,636,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;paxg2025_follow:1;xrp2025_follow:1;btc2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.520/0.145/0.702,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1xrt,real_deutlich_staerker,697,374,1.677534,tragende_rekopplung,folge_stabil_feldgleich,567,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;paxg2025_follow:1;xrp2025_follow:1;doge2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.514/0.147/0.699,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_18v0,real_deutlich_staerker,590,218,2.436159,tragende_rekopplung,folge_stabil_feldgleich,501,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;paxg2025_follow:1;btc2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.481/0.191/0.669,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1v2w,real_deutlich_staerker,556,301,1.662717,tragende_rekopplung,folge_stabil_feldgleich,413,doge2025:1;xrp2025_clean:1;doge2025_clean:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;doge2025_follow:1;btc2025_follow:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.504/0.183/0.673,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_17dc,real_deutlich_staerker,380,223,1.533871,tragende_rekopplung,folge_stabil_feldgleich,317,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;sol2026_stable:1;btc2025_current:1;btc2025_follow:1;xrp2025_follow:1;doge2025_follow:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.513/0.150/0.699,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1ba6,real_deutlich_staerker,252,143,1.586261,tragende_rekopplung,folge_stabil_feldgleich,269,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;btc2025_follow:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.517/0.132/0.706,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1sub,real_deutlich_staerker,277,78,3.196651,tragende_rekopplung,folge_stabil_feldgleich,262,paxg2025:2;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;paxg2025_follow:1;doge2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.988550,0.457/0.207/0.655,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0v65,real_deutlich_staerker,364,211,1.552848,tragende_rekopplung,folge_stabil_feldgleich,253,xrp2025_clean:1;doge2025_clean:1;doge2025:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;doge2025_follow:1;btc2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.524/0.135/0.705,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0jsd,real_deutlich_staerker,328,136,2.170926,tragende_rekopplung,folge_stabil_feldgleich,242,btc2025_current:2;doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;sol2026_stable:1;paxg2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,0.995868,0.471/0.202/0.661,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_1i76,real_deutlich_staerker,230,95,2.179287,tragende_rekopplung,folge_stabil_feldgleich,211,doge2025:1;paxg2025:1;btc2025_current:1;xrp2025_clean:1;doge2025_clean:1;sol2026_stable:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.506/0.173/0.688,passive_real_strengthened_followworld_trace_no_action_no_direction
dio_0ein,real_deutlich_staerker,344,199,1.556021,tragende_rekopplung,folge_stabil_feldgleich,196,doge2025:1;doge2025_clean:1;paxg2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;xrp2025_follow:1,tragende_rekopplung,weltuebergreifend_feldstabil,1.000000,0.518/0.137/0.702,passive_real_strengthened_followworld_trace_no_action_no_direction
