sequence,scope,from_age,to_age,surviving_relations,from_edges_on_survivors,to_edges,persistent_edges,persistent_nodes,edge_jaccard,from_edge_retention,permutations,seed,null_mean_shared_edges,null_sd_shared_edges,null_max_shared_edges,observed_to_null_ratio,z_score,empirical_p_ge_observed
forward,event_cadence,3,5,601,2120,286,175,156,0.07844016136261767,0.08254716981132075,200,2087,3.05,1.7599715906798041,9,57.37704918032787,97.70044068358105,0.004975124378109453
forward,event_cadence,5,10,331,171,87,11,22,0.044534412955465584,0.06432748538011696,200,2087,0.32,0.5362835071116769,2,34.375,19.91483955477298,0.004975124378109453
forward,event_cadence,3,10,331,1389,87,16,32,0.010958904109589041,0.011519078473722102,200,2087,2.305,1.4703656007945778,7,6.941431670281995,9.314010061578763,0.004975124378109453
forward,breadth_growth,3,5,601,51950,25268,25230,410,0.48530430099253674,0.48565928777670836,200,2087,7261.79,678.5359798124193,9106,3.474349988088336,26.480850735383694,0.004975124378109453
forward,breadth_growth,5,10,331,6411,1888,1850,98,0.2868661808032253,0.28856652628295115,200,2087,216.82,66.17142585738954,389,8.532423208191126,24.68104591730841,0.004975124378109453
forward,breadth_growth,3,10,331,13117,1888,1861,120,0.14158551430310407,0.14187695357170085,200,2087,458.205,100.70954758611519,796,4.061500856603486,13.929116291585876,0.004975124378109453
forward,profile_growth,3,5,601,9070,2951,2897,258,0.31751424813678214,0.3194046306504961,200,2087,148.26,47.1804239065314,323,19.539997302036962,58.26018022740739,0.004975124378109453
forward,profile_growth,5,10,331,960,250,219,39,0.2209889001009082,0.228125,200,2087,4.26,3.7419780865205503,22,51.40845070422535,57.38676043388441,0.004975124378109453
forward,profile_growth,3,10,331,2602,250,225,51,0.08564902931100114,0.08647194465795542,200,2087,11.71,6.896803607469187,32,19.214346712211782,30.925920490038095,0.004975124378109453
reverse,event_cadence,3,5,574,1599,259,128,92,0.07398843930635839,0.08005003126954346,200,2087,2.43,1.5890563237343098,7,52.67489711934156,79.02174273150263,0.004975124378109453
reverse,event_cadence,5,10,334,157,85,10,12,0.04310344827586207,0.06369426751592357,200,2087,0.21,0.44260591952661454,2,47.61904761904762,22.118999245357614,0.004975124378109453
reverse,event_cadence,3,10,334,1086,85,15,22,0.012975778546712802,0.013812154696132596,200,2087,1.545,1.3221100559333174,7,9.708737864077671,10.176913744523112,0.004975124378109453
reverse,breadth_growth,3,5,574,53057,23305,23272,407,0.4383499717460915,0.4386226134157604,200,2087,7516.945,677.3831131457293,9762,3.095938576110375,23.25870647532739,0.004975124378109453
reverse,breadth_growth,5,10,334,5361,1766,1730,97,0.3205484528441727,0.32270098862152585,200,2087,176.6,62.393669550684386,467,9.796149490373725,24.896756532938383,0.004975124378109453
reverse,breadth_growth,3,10,334,14175,1766,1739,115,0.12244754259963385,0.12268077601410934,200,2087,438.105,105.4912507035536,722,3.9693680738635715,12.331780989645408,0.004975124378109453
reverse,profile_growth,3,5,574,7004,1784,1730,234,0.2451119297251346,0.24700171330668189,200,2087,76.33,27.117542292766874,174,22.664745185379275,60.98155880597953,0.004975124378109453
reverse,profile_growth,5,10,334,468,118,89,32,0.1790744466800805,0.19017094017094016,200,2087,1.015,1.2746666230822865,7,87.68472906403942,69.02589148152512,0.004975124378109453
reverse,profile_growth,3,10,334,1973,118,94,42,0.04707060590886329,0.0476431829700963,200,2087,4.205,2.9074000412739904,19,22.35434007134364,30.884982708004927,0.004975124378109453
