dataset,scope,strata,minimum_age,maximum_age,movement_selected_pairs,movement_selected_retained,movement_selected_retention_rate,not_selected_pairs,not_selected_retained,not_selected_retention_rate,retention_rate_difference,retention_rate_ratio,mantel_haenszel_common_odds_ratio,label_null_expected_selected_retained,label_null_sd,label_null_z_score,label_null_analytic_one_sided_p
2091_basis,all,45,2,46,72404,40076,0.5535053311971714,110367,55938,0.5068362825844682,0.04666904861270316,1.0920791391940758,1.201033809730579,38551.15616116482,91.22633353155965,16.7149525778942,5.100053587207564e-63
2091_basis,without_age_2,44,3,46,21104,11480,0.543972706595906,82071,41600,0.506878190834765,0.03709451576114098,1.0731823077652067,1.1716653908997696,10879.989268356134,61.57328289904843,9.744660401291336,9.72139245473226e-23
2091_basis,from_age_5,42,5,46,5117,2599,0.5079147938245065,46939,23824,0.5075523551843882,0.00036243864011831217,1.0007140911403842,1.0070399089810558,2591.190360836269,33.38893848214539,0.2338989952587774,0.40753169662324007
2091_basis,age_2_4,3,2,4,67287,37477,0.5569723720778159,63428,32114,0.5063063631203885,0.050666008957427455,1.1000698641138353,1.234266617477312,35959.965800328544,84.8965412525556,17.869210892331726,1.0243592813706009e-71
2091_basis,age_5_10,6,5,10,4172,2037,0.48825503355704697,36901,18340,0.4970055012059294,-0.008750467648882432,0.9823936201356919,0.9926871391144289,2043.753042952198,30.34430417894117,-0.22254729956485922,0.5880560717121236
2091_basis,age_11_plus,36,11,46,945,562,0.5947089947089947,10038,5484,0.5463239689181112,0.04838502579088355,1.088564713510009,1.078340063995819,547.4373178840708,13.92998265829443,1.045419974536582,0.147914454433215
2092_holdout,all,38,2,41,55031,31894,0.5795642456070215,93972,49410,0.5257949176350403,0.053769327971981196,1.1022629283178105,1.237506522197418,30514.137983584103,80.5010287640306,17.14092400558793,3.67368718722519e-66
2092_holdout,without_age_2,37,3,41,14075,8061,0.5727175843694494,68555,35952,0.5244256436437896,0.04829194072565979,1.0920853915344795,1.2384977269719828,7503.422843391567,51.18000798816897,10.894432778074703,6.126382767459672e-28
2092_holdout,from_age_5,35,5,41,1813,1040,0.573634859349145,31103,16865,0.5422306529916728,0.03140420635747221,1.0579166931714472,1.060631357733439,1016.2399599543676,20.1572806096231,1.1787324146437372,0.11925237198109791
2092_holdout,age_2_4,3,2,4,53218,30854,0.5797662445037394,62869,32545,0.5176637134358746,0.062102531067864786,1.119966938875575,1.2502998948242126,29497.898023629743,77.93651051010814,17.400085883937216,4.118966117010558e-68
2092_holdout,age_5_10,6,5,10,1284,729,0.5677570093457944,25571,13613,0.5323608775566071,0.035396131789187324,1.0664889800911856,1.1128097677747737,697.1777564481705,17.33204692985987,1.8360349288580413,0.03317624547283484
2092_holdout,age_11_plus,29,11,41,529,311,0.5879017013232514,5532,3252,0.5878524945770065,4.920674624486754e-05,1.000083705941029,0.9265666687875422,319.062203506197,10.291555314733646,-0.7833804764820116,0.7832981412564584
