dataset,prefix_ticks,source_identities,universe_a_targets,universe_b_targets,source_target_paths,zero_universe_a_profiles,zero_universe_b_profiles,minimum_universe_a_transition_observations,maximum_universe_a_transition_observations,minimum_universe_b_transition_observations,maximum_universe_b_transition_observations,a_to_b_mean_identity_auc,a_to_b_median_identity_rank,a_to_b_unique_nearest,a_to_b_label_null_mean_auc,a_to_b_label_null_max_auc,a_to_b_auc_label_p,b_to_a_mean_identity_auc,b_to_a_median_identity_rank,b_to_a_unique_nearest,b_to_a_label_null_mean_auc,b_to_a_label_null_max_auc,b_to_a_auc_label_p,mutual_nearest_edges,same_source_mutual_edges_posthoc,same_source_edge_share_posthoc,same_source_identity_coverage_posthoc,edge_label_null_permutations,edge_label_null_mean_same_source_edges,edge_label_null_max_same_source_edges,same_source_edge_label_p,profile_uses_only_consecutive_field_states,profile_used_reset_field,graph_used_source_label,graph_used_asset_or_year,field_learning_used,memory_read,memory_written,influences_action
2091_basis,1,48,8,8,768,0,0,20,82,24,91,0.9756205673758865,1.0,22,0.5005639258851396,0.6429521276595744,0.000244081034903588,0.975177304964539,1.0,20,0.4999286840993462,0.6764184397163121,0.000244081034903588,32,20,0.625,20,4096,0.69189453125,6,0.000244081034903588,1,0,0,0,0,0,0,0
2091_basis,2,48,8,8,768,0,0,51,112,62,133,0.9758421985815603,1.0,24,0.4999975650868517,0.6411790780141844,0.000244081034903588,0.9663120567375887,1.0,21,0.4995954256531195,0.6351950354609929,0.000244081034903588,31,20,0.6451612903225806,20,4096,0.669921875,4,0.000244081034903588,1,0,0,0,0,0,0,0
2091_basis,4,48,8,8,768,0,0,101,164,114,189,0.9663120567375887,2.0,23,0.5004192379349512,0.6496010638297872,0.000244081034903588,0.9589982269503546,2.0,21,0.5003053922179743,0.6546985815602837,0.000244081034903588,17,12,0.7058823529411765,12,4096,0.365478515625,4,0.000244081034903588,1,0,0,0,0,0,0,0
2091_basis,8,48,8,8,768,0,0,213,279,263,342,0.8047429078014184,6.5,4,0.4991435598819814,0.59552304964539,0.000244081034903588,0.7302748226950354,11.0,4,0.4995217830576795,0.5948581560283688,0.000244081034903588,4,1,0.25,1,4096,0.07861328125,3,0.07566512082011227,1,0,0,0,0,0,0,0
2091_basis,16,48,8,8,768,0,0,475,543,564,650,0.8074024822695035,6.5,4,0.5001478262826906,0.5904255319148937,0.000244081034903588,0.65447695035461,15.5,1,0.5002775259897219,0.5669326241134752,0.000244081034903588,2,0,0.0,0,4096,0.036865234375,2,1.0,1,0,0,0,0,0,0,0
2091_basis,32,48,8,8,768,0,0,1000,1070,1026,1112,0.6478280141843972,13.0,4,0.4999386401886636,0.5649379432624113,0.000244081034903588,0.5833333333333334,17.5,1,0.5000989115830009,0.5350177304964538,0.000244081034903588,1,0,0.0,0,4096,0.022705078125,1,1.0,1,0,0,0,0,0,0,0
2091_basis,64,48,8,8,768,0,0,1972,2042,1892,1978,0.5217198581560284,21.0,1,0.5001116272405529,0.5148492907801419,0.000244081034903588,0.518395390070922,21.0,1,0.4999633139752327,0.5150709219858156,0.000244081034903588,1,0,0.0,0,4096,0.026123046875,1,1.0,1,0,0,0,0,0,0,0
2092_holdout,1,44,8,8,704,0,0,14,85,13,88,0.9764799154334038,1.0,20,0.49938971295669266,0.6286997885835095,0.000244081034903588,0.9754228329809725,1.0,17,0.4998856719906184,0.6461416490486258,0.000244081034903588,32,15,0.46875,15,4096,0.7216796875,5,0.000244081034903588,1,0,0,0,0,0,0,0
2092_holdout,2,44,8,8,704,0,0,33,104,37,116,0.9674947145877378,2.0,18,0.4994969438548824,0.63107822410148,0.000244081034903588,0.9677589852008457,1.0,15,0.4999616110803713,0.6501057082452432,0.000244081034903588,24,15,0.625,15,4096,0.54345703125,5,0.000244081034903588,1,0,0,0,0,0,0,0
2092_holdout,4,44,8,8,704,0,0,73,147,103,184,0.9577167019027484,2.0,19,0.49965979029713925,0.6321353065539111,0.000244081034903588,0.9534883720930233,2.0,17,0.5005393804505814,0.6593551797040169,0.000244081034903588,18,14,0.7777777777777778,14,4096,0.40966796875,4,0.000244081034903588,1,0,0,0,0,0,0,0
2092_holdout,8,44,8,8,704,0,0,160,251,263,346,0.9043340380549683,3.0,13,0.4996128203248877,0.6242071881606766,0.000244081034903588,0.9246828752642706,3.0,10,0.49952817114412656,0.641384778012685,0.000244081034903588,10,3,0.3,3,4096,0.22119140625,3,0.00122040517451794,1,0,0,0,0,0,0,0
2092_holdout,16,44,8,8,704,0,0,451,548,473,569,0.8205602536997886,7.0,7,0.499783215512685,0.6326638477801269,0.000244081034903588,0.7851479915433404,5.5,8,0.5008397818115751,0.5975158562367865,0.000244081034903588,3,3,1.0,3,4096,0.072509765625,2,0.000244081034903588,1,0,0,0,0,0,0,0
2092_holdout,32,44,8,8,704,0,0,1009,1103,972,1076,0.7071881606765328,13.0,3,0.49981573318578226,0.5853594080338266,0.000244081034903588,0.7473572938689218,5.5,7,0.4998746392086747,0.5853594080338266,0.000244081034903588,2,2,1.0,2,4096,0.040771484375,2,0.000976324139614352,1,0,0,0,0,0,0,0
2092_holdout,64,44,8,8,704,0,0,1945,2041,1923,2027,0.797568710359408,6.0,6,0.5002556895604849,0.6078224101479915,0.000244081034903588,0.834830866807611,5.5,10,0.4999423843609606,0.6075581395348837,0.000244081034903588,4,2,0.5,2,4096,0.098876953125,2,0.005125701732975348,1,0,0,0,0,0,0,0
