dataset,worlds,relations,event_rows,phase,shared_relation_comparisons,depth_changes,depth_change_share,absolute_depth_change_sum,mean_absolute_depth_change,mean_world_depth_change_share,moved_shallower,moved_deeper,worlds_with_depth_change,depth_change_null_mean,depth_change_observed_minus_null,depth_change_two_sided_p,absolute_change_null_mean,absolute_change_observed_minus_null,absolute_change_two_sided_p,mean_world_depth_change_null_mean,mean_world_depth_change_observed_minus_null,mean_world_depth_change_two_sided_p,worlds_above_null_mean,worlds_below_null_mean,worlds_equal_null_mean,future_event_reads,additional_memory_required,read_by_mini_dio,influences_field,influences_action
2091_basis,64,2580,10092,all,70469,57140,0.8108529991911337,120735,1.7133065603314932,0.8297759563770243,24559,32581,62,0.8101946955398828,0.0006583036512509688,0.9702970297029703,1.7826503852757951,-0.06934382494430191,0.693069306930693,0.8144707686275185,0.015305187749505733,0.693069306930693,50,12,0,0,0,0,0,0
2092_holdout,60,1932,7807,all,53191,41350,0.7773871519617981,85385,1.6052527683254687,0.8252855294926783,14695,26655,58,0.7745064014588934,0.0028807505029047054,0.9306930693069307,1.6046925231712132,0.0005602451542554565,1.0,0.7858287887618408,0.03945674073083749,0.27722772277227725,49,9,0,0,0,0,0,0
