holdout_label,symbol_family,field_contact_class,events,distinct_symbols,runs,top_symbols,avg_carry,avg_strain,avg_rekopplung
adapted_sideways,dio_104t,tragende_rekopplung,1200,1,dio_mini_lauf_1:600;dio_mini_lauf_2:600,dio_104t4us:1200,0.5736919908333333,0.14922350583333333,0.721803545
adapted_sideways,dio_155c,tragende_rekopplung,964,1,dio_mini_lauf_1:482;dio_mini_lauf_2:482,dio_155c3g6:964,0.5659293983402489,0.1560753848547718,0.7166226566390042
adapted_sideways,dio_0m9z,tragende_rekopplung,812,1,dio_mini_lauf_1:406;dio_mini_lauf_2:406,dio_0m9zys3:812,0.5593375763546798,0.16486641256157636,0.7092770677339901
adapted_sideways,dio_0l7p,tragende_rekopplung,708,1,dio_mini_lauf_1:354;dio_mini_lauf_2:354,dio_0l7pvdk:708,0.5772125790960452,0.13577680508474577,0.7283998305084746
adapted_sideways,dio_0h9h,tragende_rekopplung,624,1,dio_mini_lauf_1:312;dio_mini_lauf_2:312,dio_0h9h06p:624,0.5732571169871795,0.13764510737179486,0.726480078525641
sol_quiet_fp,dio_104t,tragende_rekopplung,541,1,dio_mini_lauf_6:541,dio_104t4us:541,0.5871996173752311,0.16181354898336414,0.7245487948243993
sol_quiet_fp,dio_0l7p,tragende_rekopplung,464,1,dio_mini_lauf_6:464,dio_0l7pvdk:464,0.5939098620689656,0.15004703448275863,0.7319218038793104
adapted_sideways,dio_00ja,tragende_rekopplung,356,1,dio_mini_lauf_1:178;dio_mini_lauf_2:178,dio_00jaski:356,0.5513589831460675,0.16163580898876403,0.7036118483146068
adapted_sideways,dio_14wj,tragende_rekopplung,352,1,dio_mini_lauf_1:176;dio_mini_lauf_2:176,dio_14wjmk5:352,0.5754482357954546,0.12379711931818181,0.7322521988636363
adapted_sideways,dio_00ly,tragende_rekopplung,340,1,dio_mini_lauf_1:170;dio_mini_lauf_2:170,dio_00lyjkf:340,0.5671905764705882,0.13562785294117646,0.7244448264705883
adapted_sideways,dio_0oc3,tragende_rekopplung,336,1,dio_mini_lauf_1:168;dio_mini_lauf_2:168,dio_0oc3c1g:336,0.538395943452381,0.17069199404761906,0.6993945238095238
adapted_sideways,dio_17ct,tragende_rekopplung,326,1,dio_mini_lauf_1:163;dio_mini_lauf_2:163,dio_17ctp0f:326,0.5634161993865031,0.14680686809815952,0.7195081319018405
adapted_sideways,dio_1ewh,tragende_rekopplung,324,1,dio_mini_lauf_1:162;dio_mini_lauf_2:162,dio_1ewh8ej:324,0.5553697530864198,0.1477978024691358,0.7132059814814815
sol_quiet_fp,dio_14wj,tragende_rekopplung,309,1,dio_mini_lauf_6:309,dio_14wjmk5:309,0.5971961521035599,0.14227520388349515,0.7364244401294499
adapted_sideways,dio_0obq,tragende_rekopplung,284,1,dio_mini_lauf_1:142;dio_mini_lauf_2:142,dio_0obqjqx:284,0.5461502147887324,0.15685825,0.7080743556338028
adapted_sideways,dio_0pz6,tragende_rekopplung,272,1,dio_mini_lauf_1:136;dio_mini_lauf_2:136,dio_0pz659c:272,0.5715432022058824,0.13107723529411763,0.7286367242647059
sol_quiet_fp,dio_155c,tragende_rekopplung,261,1,dio_mini_lauf_6:261,dio_155c3g6:261,0.5782953448275862,0.16948937931034483,0.7192693946360154
adapted_sideways,dio_06s7,tragende_rekopplung,260,1,dio_mini_lauf_1:130;dio_mini_lauf_2:130,dio_06s7dt1:260,0.5704603076923077,0.12281593846153846,0.7312620769230769
adapted_sideways,dio_1lsu,tragende_rekopplung,254,1,dio_mini_lauf_1:127;dio_mini_lauf_2:127,dio_1lsuk2g:254,0.5526018700787402,0.15122918503937008,0.7123766496062992
adapted_sideways,dio_1kpz,tragende_rekopplung,246,1,dio_mini_lauf_1:123;dio_mini_lauf_2:123,dio_1kpzc2b:246,0.5711566910569106,0.12383528048780487,0.7310400162601626
sol_quiet_fp,dio_0m9z,tragende_rekopplung,239,1,dio_mini_lauf_6:239,dio_0m9zys3:239,0.5724074518828451,0.18029673640167365,0.7106306527196653
sol_quiet_fp,dio_0h9h,tragende_rekopplung,223,1,dio_mini_lauf_6:223,dio_0h9h06p:223,0.5872595156950673,0.15633384753363228,0.7272417219730941
adapted_sideways,dio_04uf,tragende_rekopplung,222,1,dio_mini_lauf_1:111;dio_mini_lauf_2:111,dio_04ufc5f:222,0.5435205045045045,0.16625666666666666,0.6998608378378378
adapted_sideways,dio_19pg,tragende_rekopplung,212,1,dio_mini_lauf_1:106;dio_mini_lauf_2:106,dio_19pgsid:212,0.5472516556603774,0.1588670141509434,0.7026270613207547
sol_quiet_rand,dio_104t,tragende_rekopplung,212,1,dio_mini_lauf_1:106;dio_mini_lauf_2:106,dio_104t4us:212,0.561659287735849,0.15020555188679247,0.7167515566037735
adapted_sideways,dio_0g2r,tragende_rekopplung,210,1,dio_mini_lauf_1:105;dio_mini_lauf_2:105,dio_0g2rowx:210,0.5509703333333333,0.14632316666666667,0.7103835380952381
adapted_sideways,dio_1q85,tragende_rekopplung,200,1,dio_mini_lauf_1:100;dio_mini_lauf_2:100,dio_1q85toi:200,0.548816085,0.158665665,0.70723532
adapted_sideways,dio_09bn,tragende_rekopplung,192,1,dio_mini_lauf_1:96;dio_mini_lauf_2:96,dio_09bnon2:192,0.5672591197916667,0.12737489583333333,0.7286070260416667
adapted_sideways,dio_1gp2,tragende_rekopplung,192,1,dio_mini_lauf_1:96;dio_mini_lauf_2:96,dio_1gp2pvj:192,0.549913234375,0.14861640104166668,0.70902015625
adapted_sideways,dio_05yg,tragende_rekopplung,178,1,dio_mini_lauf_1:89;dio_mini_lauf_2:89,dio_05ygwfa:178,0.534782988764045,0.17547384269662922,0.6915303820224719
adapted_sideways,dio_0jkk,tragende_rekopplung,170,1,dio_mini_lauf_1:85;dio_mini_lauf_2:85,dio_0jkk2ux:170,0.5286776529411765,0.17809345294117648,0.6874099470588235
sol_quiet_rand,dio_155c,tragende_rekopplung,170,1,dio_mini_lauf_1:85;dio_mini_lauf_2:85,dio_155c3g6:170,0.5530234411764706,0.1551309705882353,0.7113954764705882
adapted_sideways,dio_06er,tragende_rekopplung,168,1,dio_mini_lauf_1:84;dio_mini_lauf_2:84,dio_06er2zu:168,0.5712284464285714,0.1206481488095238,0.7336670892857143
adapted_sideways,dio_0tay,tragende_rekopplung,168,1,dio_mini_lauf_1:84;dio_mini_lauf_2:84,dio_0tay831:168,0.5571118988095238,0.1398614880952381,0.7182224226190477
adapted_sideways,dio_169a,tragende_rekopplung,168,1,dio_mini_lauf_1:84;dio_mini_lauf_2:84,dio_169a3rv:168,0.5343456607142857,0.1684429345238095,0.6978263392857142
sol_quiet_rand,dio_0m9z,tragende_rekopplung,168,1,dio_mini_lauf_1:84;dio_mini_lauf_2:84,dio_0m9zys3:168,0.5464559226190476,0.16353563095238094,0.7042589345238095
adapted_sideways,dio_17db,tragende_rekopplung,162,1,dio_mini_lauf_1:81;dio_mini_lauf_2:81,dio_17dbo1q:162,0.5261378827160493,0.18027057407407407,0.6889013888888889
adapted_sideways,dio_12fw,tragende_rekopplung,160,1,dio_mini_lauf_1:80;dio_mini_lauf_2:80,dio_12fw7j0:160,0.534906425,0.16810089375,0.69458890625
adapted_sideways,dio_0dd2,tragende_rekopplung,158,1,dio_mini_lauf_1:79;dio_mini_lauf_2:79,dio_0dd2ogm:158,0.5613297911392405,0.13321034810126584,0.724239335443038
adapted_sideways,dio_1jc2,tragende_rekopplung,158,1,dio_mini_lauf_1:79;dio_mini_lauf_2:79,dio_1jc244o:158,0.5701458291139241,0.11263220253164558,0.7342072848101265
adapted_sideways,dio_1492,tragende_rekopplung,156,1,dio_mini_lauf_1:78;dio_mini_lauf_2:78,dio_1492fc4:156,0.5726000961538461,0.11817864743589744,0.7347953269230769
adapted_sideways,dio_0kx9,tragende_rekopplung,150,1,dio_mini_lauf_1:75;dio_mini_lauf_2:75,dio_0kx9346:150,0.56884024,0.11329108,0.73356352
adapted_sideways,dio_07uk,tragende_rekopplung,144,1,dio_mini_lauf_1:72;dio_mini_lauf_2:72,dio_07uk8bo:144,0.5572452569444445,0.13623711111111111,0.7211725694444444
adapted_sideways,dio_0nlj,tragende_rekopplung,140,1,dio_mini_lauf_1:70;dio_mini_lauf_2:70,dio_0nljypu:140,0.5691706714285715,0.11649235714285715,0.7337799071428571
sol_quiet_rand,dio_0h9h,tragende_rekopplung,140,1,dio_mini_lauf_1:70;dio_mini_lauf_2:70,dio_0h9h06p:140,0.5622117357142857,0.13878151428571428,0.7221147857142857
sol_quiet_rand,dio_0l7p,tragende_rekopplung,140,1,dio_mini_lauf_1:70;dio_mini_lauf_2:70,dio_0l7pvdk:140,0.5630075071428572,0.13421312142857142,0.72356405
sol_quiet_fp,dio_06er,tragende_rekopplung,134,1,dio_mini_lauf_6:134,dio_06er2zu:134,0.5949157462686567,0.1409362686567164,0.7378495820895522
adapted_sideways,dio_1u5i,tragende_rekopplung,128,1,dio_mini_lauf_1:64;dio_mini_lauf_2:64,dio_1u5il5a:128,0.5542840078125,0.1281034765625,0.7208600390625
sol_quiet_fp,dio_06s7,tragende_rekopplung,125,1,dio_mini_lauf_6:125,dio_06s7dt1:125,0.590151576,0.144833216,0.73340784
sol_quiet_fp,dio_00ly,tragende_rekopplung,124,1,dio_mini_lauf_6:124,dio_00lyjkf:124,0.582994814516129,0.1555905,0.7261172983870968
