left_world,right_world,representation,motif_length,left_unique,right_unique,shared_unique,set_jaccard,weighted_jaccard
real_anchor,real_follow,node_identity,2,27,20,3,0.06818181818181818,0.06382978723404255
real_anchor,real_follow,node_identity,3,27,21,1,0.02127659574468085,0.02127659574468085
real_anchor,real_follow,node_identity,4,26,20,0,0.0,0.0
real_anchor,real_follow,episode_state,2,2,2,2,1.0,0.7857142857142857
real_anchor,real_follow,episode_state,3,2,2,2,1.0,0.7777777777777778
real_anchor,real_follow,episode_state,4,2,2,2,1.0,0.7692307692307693
real_anchor,null_shuffle,node_identity,2,27,24,8,0.18604651162790697,0.18181818181818182
real_anchor,null_shuffle,node_identity,3,27,23,0,0.0,0.0
real_anchor,null_shuffle,node_identity,4,26,22,0,0.0,0.0
real_anchor,null_shuffle,episode_state,2,2,2,2,1.0,0.8571428571428571
real_anchor,null_shuffle,episode_state,3,2,2,2,1.0,0.8518518518518519
real_anchor,null_shuffle,episode_state,4,2,2,2,1.0,0.8461538461538461
real_anchor,null_random,node_identity,2,27,18,6,0.15384615384615385,0.14285714285714285
real_anchor,null_random,node_identity,3,27,19,3,0.06976744186046512,0.06976744186046512
real_anchor,null_random,node_identity,4,26,18,0,0.0,0.0
real_anchor,null_random,episode_state,2,2,2,2,1.0,0.7142857142857143
real_anchor,null_random,episode_state,3,2,2,2,1.0,0.7037037037037037
real_anchor,null_random,episode_state,4,2,2,2,1.0,0.6923076923076923
real_follow,null_shuffle,node_identity,2,20,24,3,0.07317073170731707,0.06976744186046512
real_follow,null_shuffle,node_identity,3,21,23,0,0.0,0.0
real_follow,null_shuffle,node_identity,4,20,22,0,0.0,0.0
real_follow,null_shuffle,episode_state,2,2,2,2,1.0,0.9166666666666666
real_follow,null_shuffle,episode_state,3,2,2,2,1.0,0.9130434782608695
real_follow,null_shuffle,episode_state,4,2,2,2,1.0,0.9090909090909091
real_follow,null_random,node_identity,2,20,18,5,0.15151515151515152,0.13513513513513514
real_follow,null_random,node_identity,3,21,19,1,0.02564102564102564,0.02564102564102564
real_follow,null_random,node_identity,4,20,18,0,0.0,0.0
real_follow,null_random,episode_state,2,2,2,2,1.0,0.9090909090909091
real_follow,null_random,episode_state,3,2,2,2,1.0,0.9047619047619048
real_follow,null_random,episode_state,4,2,2,2,1.0,0.9
null_shuffle,null_random,node_identity,2,24,18,6,0.16666666666666666,0.15789473684210525
null_shuffle,null_random,node_identity,3,23,19,0,0.0,0.0
null_shuffle,null_random,node_identity,4,22,18,0,0.0,0.0
null_shuffle,null_random,episode_state,2,2,2,2,1.0,0.8333333333333334
null_shuffle,null_random,episode_state,3,2,2,2,1.0,0.8260869565217391
null_shuffle,null_random,episode_state,4,2,2,2,1.0,0.8181818181818182
