role_family,component,response_symbol,response_axis,observations,evidence_sources,mean_value,median_value,population_stdev,median_absolute_deviation,minimum_value,maximum_value,positive_observations,negative_observations,zero_observations,positive_share,negative_share,observation_directional_persistence,mean_null_percentile,source_positive_means,source_negative_means,source_zero_means,source_directional_persistence,source_mean_range,source_sign_switches,source_ids,source_mean_path,source_sign_path,axis_observation_persistence_percentile,axis_source_persistence_percentile,axis_mad_percentile,axis_source_range_percentile
rf_17,wick,dio_rresponse_07ykzww,member_coverage,6,2,-0.0694445,-0.041667,0.0781570284144896,0.041667,-0.222222,0.0,0,4,2,0.0,0.6666666666666666,0.6666666666666666,0.3383333333333334,0,2,0,1.0,0.083333,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.111111;-0.027778,-1;-1,0.546875,0.6875,0.703125,0.703125
rf_21,volume,dio_rresponse_080724q,continuity,6,2,-0.06760516666666666,-0.0673225,0.029406205282880158,0.0265785,-0.112333,-0.027222,0,6,0,0.0,1.0,1.0,0.3,0,2,0,1.0,0.016165666666666675,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.059522;-0.075688,-1;-1,0.796875,0.609375,0.515625,0.203125
rf_21,volume,dio_rresponse_080724q,event_share,6,2,-0.0002655,-8.350000000000001e-05,0.0008685364605664712,0.0007260000000000001,-0.001677,0.000782,3,3,0,0.5,0.5,0.0,0.14,1,1,0,0.0,0.001537,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.000503;-0.001034,1;-1,0.046875,0.125,0.703125,0.765625
rf_21,volume,dio_rresponse_080724q,member_coverage,6,2,-0.0555555,-0.05555550000000001,0.036746399001580186,0.027777500000000004,-0.111111,0.0,0,5,1,0.0,0.8333333333333334,0.8333333333333334,0.3833333333333333,0,2,0,1.0,0.02777766666666666,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.041667;-0.069444,-1;-1,0.6875,0.6875,0.5,0.234375
rf_21,sign,dio_rresponse_08d5azh,continuity,6,2,-0.056507833333333334,-0.0365785,0.05895063210409386,0.0364345,-0.162127,0.009551,1,5,0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.3383333333333334,0,2,0,1.0,0.09428099999999999,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.009367;-0.103648,-1;-1,0.46875,0.609375,0.703125,0.859375
rf_21,sign,dio_rresponse_08d5azh,event_share,6,2,-0.001048,-0.001034,0.0008715268211592803,0.0007959999999999999,-0.002292,0.000168,1,5,0,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.4658333333333333,0,2,0,1.0,0.0015926666666666667,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.000252;-0.001844,-1;-1,0.53125,0.65625,0.765625,0.796875
rf_21,sign,dio_rresponse_08d5azh,member_coverage,6,2,-0.0555555,-0.027778,0.08058740430478782,0.0486115,-0.194444,0.027778,2,3,1,0.3333333333333333,0.5,0.16666666666666666,0.4025,1,1,0,0.0,0.138889,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.013889;-0.125000,1;-1,0.265625,0.140625,0.765625,0.890625
rf_07,volume,dio_rresponse_0c15fbo,continuity,6,2,-0.0074164999999999995,-0.007216,0.001989615603577736,0.0017355,-0.010546,-0.004616,0,6,0,0.0,1.0,1.0,0.625,0,2,0,1.0,0.003175666666666666,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,-0.005829;-0.009004,-1;-1,0.796875,0.609375,0.046875,0.109375
rf_07,volume,dio_rresponse_0c15fbo,event_share,6,2,0.0032695000000000003,0.00394,0.0011811378341808096,0.00019600000000000043,0.00095,0.004192,6,0,0,1.0,0.0,1.0,0.92,2,0,0,1.0,0.001509,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.002515;0.004024,1;1,0.84375,0.65625,0.328125,0.734375
rf_07,volume,dio_rresponse_0c15fbo,member_coverage,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,6,0.0,0.0,0.0,0.6708333333333333,0,0,2,0.0,0.0,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo,0.000000;0.000000,0;0,0.09375,0.140625,0.0625,0.0625
rf_08,sign,dio_rresponse_0ehk2v5,continuity,11,3,0.051191181818181816,0.049802,0.05448593865279402,0.041171,-0.045238,0.135516,9,2,0,0.8181818181818182,0.18181818181818182,0.6363636363636364,0.8427272727272728,3,0,0,1.0,0.09005726666666666,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo;2081_2024_2025_30m_holdout,0.072464;0.099500;0.009442,1;1;1,0.328125,0.609375,0.734375,0.828125
rf_08,sign,dio_rresponse_0ehk2v5,event_share,11,3,0.00047254545454545455,0.000503,0.0001296900946917575,5.599999999999995e-05,0.000112,0.000615,11,0,0,1.0,0.0,1.0,0.8786363636363637,3,0,0,1.0,0.00016766666666666666,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo;2081_2024_2025_30m_holdout,0.000363;0.000531;0.000503,1;1;1,0.84375,0.65625,0.015625,0.21875
rf_08,sign,dio_rresponse_0ehk2v5,member_coverage,11,3,0.05934336363636364,0.083333,0.06099942168618967,0.05555500000000001,-0.055556,0.138889,9,2,0,0.8181818181818182,0.18181818181818182,0.6363636363636364,0.8545454545454545,3,0,0,1.0,0.0972222,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo;2081_2024_2025_30m_holdout,0.083333;0.111111;0.013889,1;1;1,0.484375,0.6875,0.796875,0.734375
rf_05,volume,dio_rresponse_0gpsabe,continuity,21,5,0.021909857142857144,0.028253,0.06268434461747566,0.032635,-0.076825,0.169994,13,8,0,0.6190476190476191,0.38095238095238093,0.23809523809523808,0.8566666666666667,4,1,0,0.6,0.1654758,1,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo;2081_2024_2025_30m_holdout;2083_2024_2025_5m_rf05_volume_holdout;2086_2024_2025_5m_orientation_holdout,0.008394;0.032738;0.109501;0.013816;-0.055975,1;1;1;1;-1,0.140625,0.203125,0.640625,0.953125
rf_05,volume,dio_rresponse_0gpsabe,event_share,21,5,0.004333047619047619,0.003968,0.001398637959083611,0.0007829999999999998,0.002683,0.008719,21,0,0,1.0,0.0,1.0,1.0,5,0,0,1.0,0.0024869999999999996,0,2079_2025_1h15m_matched_pseudo;2080_2024_1h15m_matched_pseudo;2081_2024_2025_30m_holdout;2083_2024_2025_5m_rf05_volume_holdout;2086_2024_2025_5m_orientation_holdout,0.004052;0.004807;0.003968;0.005701;0.003214,1;1;1;1;1,0.84375,0.65625,0.734375,0.921875
