symbol_family,holdout_label,field_contact_class,events,distinct_symbols,top_symbols,avg_carry,avg_strain,avg_rekopplung,boundary
dio_17j2,btc_random,tragende_rekopplung,3,1,dio_17j2u81:3,0.490,0.141,0.698,single_family_passive_role_trace_no_action_no_direction
dio_17j2,btc_shuffle,tragende_rekopplung,2,1,dio_17j2u81:2,0.485,0.134,0.695,single_family_passive_role_trace_no_action_no_direction
dio_17j2,doge_random,tragende_rekopplung,2,1,dio_17j2u81:2,0.479,0.139,0.696,single_family_passive_role_trace_no_action_no_direction
dio_17j2,doge_shuffle,tragende_rekopplung,1,1,dio_17j2u81:1,0.456,0.151,0.678,single_family_passive_role_trace_no_action_no_direction
dio_17j2,paxg_random,tragende_rekopplung,13,1,dio_17j2u81:13,0.544,0.137,0.724,single_family_passive_role_trace_no_action_no_direction
dio_17j2,paxg_shuffle,tragende_rekopplung,3,1,dio_17j2u81:3,0.498,0.131,0.701,single_family_passive_role_trace_no_action_no_direction
dio_17j2,xrp_random,tragende_rekopplung,2,1,dio_17j2u81:2,0.483,0.135,0.699,single_family_passive_role_trace_no_action_no_direction
