sequence,checkpoint_signature,trajectory_points,relations,exact_raw_fingerprints,singleton_fingerprints,largest_exact_class,largest_exact_class_share,raw_equivalence_edges
forward,60-81,2,639,92,67,344,0.5383411580594679,63271
forward,40-60-81,3,470,197,168,145,0.30851063829787234,11555
forward,20-40-60-81,4,242,190,179,26,0.10743801652892562,401
forward,10-20-40-60-81,5,240,214,206,11,0.04583333333333333,89
reverse,60-81,2,613,99,74,350,0.5709624796084829,63580
reverse,40-60-81,3,507,206,180,194,0.3826429980276134,19521
reverse,20-40-60-81,4,231,186,173,24,0.1038961038961039,320
reverse,10-20-40-60-81,5,190,177,172,7,0.03684210526315789,32
