passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal,response_symbol,observation_symbol,family_symbol,role_family,component,members,member_symbols,evidence_id,evidence_path,context_group,world_year_profile,timeframe_profile,asset_profile,real_worlds,control_worlds,phase_offsets,delta_continuity,delta_event_share,delta_member_coverage,pseudo_mean_delta_continuity,pseudo_mean_delta_event_share,pseudo_mean_delta_member_coverage,percentile_continuity,percentile_event_share,percentile_member_coverage,mean_match_distance,median_source_event_ratio,caution_note
1,0,0,0,0,0,0,dio_rresponse_1o57ww3,dio_rrstate_0igdqj0,dio_rfamily_1lqxgk9,rf_05,magnitude,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2079_2025_1h15m_matched_pseudo,docs/befunde/2001-3000/2079_ROLLENFAMILIEN_GEMATCHE_PSEUDOFAMILIEN.summary.csv,overall,2025,1h;15m,BTC;SOL,12,36,17;83;251,-0.00875,-0.001872,0.003472,-0.033307,-0.001423,-0.082014,0.98,0.295,1.0,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
1,0,0,0,0,0,0,dio_rresponse_1o57ww3,dio_rrstate_1wi9d9b,dio_rfamily_1lqxgk9,rf_05,magnitude,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2079_2025_1h15m_matched_pseudo,docs/befunde/2001-3000/2079_ROLLENFAMILIEN_GEMATCHE_PSEUDOFAMILIEN.summary.csv,timeframe:15m,2025,15m,BTC;SOL,6,18,17;83;251,-0.072093,-0.003912,-0.055556,-0.059441,0.000345,-0.133958,0.31,0.0,0.94,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
1,0,0,0,0,0,0,dio_rresponse_1o57ww3,dio_rrstate_0abpe43,dio_rfamily_1lqxgk9,rf_05,magnitude,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2079_2025_1h15m_matched_pseudo,docs/befunde/2001-3000/2079_ROLLENFAMILIEN_GEMATCHE_PSEUDOFAMILIEN.summary.csv,timeframe:1h,2025,1h,BTC;SOL,6,18,17;83;251,0.061285,0.000168,0.0625,-0.006373,-0.00319,-0.030069,1.0,1.0,1.0,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
1,0,0,0,0,0,0,dio_rresponse_1o57ww3,dio_rrstate_1271jqk,dio_rfamily_1lqxgk9,rf_05,magnitude,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2080_2024_1h15m_matched_pseudo,docs/befunde/2001-3000/2080_RF08_SIGN_GEMATCHTER_CROSSYEAR_KONTRAST.summary.csv,overall,2024,1h;15m,BTC;SOL,12,36,17;83;251,0.042564,0.000391,0.041667,-0.007002,-0.001209,-0.030243,1.0,0.97,1.0,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
1,0,0,0,0,0,0,dio_rresponse_1o57ww3,dio_rrstate_116ui0z,dio_rfamily_1lqxgk9,rf_05,magnitude,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2080_2024_1h15m_matched_pseudo,docs/befunde/2001-3000/2080_RF08_SIGN_GEMATCHTER_CROSSYEAR_KONTRAST.summary.csv,timeframe:15m,2024,15m,BTC;SOL,6,18,17;83;251,0.086154,0.000503,0.076389,-0.008952,-0.002165,-0.035278,1.0,1.0,1.0,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
1,0,0,0,0,0,0,dio_rresponse_1o57ww3,dio_rrstate_135l7i0,dio_rfamily_1lqxgk9,rf_05,magnitude,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2080_2024_1h15m_matched_pseudo,docs/befunde/2001-3000/2080_RF08_SIGN_GEMATCHTER_CROSSYEAR_KONTRAST.summary.csv,timeframe:1h,2024,1h,BTC;SOL,6,18,17;83;251,-0.001512,0.000279,0.006944,-0.00552,-0.000254,-0.025208,0.62,0.685,0.745,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
1,0,0,0,0,0,0,dio_rresponse_04au0hp,dio_rrstate_0xin47w,dio_rfamily_1lqxgk9,rf_05,sign,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2079_2025_1h15m_matched_pseudo,docs/befunde/2001-3000/2079_ROLLENFAMILIEN_GEMATCHE_PSEUDOFAMILIEN.summary.csv,overall,2025,1h;15m,BTC;SOL,12,36,17;83;251,-0.038441,-0.003409,-0.048611,-0.020295,-0.00147,-0.057882,0.12,0.0,0.605,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
1,0,0,0,0,0,0,dio_rresponse_04au0hp,dio_rrstate_14trcok,dio_rfamily_1lqxgk9,rf_05,sign,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2079_2025_1h15m_matched_pseudo,docs/befunde/2001-3000/2079_ROLLENFAMILIEN_GEMATCHE_PSEUDOFAMILIEN.summary.csv,timeframe:15m,2025,15m,BTC;SOL,6,18,17;83;251,-0.088097,-0.003409,-0.069444,-0.033652,0.001483,-0.068889,0.01,0.0,0.53,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
1,0,0,0,0,0,0,dio_rresponse_04au0hp,dio_rrstate_0sba2nh,dio_rfamily_1lqxgk9,rf_05,sign,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2079_2025_1h15m_matched_pseudo,docs/befunde/2001-3000/2079_ROLLENFAMILIEN_GEMATCHE_PSEUDOFAMILIEN.summary.csv,timeframe:1h,2025,1h,BTC;SOL,6,18,17;83;251,0.016456,-0.003409,-0.027778,-0.00529,-0.004424,-0.046875,0.9,0.74,0.705,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
1,0,0,0,0,0,0,dio_rresponse_04au0hp,dio_rrstate_0rsk43u,dio_rfamily_1lqxgk9,rf_05,sign,8,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein;dio_0u24;dio_0qup,2080_2024_1h15m_matched_pseudo,docs/befunde/2001-3000/2080_RF08_SIGN_GEMATCHTER_CROSSYEAR_KONTRAST.summary.csv,overall,2024,1h;15m,BTC;SOL,12,36,17;83;251,-0.0272,-0.001593,-0.024306,-0.009444,-0.0024,-0.032361,0.09,0.91,0.575,0.231218,0.982687,passive_numeric_family_component_response_not_actionable
