dataset,kind,support,structures,instances,collision_pairs
2091_basis,transition_edge,1,326,326,0
2091_basis,transition_edge,2,139,278,139
2091_basis,transition_edge,3,91,273,273
2091_basis,transition_edge,4,51,204,306
2091_basis,transition_edge,5,35,175,350
2091_basis,transition_edge,6,42,252,630
2091_basis,transition_edge,7,37,259,777
2091_basis,transition_edge,8,22,176,616
2091_basis,transition_edge,9,25,225,900
2091_basis,transition_edge,10,12,120,540
2091_basis,transition_edge,11,17,187,935
2091_basis,transition_edge,12,14,168,924
2091_basis,transition_edge,13,16,208,1248
2091_basis,transition_edge,14,12,168,1092
2091_basis,transition_edge,15,6,90,630
2091_basis,transition_edge,16,9,144,1080
2091_basis,transition_edge,17,10,170,1360
2091_basis,transition_edge,18,6,108,918
2091_basis,transition_edge,19,4,76,684
2091_basis,transition_edge,20,4,80,760
2091_basis,transition_edge,21,2,42,420
2091_basis,transition_edge,22,6,132,1386
2091_basis,transition_edge,23,8,184,2024
2091_basis,transition_edge,24,2,48,552
2091_basis,transition_edge,25,3,75,900
2091_basis,transition_edge,26,6,156,1950
2091_basis,transition_edge,27,3,81,1053
2091_basis,transition_edge,28,5,140,1890
2091_basis,transition_edge,30,1,30,435
2091_basis,transition_edge,31,6,186,2790
2091_basis,transition_edge,32,3,96,1488
2091_basis,transition_edge,34,2,68,1122
2091_basis,transition_edge,35,3,105,1785
2091_basis,transition_edge,37,2,74,1332
2091_basis,transition_edge,38,1,38,703
2091_basis,transition_edge,39,3,117,2223
2091_basis,transition_edge,40,1,40,780
2091_basis,transition_edge,41,2,82,1640
2091_basis,transition_edge,42,2,84,1722
2091_basis,transition_edge,43,2,86,1806
2091_basis,transition_edge,44,2,88,1892
2091_basis,transition_edge,45,2,90,1980
2091_basis,transition_edge,46,1,46,1035
2091_basis,transition_edge,47,1,47,1081
2091_basis,transition_edge,48,2,96,2256
2091_basis,transition_edge,50,1,50,1225
2091_basis,transition_edge,51,1,51,1275
2091_basis,transition_edge,52,3,156,3978
2091_basis,transition_edge,53,1,53,1378
2091_basis,transition_edge,55,3,165,4455
2091_basis,transition_edge,57,2,114,3192
2091_basis,transition_edge,58,1,58,1653
2091_basis,transition_edge,59,1,59,1711
2091_basis,transition_edge,60,1,60,1770
2091_basis,transition_edge,61,2,122,3660
2091_basis,transition_edge,63,1,63,1953
2091_basis,transition_edge,64,2,128,4032
2091_basis,transition_edge,67,1,67,2211
2091_basis,transition_edge,68,1,68,2278
2091_basis,transition_edge,69,1,69,2346
2091_basis,transition_edge,71,1,71,2485
2091_basis,transition_edge,72,1,72,2556
2091_basis,transition_edge,82,1,82,3321
2091_basis,transition_edge,86,1,86,3655
2091_basis,two_step_path,1,1474,1474,0
2091_basis,two_step_path,2,358,716,358
2091_basis,two_step_path,3,149,447,447
2091_basis,two_step_path,4,103,412,618
2091_basis,two_step_path,5,72,360,720
2091_basis,two_step_path,6,37,222,555
2091_basis,two_step_path,7,26,182,546
2091_basis,two_step_path,8,32,256,896
2091_basis,two_step_path,9,13,117,468
2091_basis,two_step_path,10,17,170,765
2091_basis,two_step_path,11,10,110,550
2091_basis,two_step_path,12,15,180,990
2091_basis,two_step_path,13,6,78,468
2091_basis,two_step_path,14,5,70,455
2091_basis,two_step_path,15,7,105,735
2091_basis,two_step_path,16,2,32,240
2091_basis,two_step_path,17,3,51,408
2091_basis,two_step_path,18,3,54,459
2091_basis,two_step_path,19,5,95,855
2091_basis,two_step_path,20,6,120,1140
2091_basis,two_step_path,21,3,63,630
2091_basis,two_step_path,22,7,154,1617
2091_basis,two_step_path,23,4,92,1012
2091_basis,two_step_path,24,2,48,552
2091_basis,two_step_path,25,2,50,600
2091_basis,two_step_path,26,1,26,325
2091_basis,two_step_path,27,1,27,351
2091_basis,two_step_path,28,2,56,756
2091_basis,two_step_path,29,2,58,812
2091_basis,two_step_path,31,1,31,465
2091_basis,two_step_path,32,2,64,992
2091_basis,two_step_path,34,3,102,1683
2091_basis,two_step_path,35,1,35,595
2091_basis,two_step_path,36,1,36,630
2091_basis,two_step_path,38,2,76,1406
2091_basis,two_step_path,43,1,43,903
2091_basis,two_step_path,46,1,46,1035
2091_basis,two_step_path,50,1,50,1225
2092_holdout,transition_edge,1,249,249,0
2092_holdout,transition_edge,2,122,244,122
2092_holdout,transition_edge,3,80,240,240
2092_holdout,transition_edge,4,61,244,366
2092_holdout,transition_edge,5,32,160,320
2092_holdout,transition_edge,6,28,168,420
2092_holdout,transition_edge,7,19,133,399
2092_holdout,transition_edge,8,20,160,560
