dataset,analysis_kind,universe_scope,source_key_posthoc,opportunities,realized_replacement_events,resample_mutable_replacement_events,edge_instances_from_mutable_events,edge_instances,unique_edges,recurring_edges,maximum_edge_support,observed_collision_pairs,null_collision_mean,null_collision_min,null_collision_max,collision_delta,empirical_upper_p,permutations,source_labels_used_by_topology,opportunities_a,opportunities_b,edge_instances_a,edge_instances_b,observed_cross_edge_matches,null_cross_mean,null_cross_min,null_cross_max,cross_match_delta
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|0,262,40,0,0,40,18,13,5,37,37,37,37,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|10000,257,40,0,0,40,20,14,5,29,29,29,29,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|11000,240,28,0,0,28,16,5,5,23,23,23,23,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|12000,268,42,0,0,42,21,13,4,32,32,32,32,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|13000,249,40,0,0,40,19,13,5,33,33,33,33,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|14000,269,45,0,0,45,20,14,6,46,46,46,46,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|15000,284,44,0,0,44,21,15,5,37,37,37,37,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|2000,260,42,0,0,42,20,15,5,32,32,32,32,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|3000,263,43,0,0,43,19,14,5,41,41,41,41,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|5000,269,43,0,0,43,21,15,4,31,31,31,31,0,1.0,200,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,all,2091_basis|BTC|2024|6000,265,46,0,0,46,19,13,5,50,50,50,50,0,1.0,200,0,,,,,,,,,
