dataset,previous_gap,predictions,conditional_history_known,conditional_history_known_share,conditional_mean_percentile_score,global_mean_percentile_score,relation_mean_percentile_score,conditional_minus_global_mean,conditional_minus_relation_mean,conditional_better_than_global,conditional_equal_to_global,conditional_worse_than_global,conditional_global_nontie_win_share,conditional_better_than_relation,conditional_equal_to_relation,conditional_worse_than_relation
2091_basis,1,2458,2454,0.9983726606997559,0.9244862912844791,0.923701402820877,0.8579170544766056,0.0007848884636021538,0.06656923680787362,101,2264,93,0.520618556701031,819,1385,254
2091_basis,2,1200,1189,0.9908333333333333,0.8778517146131793,0.8777615450613628,0.7768733534902105,9.016955181654582e-05,0.10097836112296897,72,1035,93,0.43636363636363634,577,335,288
2091_basis,3,611,609,0.9967266775777414,0.8666085860185393,0.8692011909396494,0.7396649911479779,-0.0025926049211101904,0.1269435948705614,75,470,66,0.5319148936170213,330,144,137
2091_basis,4,448,446,0.9955357142857143,0.834715621892851,0.8415146889312902,0.6974219722565268,-0.00679906703843931,0.13729364963632418,110,216,122,0.47413793103448276,257,58,133
2091_basis,5,313,311,0.9936102236421726,0.8332073602803592,0.8505370518208182,0.6805695318388322,-0.017329691540458953,0.15263782844152704,74,151,88,0.4567901234567901,189,46,78
2091_basis,6,246,244,0.991869918699187,0.8271475068761843,0.8410744867995082,0.6561214225312318,-0.013926979923323908,0.17102608434495248,49,126,71,0.4083333333333333,153,29,64
2091_basis,7,181,177,0.9779005524861878,0.8406738705584236,0.8618348827894823,0.6806680905420173,-0.021161012231058672,0.1600057800164064,53,58,70,0.43089430894308944,115,15,51
2091_basis,8,162,161,0.9938271604938271,0.7723814897692368,0.8071174912387933,0.6202363899049104,-0.034736001469556486,0.15214509986432645,37,60,65,0.3627450980392157,92,13,57
2091_basis,9,109,107,0.981651376146789,0.7654924482249305,0.8262839313574075,0.5865294983753316,-0.060791483132477106,0.17896294984959882,37,6,66,0.3592233009708738,63,13,33
2091_basis,10,80,77,0.9625,0.7626814198917768,0.813653178893117,0.600960450381769,-0.05097175900134007,0.16172096951000783,27,5,48,0.36,44,8,28
2091_basis,11,65,58,0.8923076923076924,0.6904704312852086,0.8181580489662771,0.5545712527992536,-0.1276876176810685,0.1358991784859551,17,2,46,0.2698412698412698,36,3,26
2091_basis,12,74,73,0.9864864864864865,0.7282082177157642,0.7531250825465222,0.5404104686515677,-0.024916864830758015,0.18779774906419644,36,2,36,0.5,41,8,25
2091_basis,13,50,49,0.98,0.7131654983135246,0.7835932390433165,0.564131384231423,-0.07042774072979183,0.1490341140821017,13,2,35,0.2708333333333333,25,6,19
2091_basis,14,56,54,0.9642857142857143,0.7590318495794502,0.8145388544219951,0.5228072532196814,-0.05550700484254497,0.23622459635976883,13,14,29,0.30952380952380953,37,2,17
2091_basis,15,38,37,0.9736842105263158,0.6122861967019332,0.7411444754130513,0.6267519710361286,-0.12885827871111805,-0.014465774334195393,6,3,29,0.17142857142857143,11,5,22
2091_basis,16,26,25,0.9615384615384616,0.5470571231198762,0.6822789227141454,0.5026712626408982,-0.13522179959426922,0.0443858604789779,8,0,18,0.3076923076923077,8,8,10
2091_basis,17,20,11,0.55,0.546560428180494,0.626199814439946,0.49264786900477686,-0.07963938625945205,0.05391255917571709,9,0,11,0.45,12,1,7
2091_basis,18,39,37,0.9487179487179487,0.6379979445828458,0.854678630685815,0.5878808604214455,-0.21668068610296917,0.05011708416140026,0,3,36,0.0,16,2,21
2091_basis,19,19,18,0.9473684210526315,0.6964737197424178,0.8274915923115369,0.5267375079701949,-0.13101787256911912,0.16973621177222284,5,3,11,0.3125,14,1,4
2091_basis,20,10,6,0.6,0.482713963963964,0.6150022618772619,0.5795264976514977,-0.1322882979132979,-0.09681253368753369,2,0,8,0.2,3,1,6
2091_basis,21,10,7,0.7,0.6181332556332556,0.8032651072124757,0.5185967297809403,-0.18513185157922,0.09953652585231534,1,0,9,0.1,6,1,3
2091_basis,22,15,10,0.6666666666666666,0.5933010735094069,0.7760499281332615,0.5418934960601627,-0.18274885462385462,0.05140757744924413,2,0,13,0.13333333333333333,10,1,4
