dataset,control,observed_statistic,null_mean,null_sd,null_min,null_max,empirical_p_ge_observed,permutations,seed
2091_basis,age_stratified_movement_selection_label,40076,38551.1415,89.81899842321779,38291,38875,0.0004997501249375312,2000,2095
2091_basis,next_age_synchrony_graph_relation_identity,0.04666904861270316,0.04890740880414326,0.007858098768456263,0.0284674084297126,0.06740227206969421,0.582089552238806,200,2096
2092_holdout,age_stratified_movement_selection_label,31894,30514.3485,80.33425824484844,30245,30787,0.0004997501249375312,2000,2097
2092_holdout,next_age_synchrony_graph_relation_identity,0.053769327971981196,0.05561741941134407,0.009467997036420522,0.030318450244831402,0.08475029664519673,0.6019900497512438,200,2098
