sequence,position,relations,max_pareto_depth,layer_one_relations,history_entries,memory_size_bytes
forward,10,240,20,1,240,4507552
forward,20,482,36,2,722,6164534
forward,40,952,53,2,1674,8758223
forward,60,1591,66,2,3265,11173151
forward,81,2046,77,2,5311,13133069
reverse,10,190,23,1,190,4280600
reverse,20,421,34,1,611,5958538
reverse,40,928,55,2,1539,8645197
reverse,60,1541,66,2,3080,11010314
reverse,81,2085,75,2,5165,13189448
