dataset,prefix_ticks,profile_component,source_identities,source_target_paths,all_path_ticks_neuron_relabel_invariant,a_to_b_mean_identity_auc,a_to_b_median_identity_rank,a_to_b_unique_nearest,a_to_b_label_null_max_auc,a_to_b_auc_label_p,b_to_a_mean_identity_auc,b_to_a_median_identity_rank,b_to_a_unique_nearest,b_to_a_label_null_max_auc,b_to_a_auc_label_p,mutual_nearest_edges,same_source_mutual_edges_posthoc,edge_label_null_permutations,edge_label_null_mean_same_source_edges,edge_label_null_max_same_source_edges,same_source_edge_label_p,event_uses_neuron_identity,event_uses_fixed_threshold,event_uses_global_field_mean,event_available_during_contact,production_field_modified,memory_written,influences_action,viranz_parameter_used
2091_basis,1,count,48,768,1,0.7240691489361702,6.5,2,0.6376329787234043,0.000244081034903588,0.714095744680851,6.0,4,0.6409574468085106,0.000244081034903588,81,8,4096,1.666015625,7,0.000244081034903588,0,0,0,1,0,0,0,0
2091_basis,1,delta,48,768,1,0.8280141843971631,3.5,5,0.6538120567375887,0.000244081034903588,0.8306737588652482,3.5,3,0.6285460992907801,0.000244081034903588,56,8,4096,1.181396484375,8,0.000488162069807176,0,0,0,1,0,0,0,0
2091_basis,1,combined,48,768,1,0.8311170212765957,2.5,9,0.6411790780141844,0.000244081034903588,0.8175975177304965,2.5,10,0.6307624113475178,0.000244081034903588,46,14,4096,0.95654296875,7,0.000244081034903588,0,0,0,1,0,0,0,0
2091_basis,2,count,48,768,1,0.6312056737588653,12.0,2,0.6043882978723404,0.000244081034903588,0.6125886524822695,13.0,1,0.6285460992907801,0.000732243104710764,40,6,4096,0.82666015625,6,0.000488162069807176,0,0,0,1,0,0,0,0
2091_basis,2,delta,48,768,1,0.8337765957446809,3.5,7,0.6600177304964538,0.000244081034903588,0.8167109929078015,4.0,6,0.620345744680851,0.000244081034903588,39,11,4096,0.828369140625,5,0.000244081034903588,0,0,0,1,0,0,0,0
2091_basis,2,combined,48,768,1,0.8149379432624113,5.0,9,0.6382978723404256,0.000244081034903588,0.7965425531914894,3.0,8,0.6247783687943262,0.000244081034903588,29,9,4096,0.605224609375,4,0.000244081034903588,0,0,0,1,0,0,0,0
2091_basis,4,count,48,768,1,0.5981826241134752,14.0,1,0.6103723404255319,0.001464486209421528,0.5997340425531915,12.5,1,0.5970744680851063,0.000244081034903588,17,0,4096,0.345703125,4,1.0,0,0,0,1,0,0,0,0
2091_basis,4,delta,48,768,1,0.7036790780141844,7.0,3,0.6150265957446809,0.000244081034903588,0.6653368794326241,14.0,5,0.6165780141843972,0.000244081034903588,31,4,4096,0.6435546875,4,0.004393458628264584,0,0,0,1,0,0,0,0
2091_basis,4,combined,48,768,1,0.7165336879432624,5.0,4,0.6161347517730497,0.000244081034903588,0.6677748226950354,12.0,3,0.5999556737588653,0.000244081034903588,9,0,4096,0.185546875,3,1.0,0,0,0,1,0,0,0,0
2091_basis,8,count,48,768,1,0.6303191489361702,14.0,0,0.6256648936170213,0.000244081034903588,0.6154698581560284,11.5,0,0.5975177304964538,0.000244081034903588,17,1,4096,0.341064453125,3,0.29973151086160604,0,0,0,1,0,0,0,0
2091_basis,8,delta,48,768,1,0.6278812056737588,12.0,2,0.6218971631205674,0.000244081034903588,0.617686170212766,14.0,2,0.6081560283687943,0.000244081034903588,23,0,4096,0.46240234375,4,1.0,0,0,0,1,0,0,0,0
