dataset,prefix_ticks,profile_component,source_identities,source_target_paths,all_path_ticks_neuron_relabel_invariant,a_to_b_mean_identity_auc,a_to_b_median_identity_rank,a_to_b_unique_nearest,a_to_b_label_null_max_auc,a_to_b_auc_label_p,b_to_a_mean_identity_auc,b_to_a_median_identity_rank,b_to_a_unique_nearest,b_to_a_label_null_max_auc,b_to_a_auc_label_p,mutual_nearest_edges,same_source_mutual_edges_posthoc,edge_label_null_permutations,edge_label_null_mean_same_source_edges,edge_label_null_max_same_source_edges,same_source_edge_label_p,event_uses_neuron_identity,event_uses_fixed_threshold,event_uses_global_field_mean,event_available_during_contact,production_field_modified,memory_written,influences_action,viranz_parameter_used
2091_basis,8,combined,48,768,1,0.6928191489361702,12.0,2,0.62677304964539,0.000244081034903588,0.6480496453900709,10.5,3,0.606604609929078,0.000244081034903588,18,1,4096,0.372314453125,4,0.31559677813033926,0,0,0,1,0,0,0,0
2091_basis,16,count,48,768,1,0.606604609929078,15.0,0,0.612145390070922,0.000488162069807176,0.6050531914893617,12.0,3,0.6021719858156028,0.000244081034903588,12,0,4096,0.25634765625,4,1.0,0,0,0,1,0,0,0,0
2091_basis,16,delta,48,768,1,0.6560283687943262,10.5,0,0.5839982269503546,0.000244081034903588,0.6159131205673759,14.5,0,0.5866578014184397,0.000244081034903588,8,0,4096,0.161376953125,3,1.0,0,0,0,1,0,0,0,0
2091_basis,16,combined,48,768,1,0.6739804964539007,11.5,2,0.5968528368794326,0.000244081034903588,0.6644503546099291,11.5,2,0.6154698581560284,0.000244081034903588,12,0,4096,0.239990234375,3,1.0,0,0,0,1,0,0,0,0
2091_basis,32,count,48,768,1,0.5609485815602837,18.5,1,0.5775709219858156,0.005613863802782524,0.52947695035461,23.5,3,0.5596187943262412,0.030998291432755676,7,0,4096,0.14453125,3,1.0,0,0,0,1,0,0,0,0
2091_basis,32,delta,48,768,1,0.6214539007092198,13.0,1,0.5933067375886525,0.000244081034903588,0.5589539007092199,17.0,0,0.5640514184397163,0.000976324139614352,7,0,4096,0.136474609375,3,1.0,0,0,0,1,0,0,0,0
2091_basis,32,combined,48,768,1,0.6815159574468085,12.0,2,0.6143617021276596,0.000244081034903588,0.6365248226950354,14.5,2,0.5950797872340425,0.000244081034903588,4,0,4096,0.082275390625,2,1.0,0,0,0,1,0,0,0,0
2091_basis,64,count,48,768,1,0.5232712765957447,17.5,0,0.5844414893617021,0.1567000244081035,0.5219414893617021,20.5,1,0.5554078014184397,0.065169636319258,9,0,4096,0.186767578125,3,1.0,0,0,0,1,0,0,0,0
2091_basis,64,delta,48,768,1,0.569813829787234,16.0,1,0.598404255319149,0.003905296558457408,0.556072695035461,17.0,0,0.5738031914893617,0.0061020258725897,9,1,4096,0.185791015625,3,0.17036856236270442,0,0,0,1,0,0,0,0
2091_basis,64,combined,48,768,1,0.5693705673758865,18.0,2,0.5979609929078015,0.00366121552355382,0.5718085106382979,19.0,0,0.5757978723404256,0.000732243104710764,7,0,4096,0.150390625,3,1.0,0,0,0,1,0,0,0,0
2092_holdout,1,count,44,704,1,0.6363636363636364,8.0,0,0.6313424947145877,0.000244081034903588,0.6363636363636364,10.5,0,0.6213002114164905,0.000244081034903588,92,2,4096,2.082275390625,7,0.6348547717842323,0,0,0,1,0,0,0,0
2092_holdout,1,delta,44,704,1,0.6569767441860465,10.0,1,0.6395348837209303,0.000244081034903588,0.6619978858350951,9.5,1,0.6350422832980972,0.000244081034903588,46,3,4096,1.053955078125,6,0.09592384671711009,0,0,0,1,0,0,0,0
2092_holdout,1,combined,44,704,1,0.6910676532769556,7.5,2,0.6490486257928119,0.000244081034903588,0.6881606765327696,7.0,4,0.6371564482029598,0.000244081034903588,27,3,4096,0.62548828125,5,0.025140346595069564,0,0,0,1,0,0,0,0
2092_holdout,2,count,44,704,1,0.5734672304439746,14.5,2,0.6149577167019028,0.011715889675372224,0.5917019027484144,13.0,0,0.601215644820296,0.00122040517451794,31,2,4096,0.705810546875,5,0.15133024164022454,0,0,0,1,0,0,0,0
2092_holdout,2,delta,44,704,1,0.6585623678646935,11.0,2,0.6429704016913319,0.000244081034903588,0.6490486257928119,11.0,0,0.6239429175475687,0.000244081034903588,34,1,4096,0.76416015625,5,0.535513790578472,0,0,0,1,0,0,0,0
2092_holdout,2,combined,44,704,1,0.6522198731501058,10.0,2,0.6411205073995772,0.000244081034903588,0.6590909090909091,9.5,1,0.6234143763213531,0.000244081034903588,21,2,4096,0.48095703125,4,0.07859409323895533,0,0,0,1,0,0,0,0
2092_holdout,4,count,44,704,1,0.5227272727272727,16.5,0,0.5935517970401691,0.1772028313400049,0.5303911205073996,18.5,2,0.5872093023255814,0.12130827434708323,12,0,4096,0.269287109375,3,1.0,0,0,0,1,0,0,0,0
2092_holdout,4,delta,44,704,1,0.601215644820296,13.0,1,0.5924947145877378,0.000244081034903588,0.6236786469344608,13.5,2,0.6197145877378436,0.000244081034903588,19,1,4096,0.43408203125,3,0.3612399316573102,0,0,0,1,0,0,0,0
2092_holdout,4,combined,44,704,1,0.5861522198731501,15.5,0,0.6033298097251586,0.000976324139614352,0.5930232558139534,13.0,1,0.6133720930232558,0.000976324139614352,9,0,4096,0.2138671875,3,1.0,0,0,0,1,0,0,0,0
2092_holdout,8,count,44,704,1,0.5343551797040169,17.0,0,0.5835095137420718,0.06785452770319746,0.5375264270613108,16.0,1,0.6025369978858351,0.06224066390041494,11,0,4096,0.251708984375,3,1.0,0,0,0,1,0,0,0,0
2092_holdout,8,delta,44,704,1,0.5369978858350951,15.5,0,0.5628964059196617,0.03221869660727361,0.5314482029598309,17.0,1,0.5779598308668076,0.08030266048328046,7,0,4096,0.16796875,3,1.0,0,0,0,1,0,0,0,0
2092_holdout,8,combined,44,704,1,0.5454545454545454,18.5,0,0.5560253699788583,0.005857944837686112,0.5377906976744186,19.5,0,0.5766384778012685,0.04369050524774225,2,0,4096,0.05126953125,2,1.0,0,0,0,1,0,0,0,0
2092_holdout,16,count,44,704,1,0.5258985200845666,19.5,1,0.587737843551797,0.14693678301195998,0.5264270613107822,19.5,0,0.5697674418604651,0.09860873810104955,2,0,4096,0.040771484375,1,1.0,0,0,0,1,0,0,0,0
2092_holdout,16,delta,44,704,1,0.5496828752642706,16.5,0,0.5977801268498942,0.029777886258237733,0.5903805496828752,13.5,0,0.5980443974630021,0.001464486209421528,7,0,4096,0.16357421875,3,1.0,0,0,0,1,0,0,0,0
2092_holdout,16,combined,44,704,1,0.5597251585623678,18.5,1,0.5827167019027484,0.006834268977300464,0.5589323467230444,14.0,1,0.593816067653277,0.00951916036123993,4,0,4096,0.090087890625,3,1.0,0,0,0,1,0,0,0,0
2092_holdout,32,count,44,704,1,0.4949788583509514,21.5,1,0.5618393234672304,0.6277764217720283,0.5105708245243129,17.0,1,0.5924947145877378,0.32609226263119356,6,0,4096,0.15478515625,3,1.0,0,0,0,1,0,0,0,0
2092_holdout,32,delta,44,704,1,0.5351479915433404,20.0,0,0.5866807610993657,0.06809860873810104,0.5129492600422833,20.5,1,0.5792811839323467,0.288503783256041,11,0,4096,0.248046875,3,1.0,0,0,0,1,0,0,0,0
2092_holdout,32,combined,44,704,1,0.5203488372093024,18.0,0,0.5702959830866807,0.14181108127898462,0.5221987315010571,19.0,1,0.5710887949260042,0.18135220893336587,4,0,4096,0.08837890625,2,1.0,0,0,0,1,0,0,0,0
2092_holdout,64,count,44,704,1,0.5110993657505285,20.5,0,0.5605179704016914,0.28166951427874054,0.5158562367864693,17.0,0,0.5702959830866807,0.2133268245057359,5,0,4096,0.108154296875,2,1.0,0,0,0,1,0,0,0,0
2092_holdout,64,delta,44,704,1,0.5322410147991543,19.5,1,0.5718816067653277,0.04857212594581401,0.5269556025369979,15.5,1,0.5594608879492601,0.06443739321454722,5,0,4096,0.111083984375,2,1.0,0,0,0,1,0,0,0,0
2092_holdout,64,combined,44,704,1,0.5369978858350951,20.0,0,0.5737315010570825,0.023431779350744447,0.5288054968287527,18.0,1,0.5763742071881607,0.09372711740297779,1,0,4096,0.021728515625,1,1.0,0,0,0,1,0,0,0,0
