dataset,worlds,event_rows,event_relations,event_index_exact,future_event_reads,lifecycle_prefixes_exact,lifecycle_prefixes_total,lifecycle_all_prefixes_exact,causal_lifecycle_observations,archived_lifecycle_observations,lifecycle_exact,causal_synchrony_pair_ages,offline_synchrony_pair_ages,synchrony_exact,unique_event_prefix_states,unchanged_event_prefix_worlds
2091_basis,64,10092,2580,1,0,64,64,1,212466,212466,1,414706,414706,1,64,0
2092_holdout,60,7807,1932,1,0,60,60,1,159199,159199,1,332387,332387,1,60,0
