group,scope,role_family,component,lag,real_worlds,control_worlds,real_world_presence_ratio,control_world_presence_ratio,control_minus_real_world_presence_ratio,real_whole_family_ratio,control_whole_family_ratio,control_minus_real_whole_family_ratio,real_mean_member_coverage,control_mean_member_coverage,control_minus_real_mean_member_coverage,real_mean_family_event_share,control_mean_family_event_share,control_minus_real_mean_family_event_share,real_mean_phase_complete_ratio,control_mean_phase_complete_ratio,control_minus_real_mean_phase_complete_ratio,real_member_distribution_drift,control_member_distribution_drift,control_minus_real_member_distribution_drift,real_mean_afterimage_delta,control_mean_afterimage_delta,control_minus_real_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,control_minus_real_mean_temporal_delta,real_family_continuity_score,control_family_continuity_score,control_minus_real_family_continuity_score,paired_windows,paired_event_share_real_wins,paired_coverage_real_wins,paired_joint_real_advantage
overall,component,rf_05,sign,,12,36,1.0,1.0,0.0,0.16666666666666666,0.08333333333333333,-0.08333333333333333,0.8229166666666666,0.7986111111111112,-0.02430555555555547,0.021965124077800133,0.020372233400402413,-0.0015928906773977208,0.21875,0.21875,0.0,0.11182712487301241,0.104935696369433,-0.006891428503579405,0.21320021189574315,0.2129214498426909,-0.000278762053052245,0.4111403143849206,0.4198223885166123,0.008682074131691697,0.7577227599054889,0.7305230991573586,-0.027199660748130294,36,22,12,8
overall,component,rf_06,sign,,12,36,1.0,0.9444444444444444,-0.05555555555555558,0.0,0.0,0.0,0.2916666666666667,0.2326388888888889,-0.05902777777777779,0.002682763246143528,0.002040017885088308,-0.0006427453610552201,0.0,0.0,0.0,0.33375,0.36467465753424655,0.030924657534246558,0.008370347222222222,0.004298367647058824,-0.004071979575163398,0.03652961111111112,0.027491338235294118,-0.009038272875816999,0.5270833333333333,0.48869149543379,-0.03839183789954337,36,18,19,18
overall,component,rf_07,sign,,12,36,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.024899396378269618,0.024088978314330427,-0.000810418063939191,0.8333333333333334,0.9166666666666666,0.08333333333333326,0.04621363075675633,0.014422400589656048,-0.03179123016710028,0.40427375600056265,0.4240550266046635,0.019781270604100842,0.3262341304985456,0.3297357794137598,0.003501648915214206,0.9868686868686868,0.9805104408352667,-0.006358246033420056,36,19,0,0
overall,component,rf_08,sign,,12,36,0.9166666666666666,1.0,0.08333333333333337,0.5833333333333334,0.7222222222222222,0.13888888888888884,0.75,0.8611111111111112,0.11111111111111116,0.00335345405767941,0.003884417616811983,0.0005309635591325729,0.0,0.09722222222222222,0.09722222222222222,0.104885993485342,0.08761980643498232,-0.017266187050359677,0.0372327803030303,0.07501182870370371,0.03777904840067341,0.08825903787878787,0.24641455787037037,0.1581555199915825,0.78,0.8792865707434052,0.09928657074340519,36,15,5,5
overall,component,rf_10,sign,,12,36,0.9166666666666666,0.6944444444444444,-0.2222222222222222,0.16666666666666666,0.2222222222222222,0.05555555555555555,0.5416666666666666,0.4583333333333333,-0.08333333333333331,0.0015928906773977197,0.0012016543706684553,-0.0003912363067292645,0.0,0.0,0.0,0.18052026618269812,0.118096765570703,-0.062423500611995114,0.024613954545454543,0.012361599999999999,-0.012252354545454544,0.1436886818181818,0.07521839,-0.06847029181818182,0.5963815789473684,0.5130329457364341,-0.08334863321093433,36,14,12,12
overall,component,rf_13,sign,,12,36,1.0,0.9722222222222222,-0.02777777777777779,0.16666666666666666,0.1111111111111111,-0.05555555555555555,0.5833333333333334,0.5925925925925926,0.00925925925925919,0.0031019450033534543,0.0028783813995081602,-0.00022356360384529405,0.0,0.0,0.0,0.4936480259060904,0.28399176770614293,-0.2096562581999475,0.022670518055555557,0.04419569047619047,0.021525172420634914,0.1797698402777778,0.1911948380952381,0.011424997817460314,0.6361486486486487,0.6500044947860482,0.01385584613739943,36,16,9,8
overall,component,rf_17,sign,,12,36,0.75,0.4444444444444444,-0.3055555555555556,0.25,0.08333333333333333,-0.16666666666666669,0.5,0.2638888888888889,-0.2361111111111111,0.0014252179745137493,0.0006427453610552202,-0.0007824726134585291,0.0,0.0,0.0,0.011304847671967821,0.018977481943067587,0.007672634271099765,0.016430685185185187,0.01574628125,-0.0006844039351851863,0.08246148148148148,0.0978915625,0.015430081018518518,0.5816176470588235,0.36023550724637676,-0.2213821398124467,36,21,20,20
overall,component,rf_21,sign,,12,36,1.0,1.0,0.0,0.9166666666666666,0.6666666666666666,-0.25,0.9583333333333334,0.8333333333333334,-0.125,0.008718980549966466,0.00687458081824279,-0.0018443997317236756,0.3333333333333333,0.3055555555555556,-0.027777777777777735,0.4259229705287797,0.47454711061633437,0.04862414008755467,0.2195018392857143,0.18182714074074072,-0.03767469854497357,0.419908433531746,0.3436701408730159,-0.07623829265873011,0.9264423076923076,0.8229674796747967,-0.10347482801751096,36,23,11,7
overall,lag,rf_05,sign,17,12,12,1.0,1.0,0.0,0.16666666666666666,0.0,-0.16666666666666666,0.8229166666666666,0.78125,-0.04166666666666663,0.021965124077800133,0.02137826961770624,-0.0005868544600938948,0.21875,0.21875,0.0,0.11182712487301241,0.1424280350438048,0.03060091017079239,0.21320021189574315,0.2156828238992489,0.0024826120035057464,0.4111403143849206,0.4171412148203648,0.006000900435444212,0.7577227599054889,0.7090397408963585,-0.04868301900913041,12,7,4,3
overall,lag,rf_06,sign,17,12,12,1.0,1.0,0.0,0.0,0.0,0.0,0.2916666666666667,0.2708333333333333,-0.02083333333333337,0.002682763246143528,0.002431254191817572,-0.0002515090543259561,0.0,0.0,0.0,0.33375,0.3821551724137931,0.04840517241379311,0.008370347222222222,0.00821275,-0.00015759722222222217,0.03652961111111112,0.0521585,0.01562888888888888,0.5270833333333333,0.5157276272577996,-0.011355706075533711,12,5,5,5
