scope,component_index,relations,edges,complete_clique,strict_2078_core_relations,members
event_cadence,1,2,1,1,0,dio_mcm_episode_0t4969n|dio_mcm_episode_1x557o1;dio_mcm_episode_1nxni6k|dio_mcm_episode_1o7n3vj
breadth_growth,1,19,171,1,0,dio_mcm_episode_02t3szi|dio_mcm_episode_0satl98;dio_mcm_episode_05bno88|dio_mcm_episode_0satl98;dio_mcm_episode_076w0e1|dio_mcm_episode_0satl98;dio_mcm_episode_0fuuq8k|dio_mcm_episode_0satl98;dio_mcm_episode_0hvxln3|dio_mcm_episode_1x557o1;dio_mcm_episode_0lyvlac|dio_mcm_episode_0satl98;dio_mcm_episode_0o8aklj|dio_mcm_episode_0satl98;dio_mcm_episode_0satl98|dio_mcm_episode_0vorwpi;dio_mcm_episode_0satl98|dio_mcm_episode_0wdjdlr;dio_mcm_episode_0vcr3lw|dio_mcm_episode_1qlxgj7;dio_mcm_episode_0vcr3lw|dio_mcm_episode_1x557o1;dio_mcm_episode_14jcwih|dio_mcm_episode_1nxni6k;dio_mcm_episode_14oenqv|dio_mcm_episode_1nxni6k;dio_mcm_episode_14y2lc5|dio_mcm_episode_1ui10f9;dio_mcm_episode_15iabbt|dio_mcm_episode_1nxni6k;dio_mcm_episode_1eav7xq|dio_mcm_episode_1x557o1;dio_mcm_episode_1eds8f6|dio_mcm_episode_1wjjpaf;dio_mcm_episode_1i3ov0z|dio_mcm_episode_1x557o1;dio_mcm_episode_1o7n3vj|dio_mcm_episode_1ui10f9
profile_growth,1,4,6,1,0,dio_mcm_episode_0satl98|dio_mcm_episode_0wdjdlr;dio_mcm_episode_14oenqv|dio_mcm_episode_1nxni6k;dio_mcm_episode_15iabbt|dio_mcm_episode_1nxni6k;dio_mcm_episode_1i3ov0z|dio_mcm_episode_1x557o1
