scope,forward_edges,reverse_edges,shared_edges,edge_jaccard
raw_equal,75316,83453,10283,0.06925232008404833
depth_rank_movement,45727,48699,7712,0.0889360426228752
support_rank_movement,45618,48571,7708,0.08912940414657555
full_rank_movement,45615,48571,7709,0.08914509060212542
robust,45491,48442,7707,0.08938139308329274
