asset,year,timeframe,window_start,window_end,path_id,baseline_continuity,baseline_event_share,baseline_member_coverage,delta_continuity,delta_event_share,delta_member_coverage
BTC,2024,5m,0,1000,BTC:2024,0.6810714285714285,0.02012072434607646,0.75,0.026964285714285552,0.004024144869215294,0.04166666666666663
BTC,2024,5m,36000,37000,BTC:2024,0.73625,0.02012072434607646,0.875,-0.01966269841269841,0.010060362173038233,-0.04166666666666663
BTC,2024,5m,72000,73000,BTC:2024,0.9870748299319727,0.02112676056338028,1.0,-0.18176613668723296,0.007712944332662643,-0.125
SOL,2024,5m,0,1000,SOL:2024,0.6870341614906832,0.023138832997987926,0.75,0.0010702341137123206,-0.0013413816230717635,0.0
SOL,2024,5m,36000,37000,SOL:2024,0.7307841614906833,0.023138832997987926,0.875,0.005309282736322585,0.001341381623071767,0.0
SOL,2024,5m,72000,73000,SOL:2024,0.7324404761904761,0.02414486921529175,0.875,0.17840383726306053,0.010395707578806174,0.08333333333333337
BTC,2025,5m,0,1000,BTC:2025,0.7433248299319728,0.02112676056338028,0.875,0.1654684601113171,0.012072434607645878,0.08333333333333337
BTC,2025,5m,36000,37000,BTC:2025,0.9742857142857142,0.02012072434607646,1.0,-0.003205574912891973,0.0073775989268947025,0.0
BTC,2025,5m,72000,73000,BTC:2025,0.9835164835164835,0.026156941649899398,1.0,0.0009108009108008686,0.011066398390342052,0.0
SOL,2025,5m,0,1000,SOL:2025,0.7397664835164836,0.026156941649899398,0.875,0.2527505232862375,0.002012072434607645,0.125
SOL,2025,5m,36000,37000,SOL:2025,0.6969720496894409,0.023138832997987926,0.75,0.029592576160899164,0.00033534540576794433,0.08333333333333337
SOL,2025,5m,72000,73000,SOL:2025,0.9825396825396825,0.018108651911468814,1.0,-0.260515873015873,0.003353454057679412,-0.16666666666666663
