group,scope,component,lag,real_worlds,control_worlds,real_world_presence_ratio,control_world_presence_ratio,real_minus_control_world_presence_ratio,real_whole_family_ratio,control_whole_family_ratio,real_minus_control_whole_family_ratio,real_mean_member_coverage,control_mean_member_coverage,real_minus_control_mean_member_coverage,real_mean_family_event_share,control_mean_family_event_share,real_minus_control_mean_family_event_share,real_mean_phase_complete_ratio,control_mean_phase_complete_ratio,real_minus_control_mean_phase_complete_ratio,real_member_distribution_drift,control_member_distribution_drift,real_minus_control_member_distribution_drift,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_family_continuity_score,control_family_continuity_score,real_minus_control_family_continuity_score,paired_windows,paired_event_share_real_wins,paired_coverage_real_wins,paired_joint_real_advantage
overall,component,sign,,12,36,1.0,1.0,0.0,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.8229166666666666,0.7986111111111112,0.02430555555555547,0.021965124077800133,0.020372233400402413,0.0015928906773977208,0.21875,0.21875,0.0,0.11182712487301241,0.104935696369433,0.006891428503579405,0.21320021189574315,0.2129214498426909,0.000278762053052245,0.4111403143849206,0.4198223885166123,-0.008682074131691697,0.7577227599054889,0.7305230991573586,0.027199660748130294,36,22,12,8
overall,lag,sign,17,12,12,1.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8229166666666666,0.78125,0.04166666666666663,0.021965124077800133,0.02137826961770624,0.0005868544600938948,0.21875,0.21875,0.0,0.11182712487301241,0.1424280350438048,-0.03060091017079239,0.21320021189574315,0.2156828238992489,-0.0024826120035057464,0.4111403143849206,0.4171412148203648,-0.006000900435444212,0.7577227599054889,0.7090397408963585,0.04868301900913041,12,7,4,3
overall,lag,sign,83,12,12,1.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8229166666666666,0.78125,0.04166666666666663,0.021965124077800133,0.0204560697518444,0.0015090543259557339,0.21875,0.21875,0.0,0.11182712487301241,0.12212499230595625,-0.010297867432943836,0.21320021189574315,0.24160307991273433,-0.028402868016991184,0.4111403143849206,0.434790275693397,-0.023649961308476408,0.7577227599054889,0.7016576405152224,0.05606511939026648,12,7,4,2
overall,lag,sign,251,12,12,1.0,1.0,0.0,0.16666666666666666,0.25,-0.08333333333333334,0.8229166666666666,0.8333333333333334,-0.01041666666666674,0.021965124077800133,0.019282360831656607,0.002682763246143527,0.21875,0.21875,0.0,0.11182712487301241,0.07999673504924636,0.031830389823766056,0.21320021189574315,0.18147844571608948,0.031721766179653665,0.4111403143849206,0.407535675036075,0.003604639348845584,0.7577227599054889,0.7811076604554865,-0.023384900549997645,12,8,4,3
overall,component,magnitude,,12,36,1.0,1.0,0.0,0.16666666666666666,0.3055555555555556,-0.13888888888888892,0.8229166666666666,0.8645833333333334,-0.04166666666666674,0.021965124077800133,0.0223563603845294,-0.00039123630672926665,0.21875,0.23958333333333334,-0.020833333333333343,0.11182712487301241,0.15855392156862746,-0.04672679669561505,0.21320021189574315,0.1892467584789439,0.023953453416799247,0.4111403143849206,0.39040738964715843,0.02073292473776217,0.7577227599054889,0.8002867063492063,-0.042563946443717415,36,13,9,6
overall,lag,magnitude,17,12,12,1.0,1.0,0.0,0.16666666666666666,0.4166666666666667,-0.25,0.8229166666666666,0.8854166666666666,-0.0625,0.021965124077800133,0.022468142186452045,-0.0005030181086519113,0.21875,0.21875,0.0,0.11182712487301241,0.19637108574773193,-0.08454396087471952,0.21320021189574315,0.17956232126715876,0.03363789062858438,0.4111403143849206,0.36518877989626114,0.04595153448865946,0.7577227599054889,0.8302227700781806,-0.0725000101726917,12,5,4,2
overall,lag,magnitude,83,12,12,1.0,1.0,0.0,0.16666666666666666,0.25,-0.08333333333333334,0.8229166666666666,0.8333333333333334,-0.01041666666666674,0.021965124077800133,0.021629778672032193,0.00033534540576794086,0.21875,0.25,-0.03125,0.11182712487301241,0.14604010827487848,-0.03421298340186607,0.21320021189574315,0.18185004702681576,0.03135016486892739,0.4111403143849206,0.39877934328403075,0.01236097110088985,0.7577227599054889,0.7776024363233666,-0.01987967641787769,12,5,4,3
overall,lag,magnitude,251,12,12,1.0,1.0,0.0,0.16666666666666666,0.25,-0.08333333333333334,0.8229166666666666,0.875,-0.05208333333333337,0.021965124077800133,0.02297116029510396,-0.001006036217303826,0.21875,0.25,-0.03125,0.11182712487301241,0.14849005295548878,-0.03666292808247637,0.21320021189574315,0.20632790714285712,0.006872304752886027,0.4111403143849206,0.4072540457611833,0.00388626862373731,0.7577227599054889,0.7930070385818562,-0.0352842786763673,12,3,1,1
overall,component,wick,,12,36,1.0,1.0,0.0,0.16666666666666666,0.2777777777777778,-0.11111111111111113,0.8229166666666666,0.84375,-0.02083333333333337,0.021965124077800133,0.02624077800134138,-0.004275653923541248,0.21875,0.2569444444444444,-0.03819444444444442,0.11182712487301241,0.060706874007845274,0.05112025086516714,0.21320021189574315,0.23842176055803765,-0.025221548662294507,0.4111403143849206,0.37572461958893727,0.03541569479598333,0.7577227599054889,0.787038753866829,-0.029315993961340103,36,8,8,3
overall,lag,wick,17,12,12,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.8229166666666666,0.8125,0.01041666666666663,0.021965124077800133,0.024815560026827634,-0.002850435949027501,0.21875,0.20833333333333334,0.010416666666666657,0.11182712487301241,0.0849217490331383,0.02690537583987411,0.21320021189574315,0.23314206252705627,-0.019941850631313124,0.4111403143849206,0.3713747476130351,0.039765566771885474,0.7577227599054889,0.7541948198198197,0.0035279400856691456,12,3,5,1
