group,scope,component,lag,real_worlds,control_worlds,real_world_presence_ratio,control_world_presence_ratio,real_minus_control_world_presence_ratio,real_whole_family_ratio,control_whole_family_ratio,real_minus_control_whole_family_ratio,real_mean_member_coverage,control_mean_member_coverage,real_minus_control_mean_member_coverage,real_mean_family_event_share,control_mean_family_event_share,real_minus_control_mean_family_event_share,real_mean_phase_complete_ratio,control_mean_phase_complete_ratio,real_minus_control_mean_phase_complete_ratio,real_member_distribution_drift,control_member_distribution_drift,real_minus_control_member_distribution_drift,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_family_continuity_score,control_family_continuity_score,real_minus_control_family_continuity_score,paired_windows,paired_event_share_real_wins,paired_coverage_real_wins,paired_joint_real_advantage
overall,lag,wick,83,12,12,1.0,1.0,0.0,0.16666666666666666,0.4166666666666667,-0.25,0.8229166666666666,0.875,-0.05208333333333337,0.021965124077800133,0.028420523138833,-0.006455399061032867,0.21875,0.2708333333333333,-0.052083333333333315,0.11182712487301241,0.05024717475014858,0.06157995012286383,0.21320021189574315,0.24242247438973064,-0.02922226249398749,0.4111403143849206,0.4022351198127105,0.008905194572210118,0.7577227599054889,0.8248762115465655,-0.06715345164107667,12,1,1,0
overall,lag,wick,251,12,12,1.0,1.0,0.0,0.16666666666666666,0.25,-0.08333333333333334,0.8229166666666666,0.84375,-0.02083333333333337,0.021965124077800133,0.025486250838363516,-0.0035211267605633825,0.21875,0.2916666666666667,-0.07291666666666669,0.11182712487301241,0.08144912500274466,0.03037799987026775,0.21320021189574315,0.23970074475732603,-0.02650053286158288,0.4111403143849206,0.35356399134106636,0.05757632304385424,0.7577227599054889,0.7795230263157895,-0.02180026641030064,12,4,2,2
overall,component,volume,,12,36,1.0,1.0,0.0,0.16666666666666666,0.25,-0.08333333333333334,0.8229166666666666,0.8680555555555556,-0.04513888888888895,0.021965124077800133,0.026771741560473954,-0.00480661748267382,0.21875,0.28125,-0.0625,0.11182712487301241,0.10717075885566771,0.004656366017344704,0.21320021189574315,0.23555377311577802,-0.022353561220034873,0.4111403143849206,0.3743267133374238,0.03681360104749681,0.7577227599054889,0.7905477474566723,-0.03282498755118346,36,2,8,1
overall,lag,volume,17,12,12,1.0,1.0,0.0,0.16666666666666666,0.3333333333333333,-0.16666666666666666,0.8229166666666666,0.8541666666666666,-0.03125,0.021965124077800133,0.026743796109993292,-0.004778672032193159,0.21875,0.28125,-0.0625,0.11182712487301241,0.1283370147899085,-0.016509889916896087,0.21320021189574315,0.24887229093654273,-0.03567207904079958,0.4111403143849206,0.380031446818435,0.03110886756648562,0.7577227599054889,0.799816670398567,-0.04209391049307809,12,1,4,1
overall,lag,volume,83,12,12,1.0,1.0,0.0,0.16666666666666666,0.25,-0.08333333333333334,0.8229166666666666,0.875,-0.05208333333333337,0.021965124077800133,0.026659959758551306,-0.004694835680751172,0.21875,0.2604166666666667,-0.041666666666666685,0.11182712487301241,0.08911689926874003,0.022710225604272383,0.21320021189574315,0.22665249734278523,-0.013452285447042078,0.4111403143849206,0.3423353180519644,0.06880499633295623,0.7577227599054889,0.7928627583108716,-0.03513999840538273,12,0,3,0
overall,lag,volume,251,12,12,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.8229166666666666,0.875,-0.05208333333333337,0.021965124077800133,0.026911468812877263,-0.0049463447350771295,0.21875,0.3020833333333333,-0.08333333333333331,0.11182712487301241,0.14488905524428902,-0.03306193037127661,0.21320021189574315,0.2311365310680061,-0.01793631917226296,0.4111403143849206,0.40061337514187195,0.01052693924304865,0.7577227599054889,0.7789469292389853,-0.021224169333496468,12,1,1,0
asset:BTC,component,sign,,6,18,1.0,1.0,0.0,0.0,0.0,0.0,0.7291666666666666,0.75,-0.02083333333333337,0.019114688128772636,0.01805276101050749,0.001061927118265145,0.22916666666666666,0.1875,0.04166666666666666,0.09301100059284634,0.11571481896229938,-0.022703818369453038,0.1953905341089466,0.22253250723104057,-0.02714197312209396,0.385633750595238,0.44938339581128744,-0.06374964521604942,0.6914238721804511,0.6945875718708535,-0.0031636996904024217,18,10,4,3
asset:BTC,lag,sign,17,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.7291666666666666,0.75,-0.02083333333333337,0.019114688128772636,0.02112676056338028,-0.002012072434607645,0.22916666666666666,0.25,-0.020833333333333343,0.09301100059284634,0.1907940481157002,-0.09778304752285386,0.1953905341089466,0.23794358333333332,-0.04255304922438671,0.385633750595238,0.4328958875661375,-0.04726213697089948,0.6914238721804511,0.6941326530612244,-0.0027087808807733094,6,2,1,1
asset:BTC,lag,sign,83,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.7291666666666666,0.7291666666666666,0.0,0.019114688128772636,0.01693494299128102,0.0021797451374916156,0.22916666666666666,0.125,0.10416666666666666,0.09301100059284634,0.13713098468795568,-0.04411998409510934,0.1953905341089466,0.24351069444444443,-0.04812016033549782,0.385633750595238,0.4525046111111111,-0.0668708605158731,0.6914238721804511,0.6787585454974069,0.012665326683044209,6,4,2,1
asset:BTC,lag,sign,251,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.7291666666666666,0.7708333333333334,-0.04166666666666674,0.019114688128772636,0.01609657947686117,0.0030181086519114678,0.22916666666666666,0.1875,0.04166666666666666,0.09301100059284634,0.07664528577388405,0.01636571481896229,0.1953905341089466,0.1861432439153439,0.009247290193602709,0.385633750595238,0.46274968875661376,-0.07711593816137574,0.6914238721804511,0.7043154761904762,-0.012891604010025093,6,4,1,1
asset:BTC,component,magnitude,,6,18,1.0,1.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.7291666666666666,0.8263888888888888,-0.09722222222222221,0.019114688128772636,0.018164542812430136,0.0009501453163425003,0.22916666666666666,0.16666666666666666,0.0625,0.09301100059284634,0.12211161387631977,-0.029100613283473437,0.1953905341089466,0.1666549335978836,0.028735600511062998,0.385633750595238,0.4009710084195126,-0.015337257824274586,0.6914238721804511,0.7594265873015873,-0.0680027151211362,18,8,3,3
asset:BTC,lag,magnitude,17,6,6,1.0,1.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.7291666666666666,0.8333333333333334,-0.10416666666666674,0.019114688128772636,0.015928906773977198,0.003185781354795438,0.22916666666666666,0.125,0.10416666666666666,0.09301100059284634,0.14138286893704852,-0.04837186834420218,0.1953905341089466,0.13705133611111112,0.05833919799783549,0.385633750595238,0.33755816944444444,0.04807558115079358,0.6914238721804511,0.7616165413533834,-0.07019266917293232,6,4,2,2
asset:BTC,lag,magnitude,83,6,6,1.0,1.0,0.0,0.0,0.3333333333333333,-0.3333333333333333,0.7291666666666666,0.8333333333333334,-0.10416666666666674,0.019114688128772636,0.019282360831656607,-0.00016767270288397043,0.22916666666666666,0.1875,0.04166666666666666,0.09301100059284634,0.13656926230251584,-0.043558261709669505,0.1953905341089466,0.17163014126984125,0.02376039283910536,0.385633750595238,0.4401652638227513,-0.05453151322751326,0.6914238721804511,0.7928053830227743,-0.10138151084232316,6,2,1,1
asset:BTC,lag,magnitude,251,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.7291666666666666,0.8125,-0.08333333333333337,0.019114688128772636,0.019282360831656607,-0.00016767270288397043,0.22916666666666666,0.1875,0.04166666666666666,0.09301100059284634,0.13442165025121983,-0.04141064965837349,0.1953905341089466,0.1912833234126984,0.004107210696248198,0.385633750595238,0.425189591991342,-0.03955584139610396,0.6914238721804511,0.7238159937888198,-0.032392121608368685,6,2,0,0
asset:BTC,component,wick,,6,18,1.0,1.0,0.0,0.0,0.1111111111111111,-0.1111111111111111,0.7291666666666666,0.7916666666666666,-0.0625,0.019114688128772636,0.024591996422982338,-0.005477308294209702,0.22916666666666666,0.2222222222222222,0.0069444444444444475,0.09301100059284634,0.06757405089695454,0.025436949695891803,0.1953905341089466,0.24488455666987333,-0.04949402256092672,0.385633750595238,0.38817253441080524,-0.0025387838155672138,0.6914238721804511,0.7316432178932178,-0.04021934571276675,18,3,3,1
asset:BTC,lag,wick,17,6,6,1.0,1.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.7291666666666666,0.8125,-0.08333333333333337,0.019114688128772636,0.023306505700871897,-0.004191817572099261,0.22916666666666666,0.1875,0.04166666666666666,0.09301100059284634,0.07512688222388299,0.01788411836896335,0.1953905341089466,0.21579885873617122,-0.02040832462722461,0.385633750595238,0.37294150974025975,0.012692240854978276,0.6914238721804511,0.7523948698184308,-0.06097099763797975,6,1,1,0
asset:BTC,lag,wick,83,6,6,1.0,1.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.7291666666666666,0.7916666666666666,-0.0625,0.019114688128772636,0.025821596244131457,-0.006706908115358821,0.22916666666666666,0.22916666666666666,0.0,0.09301100059284634,0.054911713234616855,0.03809928735822948,0.1953905341089466,0.24009614242424246,-0.04470560831529585,0.385633750595238,0.4299501765151515,-0.04431642591991347,0.6914238721804511,0.7405650896722324,-0.04914121749178135,6,1,1,0
asset:BTC,lag,wick,251,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.7291666666666666,0.7708333333333334,-0.04166666666666674,0.019114688128772636,0.02464788732394366,-0.005533199195171024,0.22916666666666666,0.25,-0.020833333333333343,0.09301100059284634,0.15762049500651323,-0.0646094944136669,0.1953905341089466,0.27875866884920636,-0.08336813474025975,0.385633750595238,0.36162591697700447,0.024007833618233554,0.6914238721804511,0.6967595966958211,-0.005335724515370011,6,1,1,1
asset:BTC,component,volume,,6,18,1.0,1.0,0.0,0.0,0.2222222222222222,-0.2222222222222222,0.7291666666666666,0.8541666666666666,-0.125,0.019114688128772636,0.026324614352783368,-0.007209926224010732,0.22916666666666666,0.2986111111111111,-0.06944444444444445,0.09301100059284634,0.11877638980785431,-0.02576538921500797,0.1953905341089466,0.2186701397366847,-0.023279605627738092,0.385633750595238,0.35982793049140593,0.02580582010383209,0.6914238721804511,0.780512271256698,-0.08908839907624688,18,0,2,0
asset:BTC,lag,volume,17,6,6,1.0,1.0,0.0,0.0,0.5,-0.5,0.7291666666666666,0.8958333333333334,-0.16666666666666674,0.019114688128772636,0.02699530516431925,-0.007880617035546614,0.22916666666666666,0.2708333333333333,-0.04166666666666666,0.09301100059284634,0.1091892816330973,-0.016178281040250958,0.1953905341089466,0.23536430139893003,-0.03997376728998342,0.385633750595238,0.35809350132917767,0.027540249266060357,0.6914238721804511,0.8515629621413783,-0.16013908996092718,6,0,0,0
asset:BTC,lag,volume,83,6,6,1.0,1.0,0.0,0.0,0.16666666666666666,-0.16666666666666666,0.7291666666666666,0.8333333333333334,-0.10416666666666674,0.019114688128772636,0.025318578135479542,-0.006203890006706906,0.22916666666666666,0.2708333333333333,-0.04166666666666666,0.09301100059284634,0.09265721224378155,0.00035378834906478474,0.1953905341089466,0.17020287784622787,0.02518765626271874,0.385633750595238,0.29179188719474974,0.09384186340048828,0.6914238721804511,0.759011352885525,-0.06758748070507392,6,0,1,0
asset:BTC,lag,volume,251,6,6,1.0,1.0,0.0,0.0,0.0,0.0,0.7291666666666666,0.8333333333333334,-0.10416666666666674,0.019114688128772636,0.026659959758551306,-0.007545271629778669,0.22916666666666666,0.3541666666666667,-0.12500000000000003,0.09301100059284634,0.16528522288080227,-0.07227422228795594,0.1953905341089466,0.2504432399648962,-0.055052705855949596,0.385633750595238,0.4295984029502904,-0.04396465235505237,0.6914238721804511,0.7300763701707098,-0.038652497990258716,6,0,1,0
asset:SOL,component,sign,,6,18,1.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.8472222222222222,0.06944444444444442,0.024815560026827634,0.02269170579029734,0.0021238542365302933,0.20833333333333334,0.25,-0.04166666666666666,0.16229746642762913,0.11530731147925055,0.046990154948378576,0.23100988968253966,0.20331039245434124,0.027699497228198422,0.4366468781746032,0.3902613812219371,0.04638549695266608,0.8232142857142857,0.7659976346860584,0.05721665102822726,18,12,8,5
asset:SOL,lag,sign,17,6,6,1.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9166666666666666,0.8125,0.10416666666666663,0.024815560026827634,0.021629778672032193,0.0031857813547954417,0.20833333333333334,0.1875,0.020833333333333343,0.16229746642762913,0.1423193720833212,0.019978094344307917,0.23100988968253966,0.19342206446516444,0.03758782521737522,0.4366468781746032,0.40138654207459207,0.035260336100011114,0.8232142857142857,0.7238545127353266,0.09935977297895904,6,5,3,2
asset:SOL,lag,sign,83,6,6,1.0,1.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.9166666666666666,0.8333333333333334,0.08333333333333326,0.024815560026827634,0.02397719651240778,0.0008383635144198556,0.20833333333333334,0.3125,-0.10416666666666666,0.16229746642762913,0.1469815124383335,0.015315953989295639,0.23100988968253966,0.23969546538102418,-0.008685575698484521,0.4366468781746032,0.41707594027568295,0.019570937898920227,0.8232142857142857,0.7231851481851481,0.10002913752913756,6,3,2,1
asset:SOL,lag,sign,251,6,6,1.0,1.0,0.0,0.3333333333333333,0.5,-0.16666666666666669,0.9166666666666666,0.8958333333333334,0.02083333333333326,0.024815560026827634,0.022468142186452045,0.0023474178403755895,0.20833333333333334,0.25,-0.04166666666666666,0.16229746642762913,0.11280892159976089,0.04948854482786824,0.23100988968253966,0.176813647516835,0.05419624216570465,0.4366468781746032,0.35232166131553627,0.08432521685906691,0.8232142857142857,0.8513881485429993,-0.02817386282871359,6,4,3,2
asset:SOL,component,magnitude,,6,18,1.0,1.0,0.0,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.9166666666666666,0.9027777777777778,0.01388888888888884,0.024815560026827634,0.02654817795662866,-0.0017326179298010266,0.20833333333333334,0.3125,-0.10416666666666666,0.16229746642762913,0.18348813209494325,-0.021190665667314118,0.23100988968253966,0.2118385833600042,0.01917130632253547,0.4366468781746032,0.37984377087480425,0.05680310729979893,0.8232142857142857,0.8412370509607352,-0.018022765246449524,18,5,6,3
asset:SOL,lag,magnitude,17,6,6,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.9166666666666666,0.9375,-0.02083333333333337,0.024815560026827634,0.029007377598926895,-0.004191817572099261,0.20833333333333334,0.3125,-0.10416666666666666,0.16229746642762913,0.22656692734897427,-0.06426946092134514,0.23100988968253966,0.2220733064232064,0.008936583259333247,0.4366468781746032,0.3928193903480779,0.04382748782652529,0.8232142857142857,0.8986589939443985,-0.07544470823011284,6,1,2,0
asset:SOL,lag,magnitude,83,6,6,1.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.8333333333333334,0.08333333333333326,0.024815560026827634,0.02397719651240778,0.0008383635144198556,0.20833333333333334,0.3125,-0.10416666666666666,0.16229746642762913,0.15365652286803727,0.008640943559591857,0.23100988968253966,0.19206995278379027,0.03893993689874939,0.4366468781746032,0.3573934227453102,0.07925345542929296,0.8232142857142857,0.762112887112887,0.06110139860139863,6,3,3,2
asset:SOL,lag,magnitude,251,6,6,1.0,1.0,0.0,0.3333333333333333,0.5,-0.16666666666666669,0.9166666666666666,0.9375,-0.02083333333333337,0.024815560026827634,0.026659959758551306,-0.0018443997317236713,0.20833333333333334,0.3125,-0.10416666666666666,0.16229746642762913,0.18275989641139476,-0.02046242998376563,0.23100988968253966,0.2213724908730159,0.009637398809523773,0.4366468781746032,0.38931849953102454,0.04732837864357864,0.8232142857142857,0.8629408131176999,-0.0397265274034142,6,1,1,1
asset:SOL,component,wick,,6,18,1.0,1.0,0.0,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.9166666666666666,0.8958333333333334,0.02083333333333326,0.024815560026827634,0.027889559579700424,-0.00307399955287279,0.20833333333333334,0.2916666666666667,-0.08333333333333334,0.16229746642762913,0.0950469984608349,0.06725046796679422,0.23100988968253966,0.23195896444620193,-0.0009490747636622665,0.4366468781746032,0.36327670476706936,0.07337017340753382,0.8232142857142857,0.841752055698699,-0.018537769984413366,18,5,5,2
asset:SOL,lag,wick,17,6,6,1.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.8125,0.10416666666666663,0.024815560026827634,0.026324614352783368,-0.0015090543259557339,0.20833333333333334,0.22916666666666666,-0.020833333333333315,0.16229746642762913,0.10454681940536073,0.0577506470222684,0.23100988968253966,0.2504852663179413,-0.019475376635401664,0.4366468781746032,0.3698079854858105,0.06683889268879267,0.8232142857142857,0.7557884061267819,0.06742587958750379,6,2,4,1
asset:SOL,lag,wick,83,6,6,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,-0.3333333333333333,0.9166666666666666,0.9583333333333334,-0.04166666666666674,0.024815560026827634,0.03101945003353454,-0.006203890006706906,0.20833333333333334,0.3125,-0.10416666666666666,0.16229746642762913,0.0935854502813201,0.06871201614630902,0.23100988968253966,0.24474880635521887,-0.013738916672679208,0.4366468781746032,0.37452006311026936,0.06212681506433382,0.8232142857142857,0.9077075289575288,-0.08449324324324314,6,0,0,0
asset:SOL,lag,wick,251,6,6,1.0,1.0,0.0,0.3333333333333333,0.5,-0.16666666666666669,0.9166666666666666,0.9166666666666666,0.0,0.024815560026827634,0.026324614352783368,-0.0015090543259557339,0.20833333333333334,0.3333333333333333,-0.12499999999999997,0.16229746642762913,0.10910134483390861,0.053196121593720516,0.23100988968253966,0.20064282066544567,0.03036706901709399,0.4366468781746032,0.3455020657051282,0.09114481246947498,0.8232142857142857,0.8618251440703669,-0.038610858356081246,6,3,1,1
asset:SOL,component,volume,,6,18,1.0,1.0,0.0,0.3333333333333333,0.2777777777777778,0.055555555555555525,0.9166666666666666,0.8819444444444444,0.03472222222222221,0.024815560026827634,0.027218868768164546,-0.002403308741336912,0.20833333333333334,0.2638888888888889,-0.05555555555555555,0.16229746642762913,0.1484076176671901,0.013889848760439027,0.23100988968253966,0.25243740649487134,-0.02142751681233168,0.4366468781746032,0.38882549618344164,0.04782138199116154,0.8232142857142857,0.7980143451973534,0.025199940516932307,18,2,6,1
asset:SOL,lag,volume,17,6,6,1.0,1.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.9166666666666666,0.8125,0.10416666666666663,0.024815560026827634,0.02649228705566734,-0.0016767270288397043,0.20833333333333334,0.2916666666666667,-0.08333333333333334,0.16229746642762913,0.1933482253660958,-0.031050758938466677,0.23100988968253966,0.26238028047415546,-0.0313703907916158,0.4366468781746032,0.40196939230769235,0.03467748586691083,0.8232142857142857,0.7479976642555756,0.07521662145871011,6,1,4,1
asset:SOL,lag,volume,83,6,6,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.9166666666666666,0.9166666666666666,0.0,0.024815560026827634,0.028001341381623076,-0.0031857813547954417,0.20833333333333334,0.25,-0.04166666666666666,0.16229746642762913,0.13204629539419288,0.030251171033436247,0.23100988968253966,0.28310211683934255,-0.052092227156802895,0.4366468781746032,0.3928787489091791,0.04376812926542406,0.8232142857142857,0.8203058169375534,0.0029084687767322315,6,0,2,0
asset:SOL,lag,volume,251,6,6,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.9166666666666666,0.9166666666666666,0.0,0.024815560026827634,0.02716297786720322,-0.002347417840375586,0.20833333333333334,0.25,-0.04166666666666666,0.16229746642762913,0.1661104157975247,-0.0038129493698955685,0.23100988968253966,0.21182982217111593,0.019180067511423732,0.4366468781746032,0.3716283473334536,0.06501853084114956,0.8232142857142857,0.8256834215167548,-0.0024691358024691024,6,1,0,0
timeframe:1h,component,sign,,6,18,1.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.7847222222222222,0.04861111111111116,0.02062374245472837,0.01967359713838587,0.0009501453163425003,0.16666666666666666,0.2152777777777778,-0.04861111111111113,0.12965393734037467,0.1090389976106497,0.020614939729724974,0.19197737101370851,0.20906025797905797,-0.01708288696534946,0.3881933591269841,0.45152735500795493,-0.06333399588097083,0.7641986062717769,0.7087436868686868,0.05545491940309011,18,10,8,5
timeframe:1h,lag,sign,17,6,6,1.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.7916666666666666,0.04166666666666674,0.02062374245472837,0.02028839704896043,0.00033534540576794086,0.16666666666666666,0.22916666666666666,-0.0625,0.12965393734037467,0.17334684885031912,-0.04369291150994445,0.19197737101370851,0.2034886977272727,-0.011511326713564196,0.3881933591269841,0.47738775311447806,-0.08919439398749396,0.7641986062717769,0.7130337465564737,0.05116485971530327,6,3,2,1
timeframe:1h,lag,sign,83,6,6,1.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.8125,0.02083333333333337,0.02062374245472837,0.02095908786049631,-0.00033534540576794086,0.16666666666666666,0.20833333333333334,-0.041666666666666685,0.12965393734037467,0.10681351689612016,0.02284042044425451,0.19197737101370851,0.25028030941697194,-0.05830293840326342,0.3881933591269841,0.46371043760683756,-0.07551707847985345,0.7641986062717769,0.7130035714285714,0.051195034843205534,6,3,2,1
timeframe:1h,lag,sign,251,6,6,1.0,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.8333333333333334,0.75,0.08333333333333337,0.02062374245472837,0.017773306505700873,0.0028504359490274973,0.16666666666666666,0.20833333333333334,-0.041666666666666685,0.12965393734037467,0.07426342676773641,0.05539051057263826,0.19197737101370851,0.17341176679292927,0.01856560422077924,0.3881933591269841,0.4134838743025493,-0.025290515175565187,0.7641986062717769,0.6976752021563342,0.06652340411544277,6,4,4,3
timeframe:1h,component,magnitude,,6,18,1.0,1.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.8333333333333334,0.8402777777777778,-0.00694444444444442,0.02062374245472837,0.02090319695953499,-0.00027945450480661854,0.16666666666666666,0.22916666666666666,-0.0625,0.12965393734037467,0.1702317290552585,-0.04057779171488382,0.19197737101370851,0.18655654285113035,0.005420828162578162,0.3881933591269841,0.4171936198474365,-0.02900026072045242,0.7641986062717769,0.7626864761055937,0.0015121301661832343,18,7,6,4
