dataset,source_key_posthoc,source_asset_posthoc,source_year_posthoc,target_key_posthoc,target_universe,strict_episode_count,matched_steps,all_unequal_age_pairs,older_wins,ties,older_losses,older_age_auc,both_already_carried_pairs,carried_older_age_auc,predictor_reads_next_episode,memory_read,memory_written,influences_action
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|SOL|2024|10000,a,181,44,57,2,51,4,0.4824561403508772,37,0.4864864864864865,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|SOL|2024|13000,a,173,19,25,0,19,6,0.38,11,0.36363636363636365,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|BTC|2025|1000,a,193,11,12,1,11,0,0.5416666666666666,6,0.5,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|BTC|2025|2000,a,204,25,41,4,32,5,0.4878048780487805,22,0.5454545454545454,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|SOL|2024|2000,a,179,31,39,3,34,2,0.5128205128205128,19,0.5526315789473685,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|BTC|2025|7000,a,186,47,55,5,45,5,0.5,31,0.5483870967741935,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|BTC|2024|1000,a,183,33,37,1,34,2,0.4864864864864865,23,0.4782608695652174,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|SOL|2025|8000,a,188,41,61,3,49,9,0.45081967213114754,36,0.4444444444444444,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|BTC|2024|4000,b,197,20,21,2,16,3,0.47619047619047616,11,0.5909090909090909,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|SOL|2025|15000,b,181,34,40,5,32,3,0.525,19,0.47368421052631576,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|BTC|2025|13000,b,178,43,51,2,39,10,0.4215686274509804,28,0.48214285714285715,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|SOL|2025|0,b,201,17,30,1,26,3,0.4666666666666667,17,0.5294117647058824,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|BTC|2025|8000,b,182,47,81,5,68,8,0.48148148148148145,58,0.5086206896551724,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|SOL|2025|1000,b,183,10,12,1,9,2,0.4583333333333333,3,0.5,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|SOL|2025|7000,b,180,33,35,2,31,2,0.5,24,0.5208333333333334,0,0,0,0
2091_basis,2091_basis|BTC|2024|3000,BTC,2024,2091_basis|BTC|2025|12000,b,188,22,25,3,22,0,0.56,14,0.6071428571428571,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|SOL|2024|10000,a,181,44,57,2,51,4,0.4824561403508772,37,0.4864864864864865,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|SOL|2024|13000,a,173,14,15,0,13,2,0.43333333333333335,5,0.4,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|BTC|2025|1000,a,193,11,12,1,11,0,0.5416666666666666,6,0.5,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|BTC|2025|2000,a,204,25,41,4,32,5,0.4878048780487805,22,0.5454545454545454,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|SOL|2024|2000,a,179,31,39,3,34,2,0.5128205128205128,19,0.5526315789473685,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|BTC|2025|7000,a,186,47,55,5,45,5,0.5,31,0.5483870967741935,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|BTC|2024|1000,a,183,20,23,1,20,2,0.4782608695652174,13,0.46153846153846156,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|SOL|2025|8000,a,187,32,42,2,35,5,0.4642857142857143,21,0.4523809523809524,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|BTC|2024|4000,b,196,20,21,2,16,3,0.47619047619047616,11,0.5909090909090909,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|SOL|2025|15000,b,181,34,40,5,32,3,0.525,19,0.47368421052631576,0,0,0,0
2091_basis,2091_basis|BTC|2024|13000,BTC,2024,2091_basis|BTC|2025|13000,b,178,43,51,2,39,10,0.4215686274509804,28,0.48214285714285715,0,0,0,0
