dataset,analysis_kind,universe_scope,opportunities,realized_replacement_events,resample_mutable_replacement_events,edge_instances_from_mutable_events,edge_instances,unique_edges,recurring_edges,maximum_edge_support,observed_collision_pairs,null_collision_mean,null_collision_min,null_collision_max,collision_delta,empirical_upper_p,permutations,sources_above_null_mean,sources_below_null_mean,sources_tied_null_mean,source_sign_lower_p,source_sign_upper_p,source_sign_two_sided_p,null_preserves_real_opportunity_sets,null_preserves_pair_frequency_and_group_counts,fixed_support_threshold_used,future_used_for_candidate_grouping,future_used_for_replacement_outcome,memory_read,memory_written,influences_action,opportunities_a,opportunities_b,edge_instances_a,edge_instances_b,observed_cross_edge_matches,null_cross_mean,null_cross_min,null_cross_max,cross_match_delta
2091_basis,within_universe_edge_recurrence,all,12648,1974,0,0,1974,23,22,212,115931,115931,115931,115931,0,1.0,500,0,0,48,1.0,1.0,1.0,1,1,0,0,1,0,0,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,universe_a,6717,859,0,0,859,17,16,111,30850,30850,30850,30850,0,1.0,500,0,0,48,1.0,1.0,1.0,1,1,0,0,1,0,0,0,,,,,,,,,
2091_basis,within_universe_edge_recurrence,universe_b,5931,1115,0,0,1115,21,19,143,44287,44287,44287,44287,0,1.0,500,0,0,48,1.0,1.0,1.0,1,1,0,0,1,0,0,0,,,,,,,,,
2091_basis,cross_universe_edge_identity,a_to_b,,,,,,,,,,,,,,1.0,500,0,0,48,1.0,1.0,1.0,1,1,0,0,1,0,0,0,6717,5931,859,1115,40794,40794,40794,40794,0
2092_holdout,within_universe_edge_recurrence,all,12212,1567,0,0,1567,25,25,205,87151,87151,87151,87151,0,1.0,500,0,0,44,1.0,1.0,1.0,1,1,0,0,1,0,0,0,,,,,,,,,
2092_holdout,within_universe_edge_recurrence,universe_a,6578,926,0,0,926,20,20,181,39717,39717,39717,39717,0,1.0,500,0,0,44,1.0,1.0,1.0,1,1,0,0,1,0,0,0,,,,,,,,,
2092_holdout,within_universe_edge_recurrence,universe_b,5634,641,0,0,641,13,13,125,23085,23085,23085,23085,0,1.0,500,0,0,44,1.0,1.0,1.0,1,1,0,0,1,0,0,0,,,,,,,,,
2092_holdout,cross_universe_edge_identity,a_to_b,,,,,,,,,,,,,,1.0,500,0,0,44,1.0,1.0,1.0,1,1,0,0,1,0,0,0,6578,5634,926,641,24349,24349,24349,24349,0
