dataset,source,carried_opportunities,carried_continued,carried_continuation_rate,new_opportunities,new_continued,new_continuation_rate,continuation_rate_difference,continuation_rate_ratio,informative_age_strata,age_stratified_one_sided_p
2091_basis,BTC_2024,1353,708,0.5232815964523282,1257,692,0.5505171042163882,-0.02723550776406003,0.9505274085846482,28,0.9400192715784197
2091_basis,BTC_2025,2162,1491,0.6896392229417206,2015,1387,0.6883374689826303,0.0013017539590903793,1.0018911566168471,28,0.3366373280599582
2091_basis,SOL_2024,1497,1076,0.7187708750835003,1233,829,0.6723438767234388,0.04642699836006159,1.0690524595632762,28,0.013769785809917579
2091_basis,SOL_2025,1091,768,0.7039413382218148,881,584,0.662883087400681,0.04105825082113379,1.0619389023517447,26,0.007904570819393667
2092_holdout,DOGE_2024,722,495,0.685595567867036,638,387,0.6065830721003135,0.07901249576672253,1.130258326354442,17,0.005469984880215392
2092_holdout,DOGE_2025,905,562,0.6209944751381216,812,486,0.5985221674876847,0.02247230765043684,1.0375463247163677,14,0.2847867083276099
2092_holdout,PAXG_2024,144,99,0.6875,115,70,0.6086956521739131,0.07880434782608692,1.1294642857142856,10,0.3337304852391851
2092_holdout,PAXG_2025,364,172,0.4725274725274725,327,188,0.5749235474006116,-0.10239607487313906,0.8218961889174655,19,0.9994688883926848
2092_holdout,XRP_2024,1135,741,0.652863436123348,1258,898,0.7138314785373608,-0.06096804241401288,0.914590426105982,19,0.9997310490554221
2092_holdout,XRP_2025,828,481,0.5809178743961353,826,484,0.585956416464891,-0.005038542068755758,0.9914011658082804,15,0.7516913505792497
