symbol_family,candidate_class,present_in,same_field,same_reifung,xrp_events,multi_events,xrp_field,multi_field,xrp_reifung,multi_reifung,xrp_mcm,multi_mcm
dio_104t,robuste_feldsyntax,xrp_and_multi,1,1,3380,2412,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.577/0.150/0.724,0.588/0.163/0.726
dio_0l7p,robuste_feldsyntax,xrp_and_multi,1,1,1046,2063,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.575/0.133/0.729,0.594/0.151/0.733
dio_155c,robuste_feldsyntax,xrp_and_multi,1,1,1872,1208,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.563/0.160/0.716,0.580/0.171/0.721
dio_0m9z,robuste_feldsyntax,xrp_and_multi,1,1,1734,1191,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.558/0.167/0.710,0.575/0.181/0.713
dio_14wj,robuste_feldsyntax,xrp_and_multi,1,1,964,1696,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.577/0.127/0.733,0.599/0.143/0.739
dio_0h9h,robuste_feldsyntax,xrp_and_multi,1,1,1318,1012,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.573/0.140/0.726,0.590/0.157/0.730
dio_00ly,robuste_feldsyntax,xrp_and_multi,1,1,852,619,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.568/0.136/0.726,0.587/0.156/0.730
dio_1pij,robuste_feldsyntax,xrp_and_multi,1,1,708,29,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.533/0.179/0.696,0.464/0.196/0.670
dio_00ja,robuste_feldsyntax,xrp_and_multi,1,1,684,242,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.551/0.163/0.704,0.562/0.183/0.702
dio_1ewh,robuste_feldsyntax,xrp_and_multi,1,1,642,150,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.556/0.149/0.715,0.559/0.168/0.710
dio_0dd2,robuste_feldsyntax,xrp_and_multi,1,1,616,431,tragende_rekopplung,tragende_rekopplung,weltuebergreifend_feldstabil,weltuebergreifend_feldstabil,0.571/0.136/0.729,0.587/0.156/0.732
