role_family,symbol_family,source_present,source_overlap_status,boundary
rf_05,dio_0fe7,1,anschluss_teilweise,passive_source_overlap_member_trace_no_action_no_direction
rf_05,dio_1xrt,1,anschluss_teilweise,passive_source_overlap_member_trace_no_action_no_direction
rf_05,dio_0ein,0,anschluss_teilweise,passive_source_overlap_member_trace_no_action_no_direction
rf_05,dio_0qup,0,anschluss_teilweise,passive_source_overlap_member_trace_no_action_no_direction
rf_05,dio_0u24,0,anschluss_teilweise,passive_source_overlap_member_trace_no_action_no_direction
rf_05,dio_0v65,0,anschluss_teilweise,passive_source_overlap_member_trace_no_action_no_direction
rf_05,dio_17dc,0,anschluss_teilweise,passive_source_overlap_member_trace_no_action_no_direction
rf_05,dio_1ba6,0,anschluss_teilweise,passive_source_overlap_member_trace_no_action_no_direction
rf_06,dio_0f8s,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_06,dio_0gh3,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_06,dio_0lr0,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_06,dio_0nx9,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_06,dio_0s8r,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_06,dio_1ejq,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_06,dio_1xme,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_06,dio_1yhs,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_07,dio_0g2r,1,anschluss_genuegend,passive_source_overlap_member_trace_no_action_no_direction
rf_07,dio_1ewh,1,anschluss_genuegend,passive_source_overlap_member_trace_no_action_no_direction
rf_08,dio_0h6t,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_08,dio_1w94,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_10,dio_0ioc,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_10,dio_0jsd,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_13,dio_14l0,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_13,dio_1sub,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_13,dio_1t9l,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_17,dio_1cmd,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_17,dio_1udx,0,anschluss_fehlend,passive_source_overlap_member_trace_no_action_no_direction
rf_21,dio_1pij,1,anschluss_genuegend,passive_source_overlap_member_trace_no_action_no_direction
rf_21,dio_1v2w,1,anschluss_genuegend,passive_source_overlap_member_trace_no_action_no_direction
