dataset,excluded_source,carried_opportunities,carried_continued,carried_continuation_rate,new_opportunities,new_continued,new_continuation_rate,continuation_rate_difference,continuation_rate_ratio
2091_basis,BTC_2024,4750,3335,0.7021052631578948,4129,2800,0.6781302978929523,0.02397496526494247,1.0353545112781954
2091_basis,BTC_2025,3941,2552,0.6475513828977417,3371,2105,0.6244437852269357,0.023107597670806057,1.037005088716526
2091_basis,SOL_2024,4606,2967,0.644159791576205,4153,2663,0.6412232121358055,0.0029365794403994894,1.0045796524280808
2091_basis,SOL_2025,5012,3275,0.6534317637669593,4505,2908,0.6455049944506104,0.007926769316348947,1.0122799504023907
2092_holdout,DOGE_2024,3376,2055,0.6087085308056872,3338,2126,0.6369083283403235,-0.028199797534636306,0.9557239303054488
2092_holdout,DOGE_2025,3193,1988,0.6226119636705293,3164,2027,0.6406447534766119,-0.018032789806082583,0.9718521228680586
2092_holdout,PAXG_2024,3954,2451,0.6198786039453718,3861,2443,0.6327376327376327,-0.012859028792260974,0.9796771550688008
2092_holdout,PAXG_2025,3734,2378,0.6368505623995715,3649,2325,0.6371608659906823,-0.0003103035911108387,0.9995129901918437
2092_holdout,XRP_2024,2963,1809,0.6105298683766452,2718,1615,0.594186902133922,0.016342966242723245,1.0275047568097349
2092_holdout,XRP_2025,3270,2069,0.6327217125382263,3150,2029,0.6441269841269841,-0.011405271588757815,0.9822934423338654
