dataset,control,metric,direction,observed,null_mean,null_sd,null_min,null_max,empirical_p_ge_observed,permutations,seed,accepted_swaps_mean,attempted_swaps
2091_basis,relation_internal_gap_order,conditional_minus_global_mean,higher,-0.01488685011872832,-0.013060990434880258,0.0011427746539804853,-0.016626860614480887,-0.010095980651450828,0.9253731343283582,200,2098,,
2091_basis,world_activity_and_relation_degree_preserving_swaps,conditional_minus_global_mean,higher,-0.01488685011872832,-0.014257591641086224,0.0012868927250287699,-0.017123725520034105,-0.009389604070247578,0.6274509803921569,50,2099,32899.5,126160
2091_basis,relation_internal_gap_order,conditional_minus_relation_mean,higher,0.10330591938359072,0.10030934194552686,0.0016626889367550716,0.09571239447045653,0.10649242662345207,0.03980099502487562,200,2098,,
2091_basis,world_activity_and_relation_degree_preserving_swaps,conditional_minus_relation_mean,higher,0.10330591938359072,0.10419243653872977,0.0020217650402967963,0.0984826567730064,0.10762468882146269,0.6666666666666666,50,2099,32899.5,126160
2092_holdout,relation_internal_gap_order,conditional_minus_global_mean,higher,-0.01866531654536555,-0.016529286045140992,0.0013702607472675565,-0.02009556222883964,-0.013087545179816754,0.9303482587064676,200,2100,,
2092_holdout,world_activity_and_relation_degree_preserving_swaps,conditional_minus_global_mean,higher,-0.01866531654536555,-0.017397460909602903,0.001528824977473567,-0.02249513061955746,-0.014570194774557748,0.8823529411764706,50,2101,24531.66,96560
2092_holdout,relation_internal_gap_order,conditional_minus_relation_mean,higher,0.10998510466322076,0.10852431752174144,0.0020635317456508826,0.10168320571381877,0.11360760675181072,0.22885572139303484,200,2100,,
2092_holdout,world_activity_and_relation_degree_preserving_swaps,conditional_minus_relation_mean,higher,0.10998510466322076,0.11134538231926008,0.0022120656185987556,0.1063363378931741,0.11567670466596236,0.7254901960784313,50,2101,24531.66,96560
