preview_symbol,field_function_class,field_function_variant,field_function_confidence,depth_score,depth_state,world_count,count,avg_afterimage,avg_recurrence,avg_rekopplung,avg_strain,avg_sensory_coupling,last_world,world_binding_quality,world_binding_confidence,real_world_count,null_world_count,synthetic_world_count,real_observation_share,null_observation_share,synthetic_observation_share,worlds,effects,passive_only,influences_action,is_gate,is_motoric
dio_mcm_episode_0j5jlak,milieu_island,quiet_deep_recoupling,0.668299,0.888243,multiworld_depth_seed,6,10,0.861784,0.97587,0.735577,0.146917,0.860255,MB_TARGET_RUHIG_PAXG_REAL2024,realworld_bound,0.933446,6,0,0,1.0,0.0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A:3; REAL_FOLLOW_BTC_6000:2; REAL_FOLLOW_DOGE_6000:2; MB_TARGET_RUHIG_PAXG_REAL2024:1; PAXG_1846_A:1; REAL_TIME_2024_PAXG:1,stabil:10,1,0,0,0
dio_mcm_episode_1k1vudq,milieu_island,quiet_deep_recoupling,0.678438,0.888153,multiworld_depth_seed,5,6,0.851926,0.98239,0.737449,0.160208,0.864497,WB_REAL_BTC_2024_10K,realworld_bound,0.894849,5,0,0,1.0,0.0,0.0,REAL_FOLLOW_XRP_6000:2; PAXG_1846_A:1; REAL_FOLLOW_PAXG_6000:1; REAL_TIME_2024_BTC_5M:1; WB_REAL_BTC_2024_10K:1,stabil:6,1,0,0,0
dio_mcm_episode_1qmlwcr,active_recoupling,compact_carried_recoupling,0.675332,0.874169,multiworld_depth_seed,12,20,0.847594,0.926318,0.734375,0.156013,0.864559,MB_TARGET_UEBERGANG_DOGE2024,realworld_bound,0.931897,12,0,0,1.0,0.0,0.0,FOLLOW_EQ10K_PAXG_2024_5M:4; FOLLOW_EQ10K_XRP_2024_5M:3; REAL_FOLLOW_XRP_6000:3; PAXG_1846_A:2; BTC_10K_A:1; BTC_FIELD_QUIET_02:1; BTC_LONG_2024_5M_QUIET:1; BTC_STRESS_2025_5M:1,stabil:20,1,0,0,0
dio_mcm_episode_103jy5j,milieu_island,quiet_deep_recoupling,0.672895,0.869221,multiworld_depth_seed,4,4,0.828795,0.968217,0.711866,0.179921,0.818057,WB_REAL_BTC_2024_10K,realworld_bound,0.850665,4,0,0,1.0,0.0,0.0,PAXG_1846_A:1; REAL_TIME_2024_BTC_5M:1; REAL_TIME_2024_SOL_ALTSEQ_A:1; WB_REAL_BTC_2024_10K:1,stabil:4,1,0,0,0
dio_mcm_episode_1dxx3n8,active_recoupling,compact_carried_recoupling,0.675044,0.867045,multiworld_depth_seed,11,24,0.845235,0.912952,0.724134,0.163557,0.859073,MB_TARGET_RUHIG_BTC_QUIET2025,realworld_bound,0.930574,11,0,0,1.0,0.0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A:5; PAXG_1846_A:3; REAL_FOLLOW_PAXG_6000:3; REAL_TIME_2024_BTC_5M:3; WB_REAL_BTC_2024_10K:3; REAL_FOLLOW_BTC_6000:2; BTC_LONG_2025_5M_QUIET:1; MB_TARGET_RUHIG_BTC_QUIET2025:1,stabil:24,1,0,0,0
dio_mcm_episode_08op00s,active_recoupling,compact_carried_recoupling,0.692735,0.861975,multiworld_depth_seed,17,52,0.818441,0.898826,0.73166,0.152782,0.869511,WB_NULL_BTC_SHUFFLE_10K,realworld_bound,0.915215,16,1,0,0.961538,0.038462,0.0,FOLLOW_EQ10K_XRP_2024_5M:10; FOLLOW_EQ10K_PAXG_2024_5M:8; FOLLOW_XRP_2024_5M_2000:5; QUIET_NEAR_PAXG2025_1H:4; BTC_10K_A:3; BTC_FIELD_QUIET_05:3; BTC_STRESS_2025_5M:3; REAL_TIME_2023_SOL_ALTSEQ_A:3,stabil:52,1,0,0,0
dio_mcm_episode_0pvq9jm,milieu_island,quiet_deep_recoupling,0.653047,0.860662,multiworld_depth_seed,5,10,0.832542,0.883699,0.728616,0.156062,0.874398,WB_REAL_BTC_2024_10K,realworld_bound,0.886346,5,0,0,1.0,0.0,0.0,REAL_FOLLOW_PAXG_6000:4; PAXG_1846_A:2; REAL_TIME_2024_SOL_ALTSEQ_A:2; REAL_TIME_2024_BTC_5M:1; WB_REAL_BTC_2024_10K:1,stabil:10,1,0,0,0
dio_mcm_episode_0s13pzp,milieu_island,quiet_deep_recoupling,0.661907,0.860562,multiworld_depth_seed,4,5,0.825762,0.866439,0.73986,0.136898,0.88956,WB_NULL_BTC_SHUFFLE_10K,realworld_bound,0.719568,3,1,0,0.8,0.2,0.0,REAL_FOLLOW_BTC_6000:2; PAXG_1846_A:1; REAL_FOLLOW_PAXG_6000:1; WB_NULL_BTC_SHUFFLE_10K:1,stabil:5,1,0,0,0
dio_mcm_episode_07a7zoq,active_recoupling,compact_carried_recoupling,0.67573,0.860212,multiworld_depth_seed,8,21,0.812163,0.913113,0.72306,0.162326,0.856355,MB_TARGET_RUHIG_BTC_QUIET2025,realworld_bound,0.92944,8,0,0,1.0,0.0,0.0,REAL_TIME_2024_BTC_5M:5; WB_REAL_BTC_2024_10K:5; PAXG_1846_A:3; REAL_FOLLOW_PAXG_6000:3; REAL_FOLLOW_BTC_6000:2; BTC_LONG_2025_5M_QUIET:1; MB_TARGET_RUHIG_BTC_QUIET2025:1; QUIET_NEAR_BTC_1869:1,stabil:21,1,0,0,0
dio_mcm_episode_06eyd53,active_recoupling,compact_carried_recoupling,0.672478,0.860179,multiworld_depth_seed,8,15,0.830003,0.89754,0.723619,0.160807,0.852127,WB_NULL_BTC_SHUFFLE_10K,realworld_bound,0.870313,7,1,0,0.866667,0.133333,0.0,REAL_TIME_2024_BTC_5M:3; WB_REAL_BTC_2024_10K:3; FOLLOW_EQ10K_XRP_2024_5M:2; REAL_TIME_2024_SOL_ALTSEQ_A:2; WB_NULL_BTC_SHUFFLE_10K:2; BTC_10K_A:1; BTC_STRESS_2025_5M:1; REAL_FOLLOW_DOGE_6000:1,stabil:15,1,0,0,0
dio_mcm_episode_0uohah2,milieu_island,quiet_deep_recoupling,0.689686,0.85807,multiworld_depth_seed,4,52,0.816671,0.89149,0.727055,0.156199,0.862672,MB_TARGET_RUHIG_PAXG_REAL2024,realworld_bound,0.802547,3,1,0,0.980769,0.019231,0.0,REAL_FOLLOW_BTC_6000:41; MB_TARGET_RUHIG_PAXG_REAL2024:5; REAL_TIME_2024_PAXG:5; WB_NULL_BTC_SHUFFLE_10K:1,stabil:52,1,0,0,0
dio_mcm_episode_1avuyqc,active_recoupling,compact_carried_recoupling,0.672824,0.853125,multiworld_depth_seed,8,24,0.819397,0.891006,0.716001,0.170732,0.837646,MB_TARGET_RUHIG_PAXG_REAL2024,realworld_bound,0.927758,8,0,0,1.0,0.0,0.0,REAL_TIME_2024_SOL_ALTSEQ_A:7; PAXG_1846_A:3; REAL_FOLLOW_DOGE_6000:3; REAL_TIME_2024_BTC_5M:3; WB_REAL_BTC_2024_10K:3; MB_TARGET_RUHIG_PAXG_REAL2024:2; REAL_TIME_2024_PAXG:2; REAL_FOLLOW_XRP_6000:1,stabil:24,1,0,0,0
