dataset,profile_component,edge_index,left_anonymous_node,right_anonymous_node,distance,same_triad_posthoc,left_triad_posthoc,right_triad_posthoc,graph_used_triad_label,memory_written,influences_action
2091_basis,edge,1,a_001,b_015,0.002994599901816386,0,triad_001,triad_015,0,0,0
2091_basis,edge,2,a_002,b_012,0.00641613300017102,0,triad_002,triad_012,0,0,0
2091_basis,edge,3,a_003,b_008,0.005418691693201416,0,triad_003,triad_008,0,0,0
2091_basis,edge,4,a_004,b_009,0.009071857954069396,0,triad_004,triad_009,0,0,0
2091_basis,edge,5,a_005,b_006,0.005419341792629262,0,triad_005,triad_006,0,0,0
2091_basis,edge,6,a_007,b_007,0.01863376124604388,1,triad_007,triad_007,0,0,0
2091_basis,edge,7,a_009,b_004,0.0038626350413423216,0,triad_009,triad_004,0,0,0
2091_basis,edge,8,a_011,b_011,0.010749070658367055,1,triad_011,triad_011,0,0,0
2091_basis,edge,9,a_013,b_013,0.009800077589551315,1,triad_013,triad_013,0,0,0
2091_basis,edge,10,a_014,b_014,0.006305777923287514,1,triad_014,triad_014,0,0,0
2091_basis,center,1,a_001,b_015,0.005391718273948409,0,triad_001,triad_015,0,0,0
2091_basis,center,2,a_002,b_012,0.010305048605329548,0,triad_002,triad_012,0,0,0
2091_basis,center,3,a_003,b_008,0.006038980969920227,0,triad_003,triad_008,0,0,0
2091_basis,center,4,a_004,b_001,0.004378895755409895,0,triad_004,triad_001,0,0,0
2091_basis,center,5,a_005,b_006,0.0015545475840626488,0,triad_005,triad_006,0,0,0
2091_basis,center,6,a_008,b_016,0.004527803418531429,0,triad_008,triad_016,0,0,0
2091_basis,center,7,a_010,b_003,0.008316008316008316,0,triad_010,triad_003,0,0,0
2091_basis,center,8,a_011,b_011,0.005911153459673246,1,triad_011,triad_011,0,0,0
2091_basis,center,9,a_013,b_013,0.008394184214501998,1,triad_013,triad_013,0,0,0
2091_basis,center,10,a_014,b_014,0.006318446746111317,1,triad_014,triad_014,0,0,0
2091_basis,combined,1,a_001,b_015,0.004891336340916513,0,triad_001,triad_015,0,0,0
2091_basis,combined,2,a_002,b_012,0.008312458672366352,0,triad_002,triad_012,0,0,0
2091_basis,combined,3,a_003,b_005,0.006817321684081834,0,triad_003,triad_005,0,0,0
2091_basis,combined,4,a_004,b_009,0.006756587965598415,0,triad_004,triad_009,0,0,0
2091_basis,combined,5,a_005,b_006,0.006066979970859726,0,triad_005,triad_006,0,0,0
2091_basis,combined,6,a_008,b_016,0.014705952288482066,0,triad_008,triad_016,0,0,0
2091_basis,combined,7,a_009,b_001,0.007244350964983215,0,triad_009,triad_001,0,0,0
2091_basis,combined,8,a_011,b_011,0.007945689634416275,1,triad_011,triad_011,0,0,0
2091_basis,combined,9,a_013,b_013,0.010268509307306939,1,triad_013,triad_013,0,0,0
2091_basis,combined,10,a_014,b_014,0.006900718974998166,1,triad_014,triad_014,0,0,0
2091_basis,strict_edge,1,a_001,b_015,0.16339869281045757,0,triad_001,triad_015,0,0,0
2091_basis,strict_edge,2,a_002,b_001,0.0769230769230769,0,triad_002,triad_001,0,0,0
2091_basis,strict_edge,3,a_006,b_006,0.02500000000000001,1,triad_006,triad_006,0,0,0
2091_basis,strict_edge,4,a_007,b_007,0.2115384615384615,1,triad_007,triad_007,0,0,0
2091_basis,strict_edge,5,a_008,b_013,0.10256410256410253,0,triad_008,triad_013,0,0,0
2091_basis,strict_edge,6,a_009,b_008,0.10989010989010989,0,triad_009,triad_008,0,0,0
2091_basis,strict_edge,7,a_011,b_004,0.11904761904761905,0,triad_011,triad_004,0,0,0
2091_basis,strict_edge,8,a_012,b_012,0.17882352941176471,1,triad_012,triad_012,0,0,0
2091_basis,strict_edge,9,a_014,b_014,0.2416666666666667,1,triad_014,triad_014,0,0,0
2091_basis,strict_center,1,a_001,b_001,0.13574660633484162,1,triad_001,triad_001,0,0,0
2091_basis,strict_center,2,a_002,b_010,0.10033444816053505,0,triad_002,triad_010,0,0,0
2091_basis,strict_center,3,a_004,b_008,0.08173076923076922,0,triad_004,triad_008,0,0,0
2091_basis,strict_center,4,a_005,b_013,0.056410256410256404,0,triad_005,triad_013,0,0,0
2091_basis,strict_center,5,a_006,b_006,0.10000000000000003,1,triad_006,triad_006,0,0,0
2091_basis,strict_center,6,a_012,b_015,0.12444444444444439,0,triad_012,triad_015,0,0,0
2091_basis,strict_center,7,a_013,b_009,0.06535947712418302,0,triad_013,triad_009,0,0,0
2091_basis,strict_center,8,a_016,b_016,0.326797385620915,1,triad_016,triad_016,0,0,0
2091_basis,strict_combined,1,a_002,b_001,0.15384615384615385,0,triad_002,triad_001,0,0,0
2091_basis,strict_combined,2,a_003,b_004,0.2785714285714285,0,triad_003,triad_004,0,0,0
2091_basis,strict_combined,3,a_005,b_009,0.15555555555555553,0,triad_005,triad_009,0,0,0
2091_basis,strict_combined,4,a_006,b_006,0.06250000000000003,1,triad_006,triad_006,0,0,0
2091_basis,strict_combined,5,a_007,b_007,0.423076923076923,1,triad_007,triad_007,0,0,0
2091_basis,strict_combined,6,a_008,b_013,0.11965811965811968,0,triad_008,triad_013,0,0,0
2091_basis,strict_combined,7,a_009,b_008,0.23076923076923078,0,triad_009,triad_008,0,0,0
2091_basis,strict_combined,8,a_012,b_012,0.22352941176470584,1,triad_012,triad_012,0,0,0
2091_basis,strict_combined,9,a_014,b_014,0.35,1,triad_014,triad_014,0,0,0
2091_basis,strict_combined,10,a_016,b_016,0.2549019607843137,1,triad_016,triad_016,0,0,0
2092_holdout,edge,1,a_002,b_002,0.0039023405263989286,1,triad_002,triad_002,0,0,0
2092_holdout,edge,2,a_004,b_004,0.00445742802772664,1,triad_004,triad_004,0,0,0
2092_holdout,edge,3,a_005,b_005,0.003915628447213049,1,triad_005,triad_005,0,0,0
2092_holdout,edge,4,a_006,b_009,0.004341243356816238,0,triad_006,triad_009,0,0,0
2092_holdout,edge,5,a_012,b_007,0.005172564700822002,0,triad_012,triad_007,0,0,0
2092_holdout,edge,6,a_013,b_003,0.003387161565035768,0,triad_013,triad_003,0,0,0
2092_holdout,edge,7,a_014,b_011,0.006663116703784722,0,triad_014,triad_011,0,0,0
2092_holdout,edge,8,a_015,b_010,0.008812800716124003,0,triad_015,triad_010,0,0,0
2092_holdout,center,1,a_002,b_009,0.0031687382115394014,0,triad_002,triad_009,0,0,0
2092_holdout,center,2,a_004,b_004,0.005669628613654776,1,triad_004,triad_004,0,0,0
2092_holdout,center,3,a_005,b_005,0.0037886067261496126,1,triad_005,triad_005,0,0,0
2092_holdout,center,4,a_012,b_007,0.0031153057468846224,0,triad_012,triad_007,0,0,0
2092_holdout,center,5,a_013,b_003,0.0039034324748610794,0,triad_013,triad_003,0,0,0
2092_holdout,center,6,a_014,b_011,0.007738499376811092,0,triad_014,triad_011,0,0,0
2092_holdout,center,7,a_015,b_010,0.012577428184972095,0,triad_015,triad_010,0,0,0
2092_holdout,combined,1,a_002,b_002,0.0057631858337006125,1,triad_002,triad_002,0,0,0
2092_holdout,combined,2,a_004,b_004,0.00587657324661961,1,triad_004,triad_004,0,0,0
2092_holdout,combined,3,a_005,b_005,0.0038510721261882652,1,triad_005,triad_005,0,0,0
2092_holdout,combined,4,a_006,b_009,0.004943899295479531,0,triad_006,triad_009,0,0,0
2092_holdout,combined,5,a_012,b_007,0.004133955965993336,0,triad_012,triad_007,0,0,0
2092_holdout,combined,6,a_013,b_003,0.005042622470164793,0,triad_013,triad_003,0,0,0
2092_holdout,combined,7,a_014,b_011,0.009868846013424332,0,triad_014,triad_011,0,0,0
2092_holdout,combined,8,a_015,b_010,0.009822009093654854,0,triad_015,triad_010,0,0,0
2092_holdout,strict_edge,1,a_002,b_010,0.2941176470588236,0,triad_002,triad_010,0,0,0
2092_holdout,strict_edge,2,a_003,b_012,0.26666666666666666,0,triad_003,triad_012,0,0,0
2092_holdout,strict_edge,3,a_005,b_002,0.18414322250639392,0,triad_005,triad_002,0,0,0
2092_holdout,strict_edge,4,a_008,b_011,0.1619190404797601,0,triad_008,triad_011,0,0,0
2092_holdout,strict_edge,5,a_009,b_004,0.025641025641025578,0,triad_009,triad_004,0,0,0
2092_holdout,strict_edge,6,a_014,b_003,0.0,0,triad_014,triad_003,0,0,0
2092_holdout,strict_edge,7,a_015,b_015,0.30769230769230776,1,triad_015,triad_015,0,0,0
2092_holdout,strict_center,1,a_002,b_009,0.13574660633484162,0,triad_002,triad_009,0,0,0
2092_holdout,strict_center,2,a_003,b_006,0.0,0,triad_003,triad_006,0,0,0
2092_holdout,strict_center,3,a_004,b_004,0.3999999999999999,1,triad_004,triad_004,0,0,0
2092_holdout,strict_center,4,a_005,b_002,0.08184143222506385,0,triad_005,triad_002,0,0,0
2092_holdout,strict_center,5,a_007,b_008,0.1538461538461538,0,triad_007,triad_008,0,0,0
2092_holdout,strict_center,6,a_008,b_012,0.13218390804597707,0,triad_008,triad_012,0,0,0
2092_holdout,strict_center,7,a_013,b_005,0.16666666666666663,0,triad_013,triad_005,0,0,0
2092_holdout,strict_center,8,a_014,b_013,0.21428571428571427,0,triad_014,triad_013,0,0,0
2092_holdout,strict_combined,1,a_001,b_001,0.29166666666666663,1,triad_001,triad_001,0,0,0
2092_holdout,strict_combined,2,a_003,b_003,0.20476190476190476,1,triad_003,triad_003,0,0,0
2092_holdout,strict_combined,3,a_005,b_002,0.13299232736572889,0,triad_005,triad_002,0,0,0
2092_holdout,strict_combined,4,a_007,b_008,0.28365384615384615,0,triad_007,triad_008,0,0,0
2092_holdout,strict_combined,5,a_008,b_014,0.1961206896551724,0,triad_008,triad_014,0,0,0
2092_holdout,strict_combined,6,a_009,b_004,0.23717948717948717,0,triad_009,triad_004,0,0,0
2092_holdout,strict_combined,7,a_014,b_013,0.17857142857142855,0,triad_014,triad_013,0,0,0
