dataset,finalization_index,incoming_relation_events,new_relations,active_relations,shared_relations,direct_relations,direct_moved_shallower,direct_moved_deeper,direct_unchanged,direct_depth_changes,direct_depth_change_share,direct_absolute_depth_change_sum,direct_mean_absolute_depth_change,indirect_relations,indirect_moved_shallower,indirect_moved_deeper,indirect_unchanged,indirect_depth_changes,indirect_depth_change_share,indirect_absolute_depth_change_sum,indirect_mean_absolute_depth_change,indirect_minus_direct_depth_change_share,indirect_share_of_all_depth_changes,future_event_reads,null_mean_indirect_depth_change_share,observed_minus_null_mean_indirect_depth_change_share
2091_basis,1,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
2091_basis,2,17,17,17,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0
2091_basis,3,29,25,42,17,4,0,0,4,0,0.0,0,0.0,13,0,13,0,13,1.0,26,2.0,1.0,1.0,0,0.9176923076923074,0.08230769230769264
2091_basis,4,41,32,74,42,9,1,5,3,6,0.6666666666666666,6,0.6666666666666666,33,0,33,0,33,1.0,99,3.0,0.33333333333333337,0.8461538461538461,0,0.8024242424242423,0.19757575757575774
2091_basis,5,49,30,104,74,19,7,4,8,11,0.5789473684210527,12,0.631578947368421,55,0,55,0,55,1.0,165,3.0,0.42105263157894735,0.8333333333333334,0,0.9667272727272733,0.033272727272726677
2091_basis,6,53,25,129,104,28,8,8,12,16,0.5714285714285714,21,0.75,76,0,76,0,76,1.0,228,3.0,0.4285714285714286,0.8260869565217391,0,0.9405263157894737,0.059473684210526345
2091_basis,7,68,35,164,129,33,8,8,17,16,0.48484848484848486,17,0.5151515151515151,96,0,96,0,96,1.0,288,3.0,0.5151515151515151,0.8571428571428571,0,0.9683333333333332,0.03166666666666684
2091_basis,8,55,27,191,164,28,21,0,7,21,0.75,41,1.4642857142857142,136,0,136,0,136,1.0,266,1.9558823529411764,0.25,0.8662420382165605,0,0.8596323529411763,0.14036764705882365
2091_basis,9,80,41,232,191,39,36,0,3,36,0.9230769230769231,88,2.2564102564102564,152,0,151,1,151,0.993421052631579,153,1.006578947368421,0.07034412955465585,0.8074866310160428,0,0.7730921052631582,0.2203289473684208
2091_basis,10,79,22,254,232,57,11,30,16,41,0.7192982456140351,60,1.0526315789473684,175,0,175,0,175,1.0,696,3.9771428571428573,0.2807017543859649,0.8101851851851852,0,0.972285714285714,0.027714285714286024
2091_basis,11,90,46,300,254,44,21,9,14,30,0.6818181818181818,61,1.3863636363636365,210,0,208,2,208,0.9904761904761905,619,2.947619047619048,0.30865800865800874,0.8739495798319328,0,0.7884761904761904,0.20200000000000007
2091_basis,12,91,32,332,300,59,40,1,18,41,0.6949152542372882,84,1.423728813559322,241,0,241,0,241,1.0,489,2.029045643153527,0.30508474576271183,0.8546099290780141,0,0.7853112033195019,0.21468879668049812
2091_basis,13,123,40,372,332,83,38,12,33,50,0.6024096385542169,120,1.4457831325301205,249,0,247,2,247,0.9919678714859438,741,2.9759036144578315,0.38955823293172687,0.8316498316498316,0,0.9053012048192773,0.08666666666666645
2091_basis,14,92,24,396,372,68,48,1,19,49,0.7205882352941176,91,1.338235294117647,304,0,303,1,303,0.9967105263157895,604,1.986842105263158,0.27612229102167185,0.8607954545454546,0,0.8679934210526313,0.12871710526315816
2091_basis,15,140,59,455,396,81,13,40,28,53,0.654320987654321,94,1.1604938271604939,315,0,315,0,315,1.0,1252,3.9746031746031747,0.345679012345679,0.8559782608695652,0,0.8454920634920627,0.15450793650793726
2091_basis,16,126,50,505,455,76,70,0,6,70,0.9210526315789473,219,2.8815789473684212,379,337,20,22,357,0.941952506596306,368,0.9709762532981531,0.020899875017358682,0.8360655737704918,0,0.753931398416887,0.18802110817941897
2091_basis,17,101,34,539,505,67,63,0,4,63,0.9402985074626866,244,3.6417910447761193,438,430,3,5,433,0.9885844748858448,473,1.0799086757990868,0.04828596742315816,0.8729838709677419,0,0.8016666666666674,0.18691780821917736
2091_basis,18,103,16,555,539,87,6,65,16,71,0.8160919540229885,135,1.5517241379310345,452,0,452,0,452,1.0,2208,4.884955752212389,0.1839080459770115,0.864244741873805,0,0.9105088495575212,0.0894911504424788
2091_basis,19,96,18,573,555,78,60,0,18,60,0.7692307692307693,208,2.6666666666666665,477,1,21,455,22,0.04612159329140461,25,0.05241090146750524,-0.7231091759393646,0.2682926829268293,0,0.7732494758909856,-0.7271278825995809
2091_basis,20,126,35,608,573,91,84,2,5,86,0.945054945054945,265,2.912087912087912,482,8,30,444,38,0.07883817427385892,46,0.0954356846473029,-0.8662167707810862,0.3064516129032258,0,0.7682365145228215,-0.6893983402489625
2091_basis,21,141,51,659,608,90,35,22,33,57,0.6333333333333333,111,1.2333333333333334,518,0,511,7,511,0.9864864864864865,1477,2.8513513513513513,0.3531531531531532,0.8996478873239436,0,0.8142084942084941,0.17227799227799245
2091_basis,22,145,46,705,659,99,93,1,5,94,0.9494949494949495,330,3.3333333333333335,560,24,31,505,55,0.09821428571428571,64,0.11428571428571428,-0.8512806637806638,0.3691275167785235,0,0.8426428571428575,-0.7444285714285718
2091_basis,23,114,33,738,705,81,66,2,13,68,0.8395061728395061,250,3.0864197530864197,624,565,13,46,578,0.9262820512820513,583,0.9342948717948718,0.0867758784425452,0.8947368421052632,0,0.7835737179487182,0.1427083333333331
