dataset,gap_ticks,scope,directed_pairs,syntax_changed_pairs,syntax_changed_pair_share,syntax_different_ticks_total,syntax_boundary_differences_total,syntax_node_set_differences_total,syntax_edge_set_differences_total,order_changed_pairs,order_changed_pair_share,minimum_order_different_ticks,median_order_different_ticks,mean_order_different_ticks,maximum_order_different_ticks,median_order_last_difference_tick,maximum_order_last_difference_tick,mean_rank_pair_disagreements_when_changed,maximum_rank_pair_disagreements,order_boundary_differences_total,order_node_set_differences_total,order_edge_set_differences_total,order_edge_observation_differences_total,first_signature_order_duration_correlation,uses_existing_dio_syntax,activation_order_threshold,field_learning_used,memory_read,memory_written,influences_action
2091_basis,0,all,120,0,0.0,0,0,0,0,120,1.0,1,7.0,7.125,14,21.0,73,1.270855278980279,5,129,183,1317,2437,-0.005712635358212409,1,0,0,0,0,0
2091_basis,0,forward,60,0,0.0,0,0,0,0,60,1.0,1,7.0,7.15,13,20.0,73,1.278330142080142,4,63,92,656,1203,-0.1317146691438535,1,0,0,0,0,0
2091_basis,0,reverse,60,0,0.0,0,0,0,0,60,1.0,3,7.0,7.1,14,21.5,73,1.2633804158804158,5,66,91,661,1234,0.12407917000747544,1,0,0,0,0,0
2091_basis,1,all,120,0,0.0,0,0,0,0,120,1.0,1,7.0,6.616666666666666,14,19.0,73,1.2538807257557258,5,121,168,1256,2281,-0.012501224711106223,1,0,0,0,0,0
2091_basis,1,forward,60,0,0.0,0,0,0,0,60,1.0,1,7.0,6.716666666666667,13,18.5,73,1.255135188885189,4,59,84,635,1147,-0.12252624343763191,1,0,0,0,0,0
2091_basis,1,reverse,60,0,0.0,0,0,0,0,60,1.0,1,6.0,6.516666666666667,14,19.0,73,1.2526262626262625,5,62,84,621,1134,0.10145280921227023,1,0,0,0,0,0
2091_basis,2,all,120,0,0.0,0,0,0,0,120,1.0,1,6.0,5.991666666666666,13,17.0,73,1.2500252062752062,4,113,160,1186,2113,-0.020218069171198096,1,0,0,0,0,0
2091_basis,2,forward,60,0,0.0,0,0,0,0,60,1.0,1,6.0,6.066666666666666,13,17.5,73,1.2459691234691235,4,57,81,599,1057,-0.10025880852977492,1,0,0,0,0,0
2091_basis,2,reverse,60,0,0.0,0,0,0,0,60,1.0,1,6.0,5.916666666666667,12,17.0,73,1.2540812890812891,4,56,79,587,1056,0.0648994088036747,1,0,0,0,0,0
2091_basis,4,all,120,0,0.0,0,0,0,0,119,0.9916666666666667,0,5.0,5.125,12,16.0,73,1.189511483886484,4,102,139,1075,1888,-0.06772281186437669,1,0,0,0,0,0
2091_basis,4,forward,60,0,0.0,0,0,0,0,60,1.0,1,5.0,5.166666666666667,11,17.0,73,1.1705441317941319,4,49,68,541,951,-0.16885540311917055,1,0,0,0,0,0
2091_basis,4,reverse,60,0,0.0,0,0,0,0,59,0.9833333333333333,0,5.0,5.083333333333333,12,15.5,73,1.2084788359788359,4,53,71,534,937,0.03474853839984124,1,0,0,0,0,0
2091_basis,8,all,120,0,0.0,0,0,0,0,114,0.95,0,4.0,3.816666666666667,9,12.0,73,1.0856679894179895,3,79,132,859,1439,-0.004404227785935242,1,0,0,0,0,0
2091_basis,8,forward,60,0,0.0,0,0,0,0,58,0.9666666666666667,0,4.0,3.8333333333333335,9,12.0,73,1.0882208994708995,3,39,64,429,725,-0.12312511119925101,1,0,0,0,0,0
2091_basis,8,reverse,60,0,0.0,0,0,0,0,56,0.9333333333333333,0,4.0,3.8,8,12.0,73,1.0831150793650794,3,40,68,430,714,0.1263584422843156,1,0,0,0,0,0
2091_basis,16,all,120,0,0.0,0,0,0,0,93,0.775,0,2.0,1.7,7,6.5,26,0.8138888888888889,3,35,66,433,707,0.02443856098080693,1,0,0,0,0,0
2091_basis,16,forward,60,0,0.0,0,0,0,0,46,0.7666666666666667,0,1.5,1.65,5,7.5,26,0.8069444444444445,3,15,35,216,341,-0.05111175905079722,1,0,0,0,0,0
2091_basis,16,reverse,60,0,0.0,0,0,0,0,47,0.7833333333333333,0,2.0,1.75,7,6.0,26,0.8208333333333333,2,20,31,217,366,0.09753216134991753,1,0,0,0,0,0
2091_basis,32,all,120,0,0.0,0,0,0,0,26,0.21666666666666667,0,0.0,0.225,2,0.0,26,0.225,2,5,14,66,99,-0.03300264086907432,1,0,0,0,0,0
2091_basis,32,forward,60,0,0.0,0,0,0,0,13,0.21666666666666667,0,0.0,0.23333333333333334,2,0.0,26,0.21666666666666667,1,3,7,35,51,-0.06681226930036535,1,0,0,0,0,0
2091_basis,32,reverse,60,0,0.0,0,0,0,0,13,0.21666666666666667,0,0.0,0.21666666666666667,1,0.0,14,0.23333333333333334,2,2,7,31,48,0.007791316656466993,1,0,0,0,0,0
2091_basis,64,all,120,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0
2091_basis,64,forward,60,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0
2091_basis,64,reverse,60,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,1,0,0,0,0,0
2092_holdout,0,all,108,0,0.0,0,0,0,0,108,1.0,2,7.0,7.37962962962963,13,22.0,55,1.2705741532130421,5,94,140,1223,2312,-0.08356437619189834,1,0,0,0,0,0
2092_holdout,0,forward,54,0,0.0,0,0,0,0,54,1.0,2,7.0,7.203703703703703,13,22.0,55,1.2667518695296474,5,42,70,603,1136,-0.10293503231605576,1,0,0,0,0,0
2092_holdout,0,reverse,54,0,0.0,0,0,0,0,54,1.0,2,7.5,7.555555555555555,13,22.5,55,1.274396436896437,5,52,70,620,1176,-0.05948763125167686,1,0,0,0,0,0
2092_holdout,1,all,108,0,0.0,0,0,0,0,108,1.0,2,7.0,6.75,12,21.0,55,1.2542348084014752,5,83,139,1175,2157,-0.03986239167221107,1,0,0,0,0,0
2092_holdout,1,forward,54,0,0.0,0,0,0,0,54,1.0,2,7.0,6.592592592592593,12,20.5,55,1.2605232216343327,5,39,69,575,1059,-0.04967556749931098,1,0,0,0,0,0
2092_holdout,1,reverse,54,0,0.0,0,0,0,0,54,1.0,2,7.0,6.907407407407407,12,21.0,55,1.2479463951686174,5,44,70,600,1098,-0.024250070169435655,1,0,0,0,0,0
2092_holdout,2,all,108,0,0.0,0,0,0,0,108,1.0,2,6.0,6.222222222222222,12,21.0,55,1.2329595558762225,5,83,137,1124,2021,-0.009009463572280711,1,0,0,0,0,0
2092_holdout,2,forward,54,0,0.0,0,0,0,0,54,1.0,2,6.0,6.148148148148148,12,20.5,55,1.2339526214526215,5,37,70,554,999,-0.016463907849927982,1,0,0,0,0,0
