asset,window_start,window_end,world_label,source_path,data_path,world_events,role_family,target_members,found_members,member_coverage,found_symbols,missing_symbols,total_family_events,family_event_share,event_concentration,event_balance,dominant_member,phase_complete_members,phase_complete_ratio,early_family_events,late_family_events,mean_rekopplung_spaet,mean_strain_spaet,mean_afterimage_delta,mean_temporal_delta,source_follow_reading,boundary
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_05,8,6,0.75,dio_0fe7;dio_1xrt;dio_17dc;dio_1ba6;dio_0v65;dio_0ein,dio_0u24;dio_0qup,30,0.030181086519114688,0.43333333333333335,0.6476190476190476,dio_1xrt,2,0.25,10,11,0.7491838181818182,0.1483020909090909,0.3636024272727273,0.4486446181818182,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_07,2,2,1.0,dio_1ewh;dio_0g2r,,13,0.013078470824949699,0.5384615384615384,0.9230769230769231,dio_0g2r,2,1.0,5,5,0.738114,0.15793620000000003,0.3128968,0.36724979999999996,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_21,2,2,1.0,dio_1pij;dio_1v2w,,6,0.006036217303822937,0.8333333333333334,0.33333333333333326,dio_1v2w,0,0.0,3,3,0.7045423333333334,0.18914,0.10495333333333333,0.04840100000000003,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_05,8,6,0.75,dio_0fe7;dio_1xrt;dio_17dc;dio_0v65;dio_0ein;dio_0qup,dio_1ba6;dio_0u24,22,0.022132796780684104,0.3181818181818182,0.7792207792207793,dio_1xrt,2,0.25,5,11,0.7425930909090909,0.14182872727272725,0.13670754545454544,0.18726710909090905,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_07,2,2,1.0,dio_1ewh;dio_0g2r,,25,0.025150905432595575,0.6,0.8,dio_1ewh,1,0.5,6,14,0.7418721428571429,0.15590821428571427,0.30600952380952384,0.3218359999999999,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_21,2,1,0.5,dio_1v2w,dio_1pij,5,0.005030181086519115,1.0,0.0,dio_1v2w,1,0.5,2,1,0.718007,0.176479,0.292053,0.42431300000000005,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,7000,8000,btc_2025_1h_7000_8000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start7000_rows1000.csv,994,rf_05,8,7,0.875,dio_0fe7;dio_1xrt;dio_17dc;dio_0v65;dio_0ein;dio_0u24;dio_0qup,dio_1ba6,23,0.023138832997987926,0.2608695652173913,0.8447204968944099,dio_0fe7,2,0.25,4,9,0.7456146666666666,0.14067233333333334,0.17208922222222223,0.23826516666666664,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,7000,8000,btc_2025_1h_7000_8000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start7000_rows1000.csv,994,rf_07,2,2,1.0,dio_1ewh;dio_0g2r,,23,0.023138832997987926,0.6086956521739131,0.7826086956521738,dio_1ewh,2,1.0,7,9,0.7418197777777777,0.16140766666666667,0.43760322222222225,0.3438876031746033,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,7000,8000,btc_2025_1h_7000_8000,data\1-12_2025_1h_BTCUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start7000_rows1000.csv,994,rf_21,2,2,1.0,dio_1pij;dio_1v2w,,8,0.008048289738430584,0.75,0.5,dio_1v2w,0,0.0,3,1,0.713798,0.177807,0.06738533333333332,0.40781366666666674,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
DOGE,5000,6000,doge_2025_1h_5000_6000,data\kontrolliert_doge_2025_1h_10k_DOGEUSDT.csv,data\2070_role_family_followworlds\kontrolliert_2070_doge_2025_1h_start5000_rows1000.csv,994,rf_05,8,5,0.625,dio_0fe7;dio_1xrt;dio_17dc;dio_0v65;dio_0ein,dio_1ba6;dio_0u24;dio_0qup,15,0.015090543259557344,0.3333333333333333,0.761904761904762,dio_17dc,1,0.125,3,8,0.744453125,0.140562375,0.180823625,0.59076525,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
