dataset,source_identities,universe_a_targets,universe_b_targets,source_target_paths,opened_paths,closed_paths,closure_share,minimum_opened_tick,median_opened_tick,maximum_opened_tick,minimum_closure_tick,median_closure_tick,mean_closure_tick,maximum_closure_tick,minimum_cycle_span,median_cycle_span,maximum_cycle_span,minimum_unique_rank_orders,median_unique_rank_orders,maximum_unique_rank_orders,minimum_transition_observations,median_transition_observations,maximum_transition_observations,zero_universe_a_profiles,zero_universe_b_profiles,a_to_b_mean_identity_auc,a_to_b_median_identity_rank,a_to_b_unique_nearest,a_to_b_label_null_mean_auc,a_to_b_label_null_max_auc,a_to_b_auc_label_p,b_to_a_mean_identity_auc,b_to_a_median_identity_rank,b_to_a_unique_nearest,b_to_a_label_null_mean_auc,b_to_a_label_null_max_auc,b_to_a_auc_label_p,mutual_nearest_edges,same_source_mutual_edges_posthoc,same_source_edge_share_posthoc,same_source_identity_coverage_posthoc,edge_label_null_permutations,edge_label_null_mean_same_source_edges,edge_label_null_max_same_source_edges,same_source_edge_label_p,episode_start_is_external_contact_boundary,episode_end_is_endogenous_exact_rank_recurrence,closure_used_fixed_tick_limit,profile_used_reset_field,graph_used_source_label,graph_used_asset_or_year,field_learning_used,memory_read,memory_written,influences_action
2091_basis,48,8,8,768,768,768,1.0,1,1.0,4,2,4.0,4.94140625,13,1,2.0,10,2,4.0,13,1,14.0,64,0,0,0.836436170212766,4.5,10,0.49916060427401926,0.6354166666666666,0.000244081034903588,0.8672429078014184,4.0,13,0.49942638857144833,0.6436170212765957,0.000244081034903588,10,5,0.5,5,4096,0.1982421875,3,0.000244081034903588,1,1,0,0,0,0,0,0,0,0
2092_holdout,44,8,8,704,704,704,1.0,1,1.0,3,2,5.0,5.622159090909091,13,1,3.0,11,2,5.0,13,1,20.0,65,0,0,0.9016913319238901,3.0,10,0.5003105308742403,0.6363636363636364,0.000244081034903588,0.8578224101479915,5.0,9,0.49937022816051135,0.6154862579281184,0.000244081034903588,8,3,0.375,3,4096,0.181396484375,3,0.000732243104710764,1,1,0,0,0,0,0,0,0,0
