dataset,universe_scope,neuron_pair,ending_carried_slot,continuing_new_slot,edge_support
2091_basis,all,2,16,13,2
2091_basis,all,5,34,31,1
2091_basis,all,7,46,43,212
2091_basis,all,13,79,82,31
2091_basis,all,13,82,79,43
2091_basis,all,16,100,97,188
2091_basis,all,21,127,130,92
2091_basis,all,21,130,127,48
2091_basis,all,23,139,142,149
2091_basis,all,23,142,139,85
2091_basis,all,26,157,160,91
2091_basis,all,32,193,196,68
2091_basis,all,32,196,193,61
2091_basis,all,35,214,211,91
2091_basis,all,37,223,226,48
2091_basis,all,43,259,262,155
2091_basis,all,43,262,259,135
2091_basis,all,48,292,289,99
2091_basis,all,52,313,316,48
2091_basis,all,55,331,334,48
2091_basis,all,58,349,352,74
2091_basis,all,62,373,376,93
2091_basis,all,62,376,373,112
2091_basis,universe_a,2,16,13,1
2091_basis,universe_a,7,46,43,111
2091_basis,universe_a,13,79,82,9
2091_basis,universe_a,16,100,97,45
2091_basis,universe_a,21,127,130,92
2091_basis,universe_a,23,139,142,109
2091_basis,universe_a,23,142,139,73
2091_basis,universe_a,26,157,160,48
2091_basis,universe_a,32,193,196,55
2091_basis,universe_a,32,196,193,17
2091_basis,universe_a,35,214,211,48
2091_basis,universe_a,37,223,226,48
2091_basis,universe_a,43,259,262,24
2091_basis,universe_a,43,262,259,87
2091_basis,universe_a,48,292,289,49
2091_basis,universe_a,62,373,376,41
2091_basis,universe_a,62,376,373,2
2091_basis,universe_b,2,16,13,1
2091_basis,universe_b,5,34,31,1
2091_basis,universe_b,7,46,43,101
2091_basis,universe_b,13,79,82,22
2091_basis,universe_b,13,82,79,43
2091_basis,universe_b,16,100,97,143
2091_basis,universe_b,21,130,127,48
2091_basis,universe_b,23,139,142,40
2091_basis,universe_b,23,142,139,12
2091_basis,universe_b,26,157,160,43
2091_basis,universe_b,32,193,196,13
2091_basis,universe_b,32,196,193,44
2091_basis,universe_b,35,214,211,43
2091_basis,universe_b,43,259,262,131
2091_basis,universe_b,43,262,259,48
2091_basis,universe_b,48,292,289,50
2091_basis,universe_b,52,313,316,48
2091_basis,universe_b,55,331,334,48
2091_basis,universe_b,58,349,352,74
2091_basis,universe_b,62,373,376,52
2091_basis,universe_b,62,376,373,110
2092_holdout,all,5,34,31,44
2092_holdout,all,7,46,43,16
2092_holdout,all,10,61,64,44
2092_holdout,all,13,79,82,18
2092_holdout,all,16,97,100,4
2092_holdout,all,16,100,97,147
2092_holdout,all,21,127,130,52
2092_holdout,all,21,130,127,11
2092_holdout,all,23,139,142,107
2092_holdout,all,23,142,139,88
2092_holdout,all,24,148,145,11
2092_holdout,all,26,160,157,11
2092_holdout,all,32,193,196,83
2092_holdout,all,32,196,193,67
2092_holdout,all,35,211,214,11
2092_holdout,all,37,226,223,44
2092_holdout,all,43,259,262,205
2092_holdout,all,43,262,259,144
2092_holdout,all,48,289,292,11
2092_holdout,all,48,292,289,75
2092_holdout,all,55,331,334,44
2092_holdout,all,55,334,331,44
2092_holdout,all,58,352,349,11
2092_holdout,all,62,373,376,181
2092_holdout,all,62,376,373,94
2092_holdout,universe_a,13,79,82,15
2092_holdout,universe_a,16,97,100,4
2092_holdout,universe_a,16,100,97,49
2092_holdout,universe_a,21,127,130,52
2092_holdout,universe_a,21,130,127,11
2092_holdout,universe_a,23,139,142,15
2092_holdout,universe_a,23,142,139,54
2092_holdout,universe_a,24,148,145,11
2092_holdout,universe_a,26,160,157,11
2092_holdout,universe_a,32,193,196,83
2092_holdout,universe_a,32,196,193,58
2092_holdout,universe_a,35,211,214,11
2092_holdout,universe_a,43,259,262,80
2092_holdout,universe_a,43,262,259,100
2092_holdout,universe_a,48,289,292,11
2092_holdout,universe_a,48,292,289,31
2092_holdout,universe_a,55,331,334,44
2092_holdout,universe_a,58,352,349,11
2092_holdout,universe_a,62,373,376,181
2092_holdout,universe_a,62,376,373,94
2092_holdout,universe_b,5,34,31,44
2092_holdout,universe_b,7,46,43,16
2092_holdout,universe_b,10,61,64,44
2092_holdout,universe_b,13,79,82,3
2092_holdout,universe_b,16,100,97,98
2092_holdout,universe_b,23,139,142,92
2092_holdout,universe_b,23,142,139,34
2092_holdout,universe_b,32,196,193,9
2092_holdout,universe_b,37,226,223,44
2092_holdout,universe_b,43,259,262,125
2092_holdout,universe_b,43,262,259,44
2092_holdout,universe_b,48,292,289,44
2092_holdout,universe_b,55,334,331,44
