symbol_family,events,holdout_labels,dominant_field_contact_class,dominant_field_share,field_classes,syntax_reifung,avg_carry,avg_strain,avg_rekopplung
dio_1j37,56,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:56,junge_syntaxinsel,0.5359234464285715,0.1346847142857143,0.7084745535714286
dio_05mh,54,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:54,junge_syntaxinsel,0.5306716481481482,0.14276324074074073,0.707038037037037
dio_08l0,54,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:54,junge_syntaxinsel,0.5304767962962963,0.14350874074074074,0.7027515555555556
dio_1sa0,54,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:54,junge_syntaxinsel,0.532419,0.14980594444444445,0.7026091481481481
dio_161t,53,sol_negstress:2;doge_stress:1;btc_stress:1,tragende_rekopplung,0.9622641509433962,tragende_rekopplung:51;offene_rekopplung:2,weltuebergreifend_feldstabil,0.44211843,0.15651924,0.67146843
dio_0pq6,52,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:52,junge_syntaxinsel,0.5284927307692308,0.1503173846153846,0.6988252692307693
dio_18kx,52,doge_stress:1;stress_chain_2024:1,tragende_rekopplung,1.0,tragende_rekopplung:52,weltuebergreifend_feldstabil,0.50535872,0.18358925999999998,0.6835585200000001
dio_1oc2,52,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:52,junge_syntaxinsel,0.5291478269230769,0.1515016923076923,0.7007164038461539
dio_1rqi,49,sol_negstress:2;stress_chain_2024:2;doge_stress:1;btc_stress:1;sol_stress:1,tragende_rekopplung,0.9183673469387755,tragende_rekopplung:45;offene_rekopplung:4,weltuebergreifend_feldstabil,0.43568615789473686,0.14868164661654135,0.6729588684210526
dio_0ahb,48,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:48,junge_syntaxinsel,0.518057125,0.16408183333333334,0.6865945833333333
dio_0v65,46,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:46,junge_syntaxinsel,0.5355014347826087,0.12627730434782608,0.712380347826087
dio_02n3,44,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:44,junge_syntaxinsel,0.5440281136363636,0.1123904090909091,0.7248378636363636
dio_0d46,44,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:44,junge_syntaxinsel,0.5231285909090909,0.15510052272727273,0.7001691818181818
dio_0ssi,44,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:44,junge_syntaxinsel,0.5229512727272727,0.15848670454545455,0.6947435681818181
dio_1aeg,44,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:44,junge_syntaxinsel,0.5194325,0.15560986363636364,0.6991401136363636
dio_1ba6,44,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:44,junge_syntaxinsel,0.5379169090909091,0.11953668181818182,0.7177597272727273
dio_0bgx,42,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:42,junge_syntaxinsel,0.4979192142857143,0.18379464285714286,0.6729588571428572
dio_0g3b,42,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:42,junge_syntaxinsel,0.5537054047619048,0.10138090476190476,0.7346986904761905
dio_0f4r,40,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:40,junge_syntaxinsel,0.536901625,0.135194225,0.7137236
dio_0jqc,40,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:40,junge_syntaxinsel,0.535855575,0.13215665,0.7165296250000001
dio_0z3k,40,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:40,junge_syntaxinsel,0.535289725,0.133353175,0.715182275
dio_1198,40,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:40,junge_syntaxinsel,0.511814425,0.163090925,0.684419225
dio_0xvr,39,sol_negstress:2;sol_stress:2;btc_stress:2,tragende_rekopplung,0.9230769230769231,tragende_rekopplung:36;offene_rekopplung:3,weltuebergreifend_feldstabil,0.42884504464285716,0.13732173611111112,0.6783888015873016
dio_17qz,39,doge_stress:1;sol_negstress:1,tragende_rekopplung,0.9743589743589743,tragende_rekopplung:38;offene_rekopplung:1,weltuebergreifend_feldstabil,0.4429773684210526,0.18357873684210527,0.6595597105263158
dio_0trm,38,doge_stress:2,tragende_rekopplung,0.9473684210526315,tragende_rekopplung:36;offene_rekopplung:2,junge_syntaxinsel,0.43710476388888886,0.2146628888888889,0.6414875277777778
dio_18po,38,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:38,junge_syntaxinsel,0.49211386842105265,0.1740026842105263,0.6798853947368421
dio_1nmh,38,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:38,junge_syntaxinsel,0.5119471842105263,0.15483147368421052,0.6970636052631579
dio_1udx,38,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:38,junge_syntaxinsel,0.48560223684210524,0.18639905263157894,0.6720058421052632
dio_1vdo,38,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:38,junge_syntaxinsel,0.5300538157894736,0.1264914210526316,0.7117848157894737
dio_01q0,36,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:36,junge_syntaxinsel,0.5362638333333334,0.1215673611111111,0.7171869166666667
dio_0ein,36,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:36,junge_syntaxinsel,0.5290924722222222,0.12925952777777777,0.7084402222222222
dio_0zn5,36,btc_stress:2;sol_negstress:2;sol_stress:2,tragende_rekopplung,0.9166666666666666,tragende_rekopplung:33;offene_rekopplung:3,weltuebergreifend_feldstabil,0.4199947095238095,0.15271291976911977,0.6733191316017316
dio_17rn,36,doge_stress:2,tragende_rekopplung,0.8333333333333334,tragende_rekopplung:30;offene_rekopplung:6,junge_syntaxinsel,0.44742593333333336,0.2333622833333333,0.6355870833333334
dio_1b3m,36,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:36,junge_syntaxinsel,0.5093706666666666,0.16530438888888888,0.6827855277777778
dio_1q2r,36,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:36,junge_syntaxinsel,0.5368921944444445,0.133347,0.7132884444444444
dio_1wdi,36,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:36,junge_syntaxinsel,0.5339171944444444,0.12015427777777778,0.7160515277777778
dio_18im,35,doge_stress:1;sol_negstress:1,tragende_rekopplung,1.0,tragende_rekopplung:35,weltuebergreifend_feldstabil,0.48847763235294117,0.17378545588235295,0.6803705588235294
dio_0fnr,34,sol_negstress:2;btc_stress:2;sol_stress:2,tragende_rekopplung,0.9117647058823529,tragende_rekopplung:31;offene_rekopplung:3,weltuebergreifend_feldstabil,0.423319875,0.14524434259259258,0.6743288842592593
dio_1oem,34,sol_negstress:2;btc_stress:2;sol_stress:2,tragende_rekopplung,0.9117647058823529,tragende_rekopplung:31;offene_rekopplung:3,weltuebergreifend_feldstabil,0.4166981166666667,0.14977253571428573,0.6672871380952381
dio_0ipc,33,sol_negstress:2;btc_stress:2;sol_stress:2,tragende_rekopplung,0.9090909090909091,tragende_rekopplung:30;offene_rekopplung:3,weltuebergreifend_feldstabil,0.41653919266917294,0.16114931453634085,0.6658965147243108
dio_1w94,33,sol_negstress:2;doge_stress:1;btc_stress:1,tragende_rekopplung,0.9090909090909091,tragende_rekopplung:30;spannungsnahe_oeffnung:2;offene_rekopplung:1,weltuebergreifend_feldstabil,0.4103612583333333,0.2502913666666667,0.6194810083333333
dio_0if9,32,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:32,junge_syntaxinsel,0.50930615625,0.1559666875,0.69012534375
dio_0jsd,32,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:32,junge_syntaxinsel,0.48654128125,0.19086671875,0.66931928125
dio_14d9,32,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:32,junge_syntaxinsel,0.52142334375,0.14415528125,0.70296784375
dio_1rcm,32,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:32,junge_syntaxinsel,0.50462359375,0.1634064375,0.6882345
dio_1un4,32,doge_stress:2,tragende_rekopplung,0.9375,tragende_rekopplung:30;offene_rekopplung:2,junge_syntaxinsel,0.42598415,0.23908635,0.6237541
dio_1f3b,31,sol_negstress:2;btc_stress:2;sol_stress:2,tragende_rekopplung,0.9032258064516129,tragende_rekopplung:28;offene_rekopplung:3,weltuebergreifend_feldstabil,0.4165430068452381,0.1472065976190476,0.6676758107142857
dio_1ygx,31,doge_stress:1;sol_negstress:1,tragende_rekopplung,0.967741935483871,tragende_rekopplung:30;offene_rekopplung:1,weltuebergreifend_feldstabil,0.4602746,0.16204351666666666,0.6801994
dio_04q7,30,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:30,junge_syntaxinsel,0.5443821666666667,0.1047047,0.7296468333333334
dio_0gaw,30,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:30,junge_syntaxinsel,0.48431256666666667,0.184596,0.6724385666666667
dio_0sxm,30,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:30,junge_syntaxinsel,0.48746313333333335,0.1938058,0.6644896
dio_0une,30,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:30,junge_syntaxinsel,0.5385348666666666,0.11734736666666666,0.7231203666666667
dio_1xh6,30,sol_negstress:2;btc_stress:2;sol_stress:2,tragende_rekopplung,0.9,tragende_rekopplung:27;offene_rekopplung:3,weltuebergreifend_feldstabil,0.41480839194139196,0.1538132912087912,0.6648623241758241
dio_1yme,30,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:30,junge_syntaxinsel,0.5298064,0.13606876666666667,0.7107673
dio_00sp,28,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:28,junge_syntaxinsel,0.48451317857142856,0.18035053571428572,0.6745415714285714
dio_0jkx,28,doge_stress:1;sol_negstress:1;sol_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:28,weltuebergreifend_feldstabil,0.44789364102564105,0.169159,0.6694709102564103
dio_0p44,28,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:28,junge_syntaxinsel,0.48078164285714287,0.18959875,0.6706652142857144
dio_16yy,28,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:28,junge_syntaxinsel,0.5001133928571428,0.16228632142857144,0.6895401428571428
dio_1a0z,28,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:28,junge_syntaxinsel,0.5132311785714285,0.15767882142857143,0.6936588928571429
dio_1bjj,28,sol_negstress:2;btc_stress:2;sol_stress:2,tragende_rekopplung,0.8928571428571429,tragende_rekopplung:25;offene_rekopplung:3,weltuebergreifend_feldstabil,0.4147976553030303,0.1618306092171717,0.6639539255050505
dio_1rrr,28,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:28,junge_syntaxinsel,0.5045984285714286,0.17174835714285713,0.6830115357142857
dio_1sub,28,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:28,junge_syntaxinsel,0.4781869642857143,0.1946680357142857,0.6635818928571429
dio_1xkg,28,doge_stress:2,tragende_rekopplung,0.9285714285714286,tragende_rekopplung:26;offene_rekopplung:2,junge_syntaxinsel,0.4410908461538462,0.2036563076923077,0.6486892884615385
dio_0wq8,27,sol_negstress:2;sol_stress:2;btc_stress:2,tragende_rekopplung,0.8888888888888888,tragende_rekopplung:24;offene_rekopplung:3,weltuebergreifend_feldstabil,0.4167985412698413,0.14897690238095238,0.6699548166666667
dio_110p,27,sol_stress:2;doge_stress:1;sol_negstress:1;btc_stress:1,tragende_rekopplung,0.9629629629629629,tragende_rekopplung:26;offene_rekopplung:1,weltuebergreifend_feldstabil,0.4504953625,0.14084475416666667,0.6807282666666666
dio_113d,27,sol_negstress:2;btc_stress:2;sol_stress:2,tragende_rekopplung,0.8888888888888888,tragende_rekopplung:24;offene_rekopplung:3,weltuebergreifend_feldstabil,0.41484213194444447,0.15772920138888888,0.6655085694444445
dio_04xs,26,sol_negstress:2;btc_stress:2;sol_stress:2,tragende_rekopplung,0.8846153846153846,tragende_rekopplung:23;offene_rekopplung:3,weltuebergreifend_feldstabil,0.4060093653679654,0.17979673376623376,0.655290122077922
dio_0dzv,26,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:26,junge_syntaxinsel,0.5353028846153847,0.11690076923076922,0.7223037307692308
dio_0h6t,26,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:26,junge_syntaxinsel,0.517823,0.13483492307692307,0.7023967307692308
dio_0jho,26,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:26,junge_syntaxinsel,0.4913453076923077,0.17907280769230768,0.6698521923076923
dio_0m49,26,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:26,junge_syntaxinsel,0.49743676923076924,0.1587614230769231,0.6887645384615385
dio_0uuz,26,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:26,junge_syntaxinsel,0.503069576923077,0.16372103846153846,0.6878901153846154
dio_1feg,26,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:26,junge_syntaxinsel,0.540964423076923,0.10774188461538461,0.728205576923077
dio_1nv4,26,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:26,junge_syntaxinsel,0.48486992307692306,0.2038855,0.6626603461538462
dio_1rx4,26,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:26,junge_syntaxinsel,0.5331804615384615,0.12023215384615385,0.7192084230769231
dio_1s59,26,doge_stress:1,tragende_rekopplung,1.0,tragende_rekopplung:26,junge_syntaxinsel,0.5077891538461539,0.15910253846153846,0.6946761538461539
