asset,window_start,window_end,world_label,source_path,data_path,world_events,role_family,target_members,found_members,member_coverage,found_symbols,missing_symbols,total_family_events,family_event_share,event_concentration,event_balance,dominant_member,phase_complete_members,phase_complete_ratio,early_family_events,late_family_events,mean_rekopplung_spaet,mean_strain_spaet,mean_afterimage_delta,mean_temporal_delta,source_follow_reading,boundary
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_06,8,4,0.5,dio_0s8r;dio_1xme;dio_1ejq;dio_0lr0,dio_0f8s;dio_0nx9;dio_0gh3;dio_1yhs,4,0.004024144869215292,0.25,0.8571428571428571,dio_0s8r,0,0.0,0,1,0.690153,0.195456,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_08,2,2,1.0,dio_0h6t;dio_1w94,,5,0.005030181086519115,0.8,0.3999999999999999,dio_0h6t,0,0.0,0,4,0.7318435,0.15108824999999998,0.13706575000000001,0.498613,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_10,2,1,0.5,dio_0ioc,dio_0jsd,1,0.001006036217303823,1.0,0.0,dio_0ioc,0,0.0,0,1,0.693178,0.202916,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_13,3,1,0.3333333333333333,dio_1t9l,dio_1sub;dio_14l0,1,0.001006036217303823,1.0,0.0,dio_1t9l,0,0.0,1,0,0.0,0.0,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,5000,6000,btc_2025_1h_5000_6000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start5000_rows1000.csv,994,rf_17,2,1,0.5,dio_1udx,dio_1cmd,1,0.001006036217303823,1.0,0.0,dio_1udx,0,0.0,0,1,0.682227,0.211945,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_06,8,3,0.375,dio_0nx9;dio_1ejq;dio_0lr0,dio_0s8r;dio_1xme;dio_0f8s;dio_0gh3;dio_1yhs,3,0.0030181086519114686,0.3333333333333333,0.761904761904762,dio_0nx9,0,0.0,2,0,0.0,0.0,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_08,2,1,0.5,dio_0h6t,dio_1w94,1,0.001006036217303823,1.0,0.0,dio_0h6t,0,0.0,0,1,0.720769,0.159417,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_10,2,0,0.0,,dio_0jsd;dio_0ioc,0,0.0,0.0,0.0,-,0,0.0,0,0,0.0,0.0,0.0,0.0,familie_nicht_gelesen,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_13,3,1,0.3333333333333333,dio_1sub,dio_1t9l;dio_14l0,1,0.001006036217303823,1.0,0.0,dio_1sub,0,0.0,0,0,0.0,0.0,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,6000,7000,btc_2025_1h_6000_7000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start6000_rows1000.csv,994,rf_17,2,0,0.0,,dio_1udx;dio_1cmd,0,0.0,0.0,0.0,-,0,0.0,0,0,0.0,0.0,0.0,0.0,familie_nicht_gelesen,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,7000,8000,btc_2025_1h_7000_8000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start7000_rows1000.csv,994,rf_06,8,3,0.375,dio_0nx9;dio_1ejq;dio_0lr0,dio_0s8r;dio_1xme;dio_0f8s;dio_0gh3;dio_1yhs,6,0.006036217303822937,0.3333333333333333,0.761904761904762,dio_0nx9,0,0.0,2,1,0.725914,0.170928,0.100304,0.628849,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,7000,8000,btc_2025_1h_7000_8000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start7000_rows1000.csv,994,rf_08,2,2,1.0,dio_0h6t;dio_1w94,,4,0.004024144869215292,0.5,1.0,dio_0h6t,0,0.0,0,1,0.751829,0.123547,0.099168,0.614407,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,7000,8000,btc_2025_1h_7000_8000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start7000_rows1000.csv,994,rf_10,2,1,0.5,dio_0ioc,dio_0jsd,3,0.0030181086519114686,1.0,0.0,dio_0ioc,1,0.5,1,1,0.719626,0.179569,0.190696,0.661916,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,7000,8000,btc_2025_1h_7000_8000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start7000_rows1000.csv,994,rf_13,3,2,0.6666666666666666,dio_1sub;dio_14l0,dio_1t9l,3,0.0030181086519114686,0.6666666666666666,0.5,dio_14l0,0,0.0,2,1,0.673547,0.221958,-0.0388125,-0.3076385,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
BTC,7000,8000,btc_2025_1h_7000_8000,data\1-12_2025_1h_BTCUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_btc_2025_1h_start7000_rows1000.csv,994,rf_17,2,0,0.0,,dio_1udx;dio_1cmd,0,0.0,0.0,0.0,-,0,0.0,0,0,0.0,0.0,0.0,0.0,familie_nicht_gelesen,passive_same_basis_family_followworld_summary_no_action_no_direction
DOGE,5000,6000,doge_2025_1h_5000_6000,data\kontrolliert_doge_2025_1h_10k_DOGEUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_doge_2025_1h_start5000_rows1000.csv,994,rf_06,8,2,0.25,dio_1xme;dio_1ejq,dio_0s8r;dio_0f8s;dio_0nx9;dio_0gh3;dio_0lr0;dio_1yhs,3,0.0030181086519114686,0.6666666666666666,0.380952380952381,dio_1xme,0,0.0,2,0,0.0,0.0,-0.0492265,-0.314629,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
DOGE,5000,6000,doge_2025_1h_5000_6000,data\kontrolliert_doge_2025_1h_10k_DOGEUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_doge_2025_1h_start5000_rows1000.csv,994,rf_08,2,2,1.0,dio_0h6t;dio_1w94,,3,0.0030181086519114686,0.6666666666666666,0.6666666666666667,dio_1w94,0,0.0,3,0,0.0,0.0,-0.032383666666666665,-0.20831833333333336,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
DOGE,5000,6000,doge_2025_1h_5000_6000,data\kontrolliert_doge_2025_1h_10k_DOGEUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_doge_2025_1h_start5000_rows1000.csv,994,rf_10,2,2,1.0,dio_0jsd;dio_0ioc,,3,0.0030181086519114686,0.6666666666666666,0.6666666666666667,dio_0ioc,0,0.0,1,1,0.67661,0.222556,0.0,0.0,familie_als_ganzes_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
DOGE,5000,6000,doge_2025_1h_5000_6000,data\kontrolliert_doge_2025_1h_10k_DOGEUSDT.csv,data\generated\2070_role_family_followworlds\kontrolliert_2070_doge_2025_1h_start5000_rows1000.csv,994,rf_13,3,2,0.6666666666666666,dio_1sub;dio_14l0,dio_1t9l,2,0.002012072434607646,0.5,0.7499999999999999,dio_1sub,0,0.0,0,1,0.684829,0.210223,0.0,0.0,familie_fragmentarisch_lesbar,passive_same_basis_family_followworld_summary_no_action_no_direction
