holdout_id,group,role_family,component,observed_relation,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
2083_5m_windows,overall,rf_05,volume,verstaerkt,0,100,0.2312181863878203,0.9826866916979557,0.014487518178555758,-0.03988469604061617,1.0,0.005700871898054998,-0.0024390789179521578,1.0,0.006944444444444531,-0.11076388888888888,1.0
2083_5m_windows,year:2024,rf_05,volume,gemischt,2,100,0.2312181863878203,0.9826866916979557,-0.004382327694186561,-0.031371702342934606,0.96,0.005365526492287057,-0.003812877263581489,1.0,-0.00694444444444442,-0.09597222222222222,1.0
2083_5m_windows,year:2025,rf_05,volume,verstaerkt,0,100,0.2312181863878203,0.9826866916979557,0.028252966609529473,-0.04631035530731348,1.0,0.006036217303822939,-0.0010652805723228257,1.0,0.02083333333333337,-0.12555555555555556,1.0
2083_5m_windows,asset:BTC,rf_05,volume,gemischt,0,100,0.2312181863878203,0.9826866916979557,-0.004262566137566148,-0.06468284376791722,1.0,0.008718980549966462,-0.0042717415604739545,1.0,-0.00694444444444442,-0.1696527777777778,1.0
2083_5m_windows,asset:SOL,rf_05,volume,verstaerkt,7,100,0.2312181863878203,0.9826866916979557,0.03498254837214698,-0.014954076746416438,0.99,0.0026827632461435304,-0.0006064162754303602,1.0,0.02083333333333337,-0.051875,0.955
2083_5m_windows,overall,rf_06,volume,abgeschwaecht,42,100,0.5210120305799294,1.345,-0.021478512039736608,-0.021136032120628267,0.54,-0.0010898725687458074,0.0002207690587972278,0.09,-0.08333333333333331,-0.04840277777777779,0.18
2083_5m_windows,year:2024,rf_06,volume,abgeschwaecht,71,100,0.5210120305799294,1.345,-0.01005465592033905,-0.04193311163095416,1.0,-0.0009501453163424994,-0.000482338475296222,0.38,-0.0763888888888889,-0.09034722222222222,0.66
2083_5m_windows,year:2025,rf_06,volume,abgeschwaecht,21,100,0.5210120305799294,1.345,-0.02659393058298576,0.001439390170942907,0.21,-0.001229599821149117,0.0009238765928906771,0.04,-0.09027777777777779,-0.006458333333333339,0.085
2083_5m_windows,asset:BTC,rf_06,volume,gemischt,39,100,0.5210120305799294,1.345,0.00568086883876362,-0.031200891759383266,0.91,0.00016767270288397043,-0.00028224904985468385,0.585,0.0,-0.07375,0.92
2083_5m_windows,asset:SOL,rf_06,volume,abgeschwaecht,17,100,0.5210120305799294,1.345,-0.058116472395409846,-0.006345081311711453,0.0,-0.0023474178403755865,0.0007237871674491394,0.0,-0.16666666666666663,-0.023055555555555555,0.0
