dataset,match_scope,universe_scope,source_target_streams,paths_with_matched_pairs,minimum_matched_pairs_per_path,median_matched_pairs_per_path,maximum_matched_pairs_per_path,total_matched_steps,total_matched_pairs,carried_wins,ties,carried_losses,pair_weighted_prequential_auc,sources_with_matched_pairs,median_source_prequential_auc,mean_source_prequential_auc,sources_above_half,sources_below_half,sources_tied_half,source_sign_upper_p,source_sign_lower_p,source_sign_two_sided_p,matching_uses_historical_frequency_through_current,strict_matching_uses_same_neuron_pair,predictor_reads_next_episode,outcome_is_next_episode,source_labels_used_by_predictor,asset_or_year_used_by_predictor,fixed_threshold_used,field_learning_used,memory_read,memory_written,influences_action
2091_basis,frequency,all,768,768,126,205.0,338,49976,157273,23483,107558,26232,0.4912604197796189,48,0.48983205543230424,0.49125127241642325,4,44,0,0.9999999999343707,7.569163074094831e-10,1.5138326148189662e-09,1,0,0,1,0,0,0,0,0,0,0
2091_basis,frequency,universe_a,384,384,126,178.0,262,23963,71167,10619,47336,13212,0.48178228673401996,48,0.4801205908650996,0.48183015698958825,1,47,0,0.9999999999999964,1.7408297026122455e-13,3.481659405224491e-13,1,0,0,1,0,0,0,0,0,0,0
2091_basis,frequency,universe_b,384,384,126,229.0,338,26013,86106,12864,60222,13020,0.49909413978119993,48,0.4970042519663469,0.4990668342400486,15,33,0,0.9972423992572494,0.006641640781122504,0.013283281562245008,1,0,0,1,0,0,0,0,0,0,0
2091_basis,neuron_pair_and_frequency,all,768,768,2,17.0,30,9737,12648,736,9938,1974,0.4510594560404807,48,0.452755905511811,0.4511175164451579,0,48,0,1.0,3.552713678800501e-15,7.105427357601002e-15,1,1,0,1,0,0,0,0,0,0,0
2091_basis,neuron_pair_and_frequency,universe_a,384,384,2,19.0,26,5056,6717,365,5493,859,0.4632276313830579,48,0.46402877697841727,0.4633533999608115,0,48,0,1.0,3.552713678800501e-15,7.105427357601002e-15,1,1,0,1,0,0,0,0,0,0,0
2091_basis,neuron_pair_and_frequency,universe_b,384,384,7,12.0,30,4681,5931,371,4445,1115,0.4372787051087506,48,0.43720289855072464,0.4373641783291993,0,48,0,1.0,3.552713678800501e-15,7.105427357601002e-15,1,1,0,1,0,0,0,0,0,0,0
2092_holdout,frequency,all,704,704,100,195.0,425,45178,145922,22568,98547,24807,0.49232809309082937,44,0.49235549689270197,0.4923665597261279,5,39,0,0.999999991474283,7.025812465144554e-08,1.4051624930289108e-07,1,0,0,1,0,0,0,0,0,0,0
2092_holdout,frequency,universe_a,352,352,119,200.0,425,22890,79264,11157,53533,14574,0.4784454481227291,44,0.4795316619232181,0.47847631187775175,1,43,0,0.9999999999999432,2.5579538487363607e-12,5.115907697472721e-12,1,0,0,1,0,0,0,0,0,0,0
2092_holdout,frequency,universe_b,352,352,100,179.0,340,22288,66658,11411,45014,10233,0.5088361486993309,44,0.5091581763434287,0.5088650494687673,43,1,0,2.5579538487363607e-12,0.9999999999999432,5.115907697472721e-12,1,0,0,1,0,0,0,0,0,0,0
2092_holdout,neuron_pair_and_frequency,all,704,704,3,16.0,35,9623,12212,424,10221,1567,0.45320176875204715,44,0.45369454065644066,0.4531417040620976,0,44,0,1.0,5.684341886080802e-14,1.1368683772161603e-13,1,1,0,1,0,0,0,0,0,0,0
2092_holdout,neuron_pair_and_frequency,universe_a,352,352,4,17.0,35,5217,6578,184,5468,926,0.4435998783824871,44,0.4442616959064327,0.44351514380598,0,44,0,1.0,5.684341886080802e-14,1.1368683772161603e-13,1,1,0,1,0,0,0,0,0,0,0
2092_holdout,neuron_pair_and_frequency,universe_b,352,352,3,16.0,27,4406,5634,240,4753,641,0.4644124955626553,44,0.4628099173553719,0.46441501280912517,0,44,0,1.0,5.684341886080802e-14,1.1368683772161603e-13,1,1,0,1,0,0,0,0,0,0,0
