sequence,position,pareto_depth,relations,strict_core_relations
forward,10,1,1,1
forward,10,2,1,1
forward,10,3,3,2
forward,10,4,5,2
forward,10,5,3,2
forward,10,6,2,1
forward,10,7,3,0
forward,10,8,4,2
forward,10,9,4,1
forward,10,10,5,1
forward,10,11,5,2
forward,10,12,4,1
forward,10,13,5,0
forward,10,14,7,0
forward,10,15,12,1
forward,10,16,10,0
forward,10,17,7,1
forward,10,18,28,2
forward,10,19,18,0
forward,10,20,113,2
forward,20,1,2,2
forward,20,2,1,1
forward,20,3,2,0
forward,20,4,2,1
forward,20,5,3,2
forward,20,6,4,2
forward,20,7,4,2
forward,20,8,3,1
forward,20,9,3,1
forward,20,10,5,1
forward,20,11,6,1
forward,20,12,3,0
forward,20,13,6,0
forward,20,14,8,0
forward,20,15,7,1
forward,20,16,4,1
forward,20,17,4,0
forward,20,18,3,2
forward,20,19,5,0
forward,20,20,5,0
forward,20,21,4,0
forward,20,22,3,1
forward,20,23,4,0
forward,20,24,4,0
forward,20,25,9,3
forward,20,26,8,2
forward,20,27,8,0
forward,20,28,17,0
forward,20,29,8,0
forward,20,30,12,0
forward,20,31,33,1
forward,20,32,22,0
forward,20,33,12,0
forward,20,34,45,0
forward,20,35,30,0
forward,20,36,183,1
forward,40,1,2,2
forward,40,2,2,1
forward,40,3,4,2
forward,40,4,5,2
forward,40,5,4,1
forward,40,6,2,2
forward,40,7,3,1
forward,40,8,5,1
forward,40,9,8,3
forward,40,10,4,0
forward,40,11,7,0
forward,40,12,8,1
forward,40,13,7,1
forward,40,14,9,0
forward,40,15,7,1
forward,40,16,11,1
forward,40,17,5,0
forward,40,18,6,1
forward,40,19,5,1
forward,40,20,7,0
forward,40,21,4,0
forward,40,22,8,0
forward,40,23,9,1
forward,40,24,5,0
forward,40,25,9,0
forward,40,26,6,1
forward,40,27,5,0
forward,40,28,4,0
forward,40,29,8,0
forward,40,30,8,0
forward,40,31,9,0
forward,40,32,10,1
forward,40,33,7,1
forward,40,34,6,0
forward,40,35,7,0
forward,40,36,13,0
forward,40,37,8,0
forward,40,38,13,0
forward,40,39,15,0
forward,40,40,19,0
forward,40,41,12,0
forward,40,42,14,0
forward,40,43,15,0
forward,40,44,14,0
forward,40,45,22,0
forward,40,46,22,0
forward,40,47,19,0
forward,40,48,44,1
forward,40,49,28,0
forward,40,50,14,0
forward,40,51,89,0
forward,40,52,46,0
forward,40,53,329,0
forward,60,1,2,2
forward,60,2,3,1
forward,60,3,4,1
forward,60,4,3,3
forward,60,5,5,2
forward,60,6,6,2
forward,60,7,4,1
forward,60,8,6,2
forward,60,9,6,1
forward,60,10,5,2
forward,60,11,9,0
forward,60,12,7,0
forward,60,13,7,0
forward,60,14,7,1
forward,60,15,9,1
forward,60,16,8,0
forward,60,17,8,0
forward,60,18,11,0
forward,60,19,8,1
forward,60,20,14,0
forward,60,21,6,0
forward,60,22,8,1
forward,60,23,11,1
forward,60,24,10,0
forward,60,25,10,0
forward,60,26,9,0
forward,60,27,6,1
forward,60,28,5,1
forward,60,29,9,0
forward,60,30,9,0
forward,60,31,7,0
forward,60,32,9,1
forward,60,33,7,0
forward,60,34,7,0
forward,60,35,12,0
forward,60,36,14,0
forward,60,37,11,0
forward,60,38,12,1
forward,60,39,7,0
forward,60,40,13,0
forward,60,41,11,0
forward,60,42,7,0
forward,60,43,11,0
forward,60,44,9,0
forward,60,45,13,0
forward,60,46,8,0
forward,60,47,8,0
forward,60,48,10,0
forward,60,49,14,0
forward,60,50,12,0
forward,60,51,11,0
forward,60,52,16,0
forward,60,53,20,0
forward,60,54,22,0
forward,60,55,25,0
forward,60,56,25,0
forward,60,57,20,0
forward,60,58,42,0
forward,60,59,30,0
forward,60,60,24,0
forward,60,61,71,0
forward,60,62,42,0
forward,60,63,28,0
forward,60,64,146,0
forward,60,65,72,0
forward,60,66,580,0
forward,81,1,2,2
forward,81,2,2,1
forward,81,3,6,1
forward,81,4,2,2
forward,81,5,5,1
forward,81,6,4,1
forward,81,7,6,1
forward,81,8,5,2
forward,81,9,5,2
forward,81,10,2,2
forward,81,11,10,1
forward,81,12,8,1
forward,81,13,6,0
forward,81,14,10,0
forward,81,15,10,1
forward,81,16,7,0
forward,81,17,7,0
forward,81,18,12,1
forward,81,19,5,0
forward,81,20,9,0
forward,81,21,10,1
forward,81,22,9,2
forward,81,23,9,1
forward,81,24,11,0
forward,81,25,7,0
