sequence,relation_age,relations,exact_raw_prefixes,singleton_prefixes,largest_exact_class,largest_exact_class_share,raw_equivalence_edges
forward,2,1215,453,288,48,0.03950617283950617,5401
forward,3,873,804,757,7,0.008018327605956471,118
forward,5,601,599,597,2,0.0033277870216306157,2
forward,10,331,331,331,1,0.0030211480362537764,0
reverse,2,1155,443,302,38,0.0329004329004329,4515
reverse,3,831,781,748,7,0.00842358604091456,81
reverse,5,574,572,570,2,0.003484320557491289,2
reverse,10,334,334,334,1,0.0029940119760479044,0
