sequence,scope,age10_relations,age3_edges_on_age10_relations,age5_edges_on_age10_relations,age10_edges,persistent_edges_3_5_10,persistent_nodes_3_5_10,three_age_jaccard,age3_edge_retention,permutations,seed,null_mean_shared_edges,null_sd_shared_edges,null_max_shared_edges,observed_to_null_ratio,z_score,empirical_p_ge_observed
forward,event_cadence,331,1389,171,87,9,18,0.006032171581769437,0.0064794816414686825,200,2087,0.01,0.099498743710662,1,900.0,90.35289959180317,0.004975124378109453
forward,breadth_growth,331,13117,6411,1888,1848,94,0.14043620335891785,0.14088587329419835,200,2087,52.34,25.722254955582724,137,35.30760412686282,69.80958718824427,0.004975124378109453
forward,profile_growth,331,2602,960,250,217,35,0.082103670071888,0.08339738662567256,200,2087,0.165,0.4096034667822039,3,1315.151515151515,529.3778436579895,0.004975124378109453
reverse,event_cadence,334,1086,157,85,9,10,0.007518796992481203,0.008287292817679558,200,2087,0.015,0.12155245781143217,1,600.0,73.91870277060698,0.004975124378109453
reverse,breadth_growth,334,14175,5361,1766,1728,93,0.12154462966870648,0.1219047619047619,200,2087,45.655,25.80651032200983,173,37.84908553280035,65.19072044255294,0.004975124378109453
reverse,profile_growth,334,1973,468,118,86,26,0.042679900744416875,0.04358844399391789,200,2087,0.035,0.18377975949489106,1,2457.142857142857,467.7609777935843,0.004975124378109453
