preview_symbol,count,world_count,phase_quality_state,origin_quality,dominant_world_binding,dominant_field_function,dominant_field_variant,phase_quality_depth,positive_phase_affinity,avg_phase_drift,max_phase_drift,real_count,null_count,synthetic_count,unknown_count,mixed_binding_count,real_share,null_share,synthetic_share,unknown_share,mixed_binding_share,avg_carry,avg_strain,avg_rekopplung,avg_sensory,avg_visual_gap,avg_hearing_gap,worlds,world_bindings
dio_mcm_episode_0icnf2v,7963,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.848468,0.767346,0.048092,0.244445,7963,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.572459,0.164198,0.721724,0.856428,0.15436,0.089072,FPSIG_MULTI_REAL_PAXG_0_10K:3201;FPSIG_MULTI_REAL_PAXG_6K_16K:2957;FPSIG_MULTI_REAL_DOGE_0_10K:745;FPSIG_MULTI_REAL_DOGE_6K_16K:664;FPSIG_MULTI_REAL_XRP_6K_16K:214;FPSIG_MULTI_REAL_XRP_0_10K:182,realworld_bound:7963
dio_mcm_episode_0iwh9d2,7084,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.847396,0.764655,0.047807,0.242115,7084,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.570527,0.165213,0.720002,0.856349,0.140833,0.099045,FPSIG_MULTI_REAL_XRP_0_10K:1664;FPSIG_MULTI_REAL_PAXG_6K_16K:1569;FPSIG_MULTI_REAL_PAXG_0_10K:1413;FPSIG_MULTI_REAL_DOGE_0_10K:1077;FPSIG_MULTI_REAL_XRP_6K_16K:902;FPSIG_MULTI_REAL_DOGE_6K_16K:459,realworld_bound:7084
dio_mcm_episode_12tgchq,21365,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.845983,0.759861,0.049008,0.239186,21365,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.569006,0.169769,0.714361,0.845978,0.167496,0.100549,FPSIG_MULTI_REAL_XRP_6K_16K:5148;FPSIG_MULTI_REAL_DOGE_6K_16K:4982;FPSIG_MULTI_REAL_XRP_0_10K:3731;FPSIG_MULTI_REAL_DOGE_0_10K:3648;FPSIG_MULTI_REAL_PAXG_0_10K:1959;FPSIG_MULTI_REAL_PAXG_6K_16K:1897,realworld_bound:21365
dio_mcm_episode_1b57ksv,682,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.842432,0.757058,0.051613,0.196996,682,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.567496,0.171901,0.713639,0.846737,0.149754,0.113777,FPSIG_MULTI_REAL_DOGE_6K_16K:365;FPSIG_MULTI_REAL_XRP_6K_16K:112;FPSIG_MULTI_REAL_PAXG_0_10K:103;FPSIG_MULTI_REAL_XRP_0_10K:70;FPSIG_MULTI_REAL_PAXG_6K_16K:18;FPSIG_MULTI_REAL_DOGE_0_10K:14,realworld_bound:682
dio_mcm_episode_14pd6eb,221,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.840914,0.762804,0.04538,0.219317,221,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.574121,0.169155,0.716328,0.845748,0.177032,0.094521,FPSIG_MULTI_REAL_PAXG_6K_16K:43;FPSIG_MULTI_REAL_DOGE_6K_16K:42;FPSIG_MULTI_REAL_XRP_0_10K:38;FPSIG_MULTI_REAL_XRP_6K_16K:37;FPSIG_MULTI_REAL_DOGE_0_10K:32;FPSIG_MULTI_REAL_PAXG_0_10K:29,realworld_bound:221
dio_mcm_episode_05upp98,191,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.840732,0.764589,0.044604,0.210548,191,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.57583,0.167307,0.718086,0.847192,0.180136,0.084803,FPSIG_MULTI_REAL_PAXG_6K_16K:46;FPSIG_MULTI_REAL_XRP_0_10K:35;FPSIG_MULTI_REAL_DOGE_6K_16K:32;FPSIG_MULTI_REAL_DOGE_0_10K:29;FPSIG_MULTI_REAL_XRP_6K_16K:28;FPSIG_MULTI_REAL_PAXG_0_10K:21,realworld_bound:191
dio_mcm_episode_0bygq81,127,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,quiet_deep_recoupling,0.835857,0.763367,0.046175,0.130263,127,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.575433,0.168396,0.718197,0.848188,0.169826,0.090527,FPSIG_MULTI_REAL_PAXG_6K_16K:32;FPSIG_MULTI_REAL_DOGE_6K_16K:22;FPSIG_MULTI_REAL_DOGE_0_10K:21;FPSIG_MULTI_REAL_PAXG_0_10K:19;FPSIG_MULTI_REAL_XRP_0_10K:17;FPSIG_MULTI_REAL_XRP_6K_16K:16,realworld_bound:127
dio_mcm_episode_1i3ov0z,2157,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,active_recoupling,distributed_active_recoupling,0.832871,0.759719,0.04832,0.235945,2157,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.546586,0.158913,0.711369,0.857443,0.135257,0.100599,FPSIG_MULTI_REAL_XRP_0_10K:940;FPSIG_MULTI_REAL_XRP_6K_16K:494;FPSIG_MULTI_REAL_PAXG_0_10K:351;FPSIG_MULTI_REAL_DOGE_6K_16K:173;FPSIG_MULTI_REAL_PAXG_6K_16K:146;FPSIG_MULTI_REAL_DOGE_0_10K:53,realworld_bound:2157
dio_mcm_episode_1rj8742,1817,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,active_recoupling,distributed_active_recoupling,0.83019,0.762087,0.048249,0.200675,1817,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.542009,0.155867,0.71139,0.857716,0.155091,0.086351,FPSIG_MULTI_REAL_PAXG_6K_16K:781;FPSIG_MULTI_REAL_DOGE_0_10K:287;FPSIG_MULTI_REAL_DOGE_6K_16K:286;FPSIG_MULTI_REAL_PAXG_0_10K:250;FPSIG_MULTI_REAL_XRP_0_10K:151;FPSIG_MULTI_REAL_XRP_6K_16K:62,realworld_bound:1817
dio_mcm_episode_1qlxgj7,10609,6,stable_crossworld_field_phase,realwelt_getragen,realworld_bound,milieu_island,local_milieu_seed,0.829085,0.751377,0.055576,0.229256,10609,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.540866,0.166886,0.703055,0.840974,0.183616,0.098943,FPSIG_MULTI_REAL_DOGE_0_10K:2562;FPSIG_MULTI_REAL_DOGE_6K_16K:1826;FPSIG_MULTI_REAL_XRP_0_10K:1666;FPSIG_MULTI_REAL_PAXG_6K_16K:1602;FPSIG_MULTI_REAL_XRP_6K_16K:1588;FPSIG_MULTI_REAL_PAXG_0_10K:1365,realworld_bound:10609
