dataset,universe_scope,source_key_posthoc,paths,original_synchrony_excess,alternative_order_excess_mean,forward_rotation_excess_mean,reverse_rotation_excess_mean,original_minus_alternative_mean,original_minus_forward_mean,original_minus_reverse_mean,alternative_orders_at_least_original,direction,direction_vs_forward,direction_vs_reverse
2091_basis,a,2091_basis|BTC|2024|0,8,82.79758308,36.419326591,73.992218255,1.977509232,46.378256489,8.805364825,80.820073848,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|10000,8,82.79758308,36.420771487,73.995147853,1.977593152,46.376811593,8.802435227,80.819989928,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|11000,8,83.55287009,36.402644599,73.79996338,2.12176905,47.150225491,9.75290671,81.43110104,4,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|12000,8,83.126888216,35.603178773,72.258353932,2.002601544,47.523709443,10.868534284,81.124286672,2,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|13000,8,83.048338368,36.366434608,73.879794928,1.979187647,46.68190376,9.16854344,81.069150721,4,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|14000,8,84.548841894,36.574061912,74.317495194,1.975914737,47.974779982,10.2313467,82.572927157,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|15000,8,83.461228599,36.706423224,74.594250664,1.975914737,46.754805375,8.866977935,81.485313862,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|2000,8,83.474320241,36.57441219,74.318227593,1.975914737,46.899908051,9.156092648,81.498405504,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|3000,8,83.048338368,36.297210911,73.736885471,1.977509232,46.751127457,9.311452897,81.070829136,4,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|5000,8,83.932527692,36.355269495,73.832646709,2.00100705,47.577258197,10.099880983,81.931520642,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|6000,8,82.886203423,36.472962914,74.102719033,1.979019806,46.413240509,8.78348439,80.907183617,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|7000,8,83.470292043,36.837470993,74.866428637,1.977593152,46.63282105,8.603863406,81.492698891,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|8000,8,82.79758308,36.363457244,73.871738533,1.980866063,46.434125836,8.925844547,80.816717017,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2024|9000,8,82.79758308,36.456193354,74.069211755,1.977593152,46.341389726,8.728371325,80.819989928,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2025|0,8,80.427995973,35.43819782,71.827611462,2.081235314,44.989798153,8.600384511,78.346760659,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2025|10000,8,82.886203423,36.538596261,74.241600293,1.977509232,46.347607162,8.64460313,80.908694191,5,positive,positive,positive
2091_basis,a,2091_basis|BTC|2025|11000,8,82.047331318,36.428827882,74.011993042,1.977593152,45.618503436,8.035338276,80.069738166,6,positive,positive,positive
2091_basis,a,2091_basis|BTC|2025|14000,8,83.048338368,36.388458339,73.927675547,1.977509232,46.659880029,9.120662821,81.070829136,4,positive,positive,positive
