dataset,worlds,strata,minimum_age,maximum_age,movement_selected_pairs,movement_selected_retained,movement_selected_retention_rate,not_selected_pairs,not_selected_retained,not_selected_retention_rate,retention_rate_difference,retention_rate_ratio,mantel_haenszel_common_odds_ratio,label_null_expected_selected_retained,label_null_sd,label_null_z_score,label_null_analytic_one_sided_p,label_null_empirical_p,graph_identity_null_empirical_p,read_by_mini_dio,influences_field,influences_action
2091_basis,64,45,2,46,72404,40076,0.5535053311971714,110367,55938,0.5068362825844682,0.04666904861270316,1.0920791391940758,1.201033809730579,38551.15616116482,91.22633353155965,16.7149525778942,5.100053587207564e-63,0.0004997501249375312,0.582089552238806,0,0,0
2092_holdout,60,38,2,41,55031,31894,0.5795642456070215,93972,49410,0.5257949176350403,0.053769327971981196,1.1022629283178105,1.237506522197418,30514.137983584103,80.5010287640306,17.14092400558793,3.67368718722519e-66,0.0004997501249375312,0.6019900497512438,0,0,0
