dataset,pair_index,direction,asset,year,source_file,source_start,target_start,gap_ticks,target_ticks,exact_field_convergence_tick,field_affected_ticks,first_signature_difference,maximum_signature_difference,mean_signature_difference,syntax_different_ticks,syntax_first_difference_tick,syntax_last_difference_tick,syntax_path_exact,syntax_left_episode_count,syntax_right_episode_count,syntax_episode_count_difference,syntax_boundary_difference_count,syntax_node_set_difference_count,syntax_node_observation_difference,syntax_edge_set_difference_count,syntax_edge_observation_difference,order_different_ticks,order_first_difference_tick,order_last_difference_tick,order_path_exact,mean_rank_pair_disagreements,mean_rank_pair_disagreements_when_changed,mean_rank_pair_disagreement_share,maximum_rank_pair_disagreements,order_left_episode_count,order_right_episode_count,order_episode_count_difference,order_boundary_difference_count,order_node_set_difference_count,order_node_observation_difference,order_edge_set_difference_count,order_edge_observation_difference,uses_existing_dio_syntax,activation_order_threshold,field_learning_used,memory_read,memory_written,influences_action
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,0,994,293,292,0.0033621610137379732,0.0033621610137379732,2.841916398237456e-05,0,0,0,1,961,961,0,0,0,0,0,0,6,1,30,0,0.006036217303822937,1.0,9.145783793671118e-05,1,945,943,2,2,0,8,10,16,1,0,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,1,994,293,292,0.0029462405805719526,0.0029462405805719526,2.4925469595837204e-05,0,0,0,1,961,961,0,0,0,0,0,0,4,1,30,0,0.004024144869215292,1.0,6.0971891957807455e-05,1,945,944,1,1,0,7,8,13,1,0,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,2,994,283,282,0.002582721918069542,0.002582721918069542,2.18672500887499e-05,0,0,0,1,961,961,0,0,0,0,0,0,3,1,30,0,0.0030181086519114686,1.0,4.572891896835559e-05,1,945,945,0,0,0,6,6,10,1,0,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,4,994,283,282,0.0019865673190163774,0.0019865673190163774,1.6842509530298202e-05,0,0,0,1,961,961,0,0,0,0,0,0,3,1,30,0,0.0030181086519114686,1.0,4.572891896835559e-05,1,945,945,0,0,0,6,6,10,1,0,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,8,994,283,282,0.0011787410080101209,0.0011787410080101209,1.0014763939996012e-05,0,0,0,1,961,961,0,0,0,0,0,0,3,1,30,0,0.0030181086519114686,1.0,4.572891896835559e-05,1,945,945,0,0,0,6,6,10,1,0,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,16,994,283,282,0.0004182857602106835,0.0004182857602106835,3.5648110171217472e-06,0,0,0,1,961,961,0,0,0,0,0,0,1,10,10,0,0.001006036217303823,1.0,1.5242972989451864e-05,1,945,945,0,0,0,2,4,4,1,0,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,32,994,262,261,5.377284041614607e-05,5.377284041614607e-05,4.6042834052142376e-07,0,0,0,1,961,961,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,945,945,0,0,0,0,0,0,1,0,0,0,0,0
2091_basis,1,forward,BTC,2024,1-12_2024_30m_BTCUSDT.csv,0,1000,64,994,245,244,9.474213651591845e-07,9.474213651591845e-07,8.170277355070891e-09,0,0,0,1,961,961,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0,945,945,0,0,0,0,0,0,1,0,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,0,994,294,293,0.0031554726208442513,0.0031554726208442513,2.697400367478152e-05,0,0,0,1,958,958,0,0,0,0,0,0,6,1,29,0,0.008048289738430584,1.3333333333333333,0.00012194378391561491,3,914,912,2,2,0,8,4,18,1,0,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,1,994,294,293,0.0027652707896765006,0.0027652707896765006,2.3654880427535155e-05,0,0,0,1,958,958,0,0,0,0,0,0,5,1,29,0,0.006036217303822937,1.2,9.145783793671118e-05,2,914,911,3,3,0,7,2,13,1,0,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,2,994,294,293,0.002424163581088248,0.002424163581088248,2.0749669928882487e-05,0,0,0,1,958,958,0,0,0,0,0,0,4,1,29,0,0.005030181086519115,1.25,7.621486494725931e-05,2,914,912,2,2,0,6,2,10,1,0,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,4,994,294,293,0.0018646443078204874,0.0018646443078204874,1.5976960822536745e-05,0,0,0,1,958,958,0,0,0,0,0,0,4,1,29,0,0.005030181086519115,1.25,7.621486494725931e-05,2,914,912,2,2,0,6,2,10,1,0,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,8,994,294,293,0.0011062872561732615,0.0011062872561732615,9.493866791489366e-06,0,0,0,1,958,958,0,0,0,0,0,0,4,1,29,0,0.005030181086519115,1.25,7.621486494725931e-05,2,914,912,2,2,0,6,2,10,1,0,0,0,0,0
2091_basis,2,reverse,BTC,2024,1-12_2024_30m_BTCUSDT.csv,1000,0,16,994,288,287,0.00039237844181816764,0.00039237844181816764,3.37447473356551e-06,0,0,0,1,958,958,0,0,0,0,0,0,2,2,7,0,0.002012072434607646,1.0,3.0485945978903728e-05,1,914,913,1,1,0,3,2,7,1,0,0,0,0,0
