role_family,symbol_family,family_reading,follow_events,event_share,shared_label_hits,majority_label_hits,carry,strain,rekopplung,follow_labels,boundary
rf_05,dio_0fe7,familie_breit_getragen,636,0.265332,6,10,0.520000,0.145000,0.702000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;paxg2025_follow:1;xrp2025_follow:1;btc2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_05,dio_1xrt,familie_breit_getragen,567,0.236546,6,10,0.514000,0.147000,0.699000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;paxg2025_follow:1;xrp2025_follow:1;doge2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_05,dio_17dc,familie_breit_getragen,317,0.132249,6,10,0.513000,0.150000,0.699000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;sol2026_stable:1;btc2025_current:1;btc2025_follow:1;xrp2025_follow:1;doge2025_follow:1;paxg2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_05,dio_1ba6,familie_breit_getragen,269,0.112224,6,9,0.517000,0.132000,0.706000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;doge2025_follow:1;btc2025_follow:1;paxg2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_05,dio_0v65,familie_breit_getragen,253,0.105549,6,9,0.524000,0.135000,0.705000,xrp2025_clean:1;doge2025_clean:1;doge2025:1;paxg2025:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1;doge2025_follow:1;btc2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_05,dio_0ein,familie_breit_getragen,196,0.081769,6,9,0.518000,0.137000,0.702000,doge2025:1;doge2025_clean:1;paxg2025:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1;btc2025_follow:1;doge2025_follow:1;xrp2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_05,dio_0u24,familie_breit_getragen,85,0.035461,6,7,0.513000,0.120000,0.708000,paxg2025:1;doge2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1;sol2026_stable:1;btc2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_05,dio_0qup,familie_breit_getragen,74,0.030872,6,7,0.513000,0.124000,0.709000,xrp2025_clean:1;doge2025:1;doge2025_clean:1;btc2025_current:1;paxg2025:1;sol2026_stable:1;doge2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_06,dio_0s8r,familie_breit_getragen,147,0.183750,5,5,0.481000,0.176000,0.683000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;paxg2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_06,dio_1xme,familie_breit_getragen,126,0.157500,5,6,0.463000,0.181000,0.671000,paxg2025:1;doge2025:1;xrp2025_clean:1;sol2026_stable:1;btc2025_current:1;doge2025_clean:1;paxg2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_06,dio_0f8s,familie_breit_getragen,111,0.138750,5,5,0.468000,0.177000,0.677000,paxg2025:1;doge2025:1;doge2025_clean:1;btc2025_current:1;xrp2025_clean:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_06,dio_0nx9,familie_breit_getragen,105,0.131250,5,6,0.466000,0.177000,0.674000,doge2025:1;xrp2025_clean:1;doge2025_clean:1;btc2025_current:1;paxg2025:1;paxg2025_follow:1;sol2026_stable:1;btc2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_06,dio_0gh3,familie_breit_getragen,92,0.115000,5,6,0.471000,0.175000,0.674000,doge2025:1;paxg2025:1;xrp2025_clean:1;doge2025_clean:1;btc2025_current:1;sol2026_stable:1;xrp2025_follow:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_06,dio_1ejq,familie_breit_getragen,82,0.102500,5,6,0.482000,0.175000,0.679000,paxg2025:1;doge2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1;sol2026_stable:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_06,dio_0lr0,familie_breit_getragen,72,0.090000,5,6,0.468000,0.176000,0.665000,doge2025:1;doge2025_clean:1;xrp2025_clean:1;paxg2025:1;btc2025_current:1;doge2025_follow:1;btc2025_follow:1;sol2026_stable:1,passive_family_member_cohesion_trace_no_action_no_direction
rf_06,dio_1yhs,familie_breit_getragen,65,0.081250,5,5,0.475000,0.173000,0.679000,doge2025:1;paxg2025:1;doge2025_clean:1;xrp2025_clean:1;btc2025_current:1,passive_family_member_cohesion_trace_no_action_no_direction
