asset,timeframe,window_start,control_kind,real_member_coverage,control_member_coverage,real_minus_control_member_coverage,real_family_event_share,control_family_event_share,real_minus_control_family_event_share,real_phase_complete_ratio,control_phase_complete_ratio,real_minus_control_phase_complete_ratio,real_mean_afterimage_delta,control_mean_afterimage_delta,real_minus_control_mean_afterimage_delta,real_mean_temporal_delta,control_mean_temporal_delta,real_minus_control_mean_temporal_delta,real_joint_coverage_event_advantage
BTC,15m,0,shuffle,0.5,0.625,-0.125,0.015090543259557344,0.012072434607645875,0.0030181086519114695,0.125,0.0,0.125,0.2409515333333333,0.12724016666666665,0.11371136666666665,0.5720604999999999,0.4481275,0.12393299999999985,0
BTC,15m,0,random_sign,0.5,0.75,-0.25,0.015090543259557344,0.01710261569416499,-0.002012072434607647,0.125,0.25,-0.125,0.2409515333333333,0.1649620952380952,0.07598943809523809,0.5720604999999999,0.4767735952380953,0.09528690476190455,0
BTC,15m,0,sign_shuffle,0.5,0.75,-0.25,0.015090543259557344,0.019114688128772636,-0.004024144869215292,0.125,0.0,0.125,0.2409515333333333,0.171724,0.06922753333333331,0.5720604999999999,0.5163446666666667,0.05571583333333319,0
BTC,15m,0,magnitude_shuffle,0.5,0.75,-0.25,0.015090543259557344,0.018108651911468814,-0.0030181086519114695,0.125,0.25,-0.125,0.2409515333333333,0.13680599999999998,0.10414553333333332,0.5720604999999999,0.23458855,0.33747194999999985,0
BTC,15m,0,wick_shuffle,0.5,0.625,-0.125,0.015090543259557344,0.02112676056338028,-0.006036217303822937,0.125,0.25,-0.125,0.2409515333333333,0.26479825,-0.023846716666666712,0.5720604999999999,0.4812001071428571,0.09086039285714276,0
BTC,15m,0,volume_shuffle,0.5,0.875,-0.375,0.015090543259557344,0.029175050301810865,-0.014084507042253521,0.125,0.25,-0.125,0.2409515333333333,0.22499350909090912,0.01595802424242418,0.5720604999999999,0.4486264,0.12343409999999988,0
BTC,15m,12000,shuffle,0.75,0.75,0.0,0.022132796780684104,0.02012072434607646,0.002012072434607645,0.25,0.125,0.125,0.19866495000000003,0.19978416666666665,-0.001119216666666617,0.37735882499999995,0.4220413809523811,-0.04468255595238113,0
BTC,15m,12000,random_sign,0.75,0.75,0.0,0.022132796780684104,0.02112676056338028,0.0010060362173038226,0.25,0.25,0.0,0.19866495000000003,0.3032308181818182,-0.10456586818181815,0.37735882499999995,0.3926140227272728,-0.015255197727272851,0
BTC,15m,12000,sign_shuffle,0.75,1.0,-0.25,0.022132796780684104,0.022132796780684104,0.0,0.25,0.25,0.0,0.19866495000000003,0.16268422222222223,0.035980727777777805,0.37735882499999995,0.31699011111111114,0.060368713888888814,0
BTC,15m,12000,magnitude_shuffle,0.75,0.625,0.125,0.022132796780684104,0.02112676056338028,0.0010060362173038226,0.25,0.25,0.0,0.19866495000000003,0.3018704,-0.10320544999999995,0.37735882499999995,0.7201427,-0.34278387500000007,1
