group,role_family,component,primary_axis,observed_relation,pseudo_same_relation,pseudo_families,mean_match_distance,median_source_event_ratio,observed_control_minus_real_family_continuity_score,pseudo_mean_control_minus_real_family_continuity_score,observed_percentile_control_minus_real_family_continuity_score,observed_control_minus_real_mean_family_event_share,pseudo_mean_control_minus_real_mean_family_event_share,observed_percentile_control_minus_real_mean_family_event_share,observed_control_minus_real_mean_member_coverage,pseudo_mean_control_minus_real_mean_member_coverage,observed_percentile_control_minus_real_mean_member_coverage
overall,rf_05,sign,0,abgeschwaecht,72,100,0.2312181863878203,0.9826866916979557,-0.027199660748130294,-0.00944415046288444,0.09,-0.0015928906773977208,-0.0023999552872792313,0.91,-0.02430555555555547,-0.032361111111111104,0.575
overall,rf_05,magnitude,0,verstaerkt,8,100,0.2312181863878203,0.9826866916979557,0.042563946443717415,-0.007002156413994934,1.0,0.00039123630672926665,-0.0012094790968030405,0.97,0.04166666666666674,-0.030243055555555554,1.0
overall,rf_05,wick,0,verstaerkt,0,100,0.2312181863878203,0.9826866916979557,0.029315993961340103,-0.015968782935864304,1.0,0.004275653923541248,-0.0016194388553543485,1.0,0.02083333333333337,-0.03965277777777777,1.0
overall,rf_05,volume,0,verstaerkt,0,100,0.2312181863878203,0.9826866916979557,0.03282498755118346,-0.04186215159497135,1.0,0.00480661748267382,-0.0006433042700648339,1.0,0.04513888888888895,-0.10440972222222221,1.0
overall,rf_06,sign,0,abgeschwaecht,97,100,0.5210120305799294,1.345,-0.03839183789954337,-0.02644839275771666,0.12,-0.0006427453610552201,-0.001169796557120501,0.81,-0.05902777777777779,-0.06131944444444444,0.515
overall,rf_06,magnitude,0,gemischt,58,100,0.5210120305799294,1.345,-0.006444444444444475,-0.012066434969426762,0.71,0.00011178180192264681,0.0006396713615023473,0.32,-0.02777777777777779,-0.015624999999999993,0.285
overall,rf_06,wick,0,gemischt,21,100,0.5210120305799294,1.345,-0.04098858615611195,0.016557123763006543,0.0,2.7945450480661594e-05,0.0005474513749161636,0.2,-0.041666666666666685,0.030486111111111117,0.0
overall,rf_06,volume,0,abgeschwaecht,23,100,0.5210120305799294,1.345,-0.10614737274220032,-0.018697894641911305,0.0,-0.0010619271182651469,0.0004926782919740665,0.0,-0.12500000000000003,-0.04315972222222222,0.0
overall,rf_07,sign,0,gemischt,20,100,2.3539725387434105,0.31767719897523483,-0.006358246033420056,-0.042585506246996835,0.63,-0.000810418063939191,-0.0005698077353006931,0.36,0.0,-0.05069444444444445,0.67
overall,rf_07,magnitude,0,gemischt,24,100,2.3539725387434105,0.31767719897523483,0.007029196070291954,-0.005248995826927014,0.56,-0.002459199642298234,-0.00016627543035993748,0.0,0.0,-0.006805555555555556,0.535
overall,rf_07,wick,0,gemischt,52,100,2.3539725387434105,0.31767719897523483,-0.004049303608774979,-0.020085077308377036,0.67,0.00047507265817125013,0.0006058573664207465,0.5,0.0,-0.0226388888888889,0.675
overall,rf_07,volume,0,gemischt,48,100,2.3539725387434105,0.31767719897523483,-0.009187527448397015,-0.047691850095844535,0.59,0.004024144869215294,0.0003711155823831879,1.0,0.0,-0.05472222222222222,0.675
overall,rf_08,sign,1,verstaerkt,11,100,0.501292711736154,1.0260586319218241,0.09928657074340519,-0.07296452322779072,0.98,0.0005309635591325729,-0.00041666666666666675,0.99,0.11111111111111116,-0.07791666666666666,1.0
overall,rf_08,magnitude,0,verstaerkt,35,100,0.501292711736154,1.0260586319218241,0.14237129144851646,-0.018793215414339055,0.98,0.0019841269841269845,-3.5490722110440515e-05,1.0,0.1527777777777778,-0.02402777777777778,0.99
overall,rf_08,wick,0,verstaerkt,16,100,0.501292711736154,1.0260586319218241,0.06352517985611505,-0.020170337799402645,0.9,0.0005309635591325729,-0.0001377710708696625,0.99,0.05555555555555558,-0.022361111111111113,0.905
overall,rf_08,volume,0,verstaerkt,16,100,0.501292711736154,1.0260586319218241,0.07004310344827569,-0.10702334607958026,0.94,0.0006986362620165442,-0.00019589760786943895,0.955,0.06944444444444442,-0.10736111111111112,0.94
overall,rf_10,sign,0,abgeschwaecht,44,100,0.523890102114776,0.9022988505747126,-0.08334863321093433,-0.015987213704657166,0.3,-0.0003912363067292645,-0.00038145539906103297,0.465,-0.08333333333333331,-0.016944444444444443,0.29
overall,rf_10,magnitude,0,abgeschwaecht,26,100,0.523890102114776,0.9022988505747126,-0.12117832691484814,0.02340122981265012,0.02,-0.0004471272076905881,-2.5989268947015562e-05,0.295,-0.12499999999999994,0.024722222222222222,0.05
overall,rf_10,wick,0,abgeschwaecht,24,100,0.523890102114776,0.9022988505747126,-0.13715538847117792,-0.007963565515141487,0.0,-0.0006147999105745585,2.7945450480651837e-07,0.12,-0.13888888888888884,-0.009166666666666668,0.01
overall,rf_10,volume,0,abgeschwaecht,29,100,0.523890102114776,0.9022988505747126,-0.19846491228070184,-0.03888569078785432,0.03,-0.0005868544600938967,0.0002378157835904314,0.04,-0.19444444444444442,-0.03972222222222223,0.035
overall,rf_13,sign,0,gemischt,26,100,0.14455981408974777,1.0034562211981566,0.01385584613739943,-0.02442398013495483,0.82,-0.00022356360384529405,-0.0005290073775989269,0.695,0.00925925925925919,-0.04925925925925925,0.795
overall,rf_13,magnitude,0,abgeschwaecht,24,100,0.14455981408974777,1.0034562211981566,-0.06860044976483337,0.016081683321512063,0.08,-0.0010619271182651462,4.443326626425213e-05,0.03,-0.10185185185185192,0.0028703703703703656,0.02
overall,rf_13,wick,0,gemischt,51,100,0.14455981408974777,1.0034562211981566,-0.0028814528814530282,-0.013389240087298119,0.53,-0.00016767270288397087,3.716744913928e-05,0.34,0.01851851851851838,-0.027962962962962964,0.76
overall,rf_13,volume,0,abgeschwaecht,46,100,0.14455981408974777,1.0034562211981566,-0.03277145566619255,-0.039075767821213025,0.47,-0.0004471272076905881,0.00012882852671585062,0.16,-0.08333333333333337,-0.06037037037037037,0.33
overall,rf_17,sign,0,abgeschwaecht,46,100,0.45198108761550226,1.0472312703583062,-0.2213821398124467,-0.016935407074906938,0.0,-0.0007824726134585291,-0.00019701542588866538,0.12,-0.2361111111111111,-0.01861111111111111,0.01
overall,rf_17,magnitude,0,abgeschwaecht,28,100,0.45198108761550226,1.0472312703583062,-0.0751424218335982,0.011481389087031748,0.19,-0.0003912363067292647,0.00033534540576794086,0.115,-0.06944444444444442,0.01236111111111111,0.215
overall,rf_17,wick,0,abgeschwaecht,34,100,0.45198108761550226,1.0472312703583062,-0.02404188948306596,-0.008618815663239951,0.35,-0.00019561815336463246,-2.31947238989493e-05,0.325,-0.02777777777777779,-0.010555555555555566,0.325
overall,rf_17,volume,0,abgeschwaecht,45,100,0.45198108761550226,1.0472312703583062,-0.26703431372549014,-0.04694788125138475,0.01,-0.0008663089649005144,5.421417393248376e-05,0.02,-0.29166666666666663,-0.04722222222222223,0.0
overall,rf_21,sign,0,abgeschwaecht,43,100,1.148641803475441,0.6791147994467497,-0.10347482801751096,-0.01730971448019879,0.04,-0.0018443997317236756,-0.00037195394589760813,0.02,-0.125,-0.020694444444444453,0.04
overall,rf_21,magnitude,0,gemischt,30,100,1.148641803475441,0.6791147994467497,0.00046372067648658977,-0.005974832858057071,0.52,-0.0008383635144198522,-0.0006382740889783144,0.35,0.0,-0.008333333333333331,0.545
overall,rf_21,wick,0,abgeschwaecht,14,100,1.148641803475441,0.6791147994467497,-0.03932398708162066,-0.01162965202188938,0.21,-0.0013972725240330875,0.0010074334898278559,0.0,-0.04166666666666674,-0.011250000000000007,0.215
overall,rf_21,volume,0,abgeschwaecht,2,100,1.148641803475441,0.6791147994467497,-0.07559382284382288,-0.03162525848708637,0.32,-0.0010339816677844855,0.001645148669796557,0.0,-0.06944444444444453,-0.03694444444444443,0.32
timeframe:1h,rf_05,sign,0,abgeschwaecht,60,100,0.2312181863878203,0.9826866916979557,-0.05545491940309011,-0.0076840781891020105,0.01,-0.0009501453163425003,-0.001995864073328862,0.95,-0.04861111111111116,-0.023750000000000004,0.29
timeframe:1h,rf_05,magnitude,0,gemischt,30,100,0.2312181863878203,0.9826866916979557,-0.0015121301661832343,-0.0055203816974577925,0.62,0.00027945450480661854,-0.00025374469036440895,0.685,0.00694444444444442,-0.025208333333333336,0.745
timeframe:1h,rf_05,wick,0,gemischt,31,100,0.2312181863878203,0.9826866916979557,0.00026757913855735005,-0.00026786070932519166,0.51,0.0030181086519114712,-0.00013749161636485618,1.0,-0.02083333333333337,0.00361111111111111,0.3
timeframe:1h,rf_05,volume,0,verstaerkt,3,100,0.2312181863878203,0.9826866916979557,0.035110088725209154,-0.04599407526128789,1.0,0.005868544600938969,-0.0008428347864967585,1.0,0.03472222222222221,-0.10868055555555556,0.975
timeframe:1h,rf_06,sign,0,abgeschwaecht,64,100,0.5210120305799294,1.345,-0.039204545454545436,-0.023128761388584263,0.14,-0.0008383635144198526,-0.0005667337357478205,0.42,-0.06944444444444448,-0.06256944444444444,0.4
timeframe:1h,rf_06,magnitude,0,gemischt,46,100,0.5210120305799294,1.345,-0.011522108843537437,0.001614612342476487,0.21,5.589090096132319e-05,0.0018287502794545048,0.1,-0.041666666666666685,0.010208333333333331,0.05
timeframe:1h,rf_06,wick,0,gemischt,16,100,0.5210120305799294,1.345,-0.04049238743116296,0.019533103844554558,0.0,5.589090096132319e-05,0.0011625307399955286,0.125,0.0,0.03965277777777778,0.065
timeframe:1h,rf_06,volume,0,abgeschwaecht,16,100,0.5210120305799294,1.345,-0.14262265512265515,-0.014563913714541564,0.0,-0.0014531634249944111,0.0008953722334004023,0.0,-0.1388888888888889,-0.04631944444444445,0.01
timeframe:1h,rf_07,sign,0,gemischt,33,100,2.3539725387434105,0.31767719897523483,-0.011048824258570566,-0.06448836540843794,0.64,0.001788508830762349,-0.0004532752067963336,1.0,0.0,-0.07472222222222222,0.665
timeframe:1h,rf_07,magnitude,0,gemischt,37,100,2.3539725387434105,0.31767719897523483,0.01026188979677356,-0.015481661329390434,0.62,-0.0009501453163425037,7.712944332662632e-05,0.15,0.0,-0.017500000000000005,0.58
