preview_symbol,target_group,chain,world,run,tick,window_start_tick,window_end_tick,window_label,raw_direction,raw_net_pct,raw_range_pct,raw_avg_body_pct,raw_direction_changes,sehen_form_stability,sehen_form_change,sehen_form_flow,hoeren_energy_tone,hoeren_energy_shift,perception_auditory_loudness,perception_visual_sharpness,mcm_carry_quality,mcm_strain_quality,mcm_rekopplung_quality,mcm_field_phase_signature_depth,mcm_field_phase_signature_drift
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,467,323,466,weite_unruhige_steigend,steigend,2.1666512045611324,2.6581778655436374,0.08722159999811172,70.0,0.57861,-0.609798,0.72767,-0.208164,-0.234838,0.219367,0.512196,0.404733,0.229918,0.616006,0.451068,0.0
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2157,2013,2156,weite_unruhige_fallend,fallend,-2.5996159412675586,2.768499691717675,0.10936241987441397,76.0,-0.10365,0.67142,-0.488518,-0.268319,-0.100716,0.197926,0.364642,0.407213,0.222286,0.619869,0.46917,0.034554
dio_mcm_episode_1y7uo9c,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2158,2014,2157,weite_unruhige_fallend,fallend,-2.2412201036314854,2.8103073723086074,0.10911357919235387,77.0,-0.222565,0.153314,0.201158,-0.42106,-0.165239,0.313615,0.6245,0.535446,0.202992,0.683915,0.501792,0.089974
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2198,2054,2197,weite_unruhige_fallend,fallend,-0.837198011345594,2.373442444563968,0.12614952713844743,77.0,-0.353723,-0.91654,0.065386,0.344903,0.468201,0.396688,0.250426,0.380907,0.264794,0.59223,0.441979,0.0
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2226,2082,2225,weite_unruhige_fallend,fallend,-3.3299374015421663,3.5049850758643557,0.14301828839970923,73.0,0.279299,0.584832,-0.623795,0.349767,0.254301,0.309672,0.456131,0.389704,0.252894,0.599876,0.463041,0.019415
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2517,2373,2516,weite_unruhige_fallend,fallend,-0.955047113850462,3.0551363563397107,0.12500178244965612,60.0,0.842864,-0.718858,-0.758252,0.77965,0.789164,0.783645,0.689421,0.402295,0.27723,0.59677,0.443922,0.0
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2541,2397,2540,weite_unruhige_fallend,fallend,-0.8182398444182236,3.0816970957441443,0.1379853023914807,64.0,0.442412,-0.668429,-0.607895,0.708322,0.571712,0.650946,0.617957,0.368564,0.27676,0.586985,0.458888,0.030805
dio_mcm_episode_16yidit,oberflaeche_rekoppelt,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,2759,2615,2758,weite_unruhige_steigend,steigend,0.5928702566263828,2.7733665994579786,0.10115874382696528,69.0,0.092852,-0.700835,0.595828,-0.446112,-0.297485,0.383689,0.360575,0.37922,0.268371,0.587713,0.478651,0.021324
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,3907,3763,3906,weite_unruhige_steigend,steigend,1.0219690586105266,2.931142604050148,0.08787826521008048,64.0,-0.091615,-0.735811,0.491739,-0.134137,-0.844507,0.432492,0.313111,0.379239,0.258169,0.592206,0.43922,0.0
dio_mcm_episode_0xg0gjh,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,4947,4803,4946,weite_unruhige_fallend,fallend,-0.2368969730098445,2.7571608740820808,0.09768268280069194,70.0,0.270761,-0.592793,-0.43723,0.708918,0.723447,0.71502,0.57202,0.414966,0.273293,0.602435,0.458977,0.07519
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,4992,4848,4991,weite_unruhige_fallend,fallend,-2.757394659202663,3.0680649065738788,0.1001620142723866,72.0,0.018031,-0.480309,-0.298513,0.481489,0.675789,0.563095,0.552395,0.369942,0.270198,0.590262,0.438501,0.0
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5441,5297,5440,weite_unruhige_steigend,steigend,1.913321844994914,2.863002864891139,0.1289429424835162,66.0,0.934549,-0.784495,-0.899305,0.838563,0.627728,0.750012,0.687642,0.362452,0.289025,0.579178,0.47321,0.031237
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5442,5298,5441,weite_unruhige_steigend,steigend,1.6662932754543158,2.7416889245474008,0.13093018094839634,65.0,0.150632,0.895734,-0.784663,0.154999,-0.602045,0.342758,0.271181,0.39183,0.258544,0.595226,0.454086,0.087281
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5551,5407,5550,weite_unruhige_fallend,fallend,-2.3258699792128397,6.539932008756407,0.26130639698726893,71.0,0.805434,0.807334,0.700667,0.791972,0.759824,0.77847,0.649061,0.369418,0.293034,0.582426,0.481214,0.15234
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5655,5511,5654,weite_unruhige_steigend,steigend,5.674787511827266,8.027320062193866,0.22327187892271716,74.0,0.79292,-0.454311,-0.681415,0.769141,0.723969,0.750169,0.714909,0.352747,0.296549,0.573937,0.49278,0.037939
dio_mcm_episode_16bqw8k,rekopplung_oeffnet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5676,5532,5675,weite_unruhige_steigend,steigend,4.133012149857196,7.285724540406657,0.26341327327230496,74.0,0.63501,-0.997687,-0.947171,0.671186,0.779441,0.716653,0.578876,0.364588,0.286686,0.577486,0.502656,0.053478
dio_mcm_episode_0x60uui,oberflaeche_rekoppelt_spaet,long_btc_sol,FPSIG_LONG_REAL_BTC_0_17K,debug\2026_field_phase_signature_long_real_chain\dio_mini_lauf_1,5770,5626,5769,weite_unruhige_fallend,fallend,-3.922010593936662,7.322852098125401,0.3065145614452499,78.0,-0.077377,-0.974131,-0.604416,0.544357,0.597423,0.566645,0.380486,0.372517,0.272927,0.584418,0.469716,0.047157
