lookback,target_group,chain,asset,events,dominant_motion_class,dominant_motion_share,dominant_sensory_class,dominant_sensory_share,dominant_field_contact_class,dominant_field_contact_share,dominant_combined_class,dominant_combined_share,symbols,motion_classes,sensory_classes,field_contact_classes,avg_range,avg_changes,avg_carry,avg_strain,avg_rekopplung
lb144,oberflaeche_rekoppelt,long_btc_sol,BTC,19,weite_unruhige_vorphase_fallend,0.42105263157894735,sicht_zerfaellt_wechselnd_mittel,0.2631578947368421,offene_rekopplung,0.6842105263157895,weite_unruhige_vorphase_fallend | sicht_zerfaellt_wechselnd_mittel | offene_rekopplung,0.15789473684210525,dio_mcm_episode_1y7uo9c:10;dio_mcm_episode_16yidit:9,weite_unruhige_vorphase_fallend:8;enge_unruhige_vorphase_fallend:6;enge_unruhige_vorphase_steigend:4;weite_unruhige_vorphase_steigend:1,sicht_zerfaellt_wechselnd_mittel:5;sicht_wechselt_gedaempft_leise:4;sicht_zerfaellt_gedaempft_mittel:3;sicht_stabil_gedaempft_mittel:2;sicht_zerfaellt_gedaempft_leise:1;sicht_offen_gedaempft_mittel:1,offene_rekopplung:13;tragende_rekopplung:6,3.591453837923001,75.84210526315789,0.41378494736842103,0.22926942105263157,0.6193692631578948
lb144,oberflaeche_rekoppelt,long_btc_sol,SOL,22,weite_unruhige_vorphase_steigend,0.5,sicht_zerfaellt_wechselnd_mittel,0.18181818181818182,offene_rekopplung,0.6363636363636364,weite_unruhige_vorphase_steigend | sicht_stabil_gedaempft_leise | tragende_rekopplung,0.09090909090909091,dio_mcm_episode_16yidit:12;dio_mcm_episode_1y7uo9c:10,weite_unruhige_vorphase_steigend:11;weite_unruhige_vorphase_fallend:8;weite_unruhige_vorphase_seitwaerts:1;enge_unruhige_vorphase_steigend:1;enge_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_wechselnd_mittel:4;sicht_stabil_gedaempft_leise:4;sicht_stabil_wechselnd_mittel:3;sicht_wechselt_wechselnd_mittel:3;sicht_wechselt_gedaempft_leise:2;sicht_offen_wechselnd_mittel:1,offene_rekopplung:14;tragende_rekopplung:8,10.72050421401192,70.18181818181819,0.40728304545454547,0.2333225909090909,0.6134112727272728
lb144,oberflaeche_rekoppelt,multiasset,DOGE,16,weite_unruhige_vorphase_steigend,0.5,sicht_zerfaellt_gedaempft_leise,0.1875,tragende_rekopplung,0.6875,weite_unruhige_vorphase_steigend | sicht_stabil_gedaempft_leise | tragende_rekopplung,0.125,dio_mcm_episode_1y7uo9c:13;dio_mcm_episode_16yidit:3,weite_unruhige_vorphase_steigend:8;weite_unruhige_vorphase_fallend:6;mittlere_vorphase_fallend:2,sicht_zerfaellt_gedaempft_leise:3;sicht_stabil_gedaempft_leise:3;sicht_wechselt_gedaempft_leise:3;sicht_offen_gedaempft_leise:2;sicht_wechselt_wechselnd_mittel:2;sicht_zerfaellt_gedaempft_mittel:1,tragende_rekopplung:11;offene_rekopplung:5,7.573132468560228,61.875,0.4384795,0.1965084375,0.6451564375
lb144,oberflaeche_rekoppelt,multiasset,PAXG,13,enge_unruhige_vorphase_steigend,0.7692307692307693,sicht_zerfaellt_wechselnd_mittel,0.23076923076923078,offene_rekopplung,0.5384615384615384,enge_unruhige_vorphase_steigend | sicht_zerfaellt_wechselnd_mittel | offene_rekopplung,0.23076923076923078,dio_mcm_episode_16yidit:7;dio_mcm_episode_1y7uo9c:6,enge_unruhige_vorphase_steigend:10;weite_unruhige_vorphase_steigend:2;enge_unruhige_vorphase_fallend:1,sicht_zerfaellt_wechselnd_mittel:3;sicht_wechselt_gedaempft_mittel:2;sicht_stabil_gedaempft_leise:2;sicht_zerfaellt_gedaempft_leise:2;sicht_zerfaellt_gedaempft_mittel:2;sicht_wechselt_wechselnd_mittel:2,offene_rekopplung:7;tragende_rekopplung:6,2.853382305912602,63.53846153846154,0.39829923076923074,0.23665369230769231,0.6088625384615385
lb144,oberflaeche_rekoppelt,multiasset,XRP,10,weite_unruhige_vorphase_steigend,0.6,sicht_stabil_gedaempft_leise,0.3,tragende_rekopplung,0.6,weite_unruhige_vorphase_steigend | sicht_stabil_gedaempft_leise | tragende_rekopplung,0.2,dio_mcm_episode_1y7uo9c:6;dio_mcm_episode_16yidit:4,weite_unruhige_vorphase_steigend:6;weite_unruhige_vorphase_fallend:3;enge_unruhige_vorphase_steigend:1,sicht_stabil_gedaempft_leise:3;sicht_zerfaellt_gedaempft_leise:2;sicht_zerfaellt_wechselnd_mittel:2;sicht_wechselt_gedaempft_leise:1;sicht_stabil_gedaempft_mittel:1;sicht_stabil_hell_getragen_mittel:1,tragende_rekopplung:6;offene_rekopplung:4,14.066611103540613,70.6,0.43781480000000006,0.1966448,0.6432371
lb144,oberflaeche_rekoppelt_spaet,long_btc_sol,BTC,13,enge_unruhige_vorphase_fallend,0.38461538461538464,sicht_zerfaellt_hoch_schwingend_laut,0.6153846153846154,offene_rekopplung,0.9230769230769231,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.23076923076923078,dio_mcm_episode_0x60uui:13,enge_unruhige_vorphase_fallend:5;enge_unruhige_vorphase_steigend:3;enge_unruhige_vorphase_seitwaerts:3;weite_unruhige_vorphase_fallend:2,sicht_zerfaellt_hoch_schwingend_laut:8;sicht_zerfaellt_hoch_schwingend_mittel:2;sicht_wechselt_wechselnd_mittel:1;sicht_wechselt_hell_getragen_mittel:1;sicht_zerfaellt_wechselnd_mittel:1,offene_rekopplung:12;spannungsnahe_oeffnung:1,2.873018734933346,72.76923076923077,0.3784289230769231,0.2688926923076923,0.589744923076923
lb144,oberflaeche_rekoppelt_spaet,long_btc_sol,SOL,9,weite_unruhige_vorphase_steigend,0.5555555555555556,sicht_zerfaellt_hoch_schwingend_laut,0.3333333333333333,offene_rekopplung,1.0,weite_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.2222222222222222,dio_mcm_episode_0x60uui:9,weite_unruhige_vorphase_steigend:5;weite_unruhige_vorphase_fallend:3;enge_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_hoch_schwingend_laut:3;sicht_zerfaellt_hoch_schwingend_mittel:2;sicht_zerfaellt_wechselnd_mittel:2;sicht_stabil_wechselnd_mittel:1;sicht_zerfaellt_hell_getragen_mittel:1,offene_rekopplung:9,6.590416503753972,72.66666666666667,0.37833633333333333,0.2664094444444445,0.5901612222222222
lb144,oberflaeche_rekoppelt_spaet,multiasset,DOGE,5,weite_unruhige_vorphase_fallend,0.8,sicht_zerfaellt_hoch_schwingend_laut,1.0,offene_rekopplung,0.6,weite_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.4,dio_mcm_episode_0x60uui:5,weite_unruhige_vorphase_fallend:4;enge_unruhige_vorphase_steigend:1,sicht_zerfaellt_hoch_schwingend_laut:5,offene_rekopplung:3;spannungsnahe_oeffnung:2,8.944574907354717,72.6,0.3710482,0.2753858,0.5849562
lb144,oberflaeche_rekoppelt_spaet,multiasset,PAXG,9,enge_unruhige_vorphase_fallend,0.4444444444444444,sicht_zerfaellt_hoch_schwingend_laut,0.4444444444444444,offene_rekopplung,1.0,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.2222222222222222,dio_mcm_episode_0x60uui:9,enge_unruhige_vorphase_fallend:4;enge_unruhige_vorphase_steigend:3;enge_unruhige_vorphase_seitwaerts:2,sicht_zerfaellt_hoch_schwingend_laut:4;sicht_zerfaellt_wechselnd_mittel:2;sicht_zerfaellt_hoch_schwingend_mittel:2;sicht_zerfaellt_hell_getragen_mittel:1,offene_rekopplung:9,0.914568541690759,47.0,0.3745418888888889,0.2676183333333333,0.593382
lb144,oberflaeche_rekoppelt_spaet,multiasset,XRP,10,weite_unruhige_vorphase_fallend,0.5,sicht_zerfaellt_hoch_schwingend_laut,0.4,offene_rekopplung,0.8,weite_unruhige_vorphase_steigend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.2,dio_mcm_episode_0x60uui:10,weite_unruhige_vorphase_fallend:5;weite_unruhige_vorphase_steigend:4;weite_unruhige_vorphase_seitwaerts:1,sicht_zerfaellt_hoch_schwingend_laut:4;sicht_zerfaellt_wechselnd_mittel:3;sicht_stabil_hell_getragen_laut:2;sicht_zerfaellt_hoch_schwingend_mittel:1,offene_rekopplung:8;spannungsnahe_oeffnung:2,10.085837531201603,70.7,0.3763821,0.2684438,0.5893918
lb144,rekopplung_oeffnet,long_btc_sol,BTC,63,enge_unruhige_vorphase_steigend,0.3333333333333333,sicht_zerfaellt_hoch_schwingend_laut,0.6349206349206349,spannungsnahe_oeffnung,0.6666666666666666,enge_unruhige_vorphase_fallend | sicht_zerfaellt_hoch_schwingend_laut | offene_rekopplung,0.14285714285714285,dio_mcm_episode_16bqw8k:36;dio_mcm_episode_0xg0gjh:27,enge_unruhige_vorphase_steigend:21;enge_unruhige_vorphase_fallend:20;weite_unruhige_vorphase_steigend:10;weite_unruhige_vorphase_fallend:8;enge_unruhige_vorphase_seitwaerts:3;mittlere_vorphase_seitwaerts:1,sicht_zerfaellt_hoch_schwingend_laut:40;sicht_stabil_hoch_schwingend_laut:19;sicht_wechselt_hoch_schwingend_laut:2;sicht_zerfaellt_wechselnd_mittel:1;sicht_stabil_wechselnd_mittel:1,spannungsnahe_oeffnung:42;offene_rekopplung:19;getragen_offen:2,3.2752783477875784,70.0952380952381,0.37012312698412697,0.28665446031746034,0.5816180793650794
