dataset,gap_ticks,scope,directed_pairs,exact_convergence_count,exact_convergence_share,minimum_affected_ticks,median_affected_ticks,mean_affected_ticks,maximum_affected_ticks,mean_affected_target_share,mean_first_signature_difference,mean_maximum_signature_difference,mean_absolute_signature_difference,mean_absolute_activation_difference,mean_absolute_afterimage_difference,source_afterimage_first_difference_correlation,post_gap_afterimage_first_difference_correlation,post_gap_signature_first_difference_correlation,maximum_final_signature_difference,all_blank_gap_controls_exact,field_learning_used,memory_read,memory_written,influences_action
2091_basis,0,all,120,120,1,284,297.0,296.8833333333333,318,0.29867538564721663,0.0032462558017840944,0.0032462558017840944,2.7392369643872384e-05,0.00027627263625700643,0.0008287939573730417,0.9730386293020454,0.9730386293020454,0.41495705881937356,0.0,1,0,0,0,0
2091_basis,0,forward,60,60,1,284,295.5,296.48333333333335,318,0.2982729711602951,0.003243799301931309,0.003243799301931309,2.7369301953424746e-05,0.00027610157734292136,0.0008283808034160959,0.9730435213844686,0.9730435213844686,0.4187227561495405,0.0,1,0,0,0,0
2091_basis,0,reverse,60,60,1,284,298.0,297.28333333333336,318,0.29907780013413815,0.0032487123016368804,0.0032487123016368804,2.741543733432002e-05,0.0002764436951710915,0.0008292071113299875,0.9737777002491028,0.9737777002491028,0.4122827098259876,0.0,1,0,0,0,0
2091_basis,1,all,120,120,1,283,294.5,296.10833333333335,318,0.2978957075788062,0.0028443661316890933,0.0028443661316890933,2.402364073184388e-05,0.00024131545324336613,0.0007239021819253381,0.9733059312512915,0.9740631474092591,0.9900675652899638,0.0,1,0,0,0,0
2091_basis,1,forward,60,60,1,283,294.0,295.9166666666667,318,0.2977028839704896,0.0028422183160117234,0.0028422183160117234,2.4003540853425038e-05,0.0002411665566975997,0.000723532597921781,0.9732535567908531,0.9741041845348699,0.9904983976209798,0.0,1,0,0,0,0
2091_basis,1,reverse,60,60,1,283,295.0,296.3,318,0.29808853118712275,0.0028465139473664637,0.0028465139473664637,2.404374061026272e-05,0.00024146434978913255,0.0007242717659288953,0.9740944107383298,0.9747215801558166,0.9897437068093095,0.0,1,0,0,0,0
2091_basis,2,all,120,120,1,282,293.0,294.725,318,0.2965040241448692,0.002493157697645178,0.002493157697645178,2.1074951928398756e-05,0.00021076247576485332,0.0006322603398044844,0.9735064461512423,0.9747688841016876,0.9904719097056026,0.0,1,0,0,0,0
2091_basis,2,forward,60,60,1,282,292.5,294.65,318,0.29642857142857143,0.002491279217094215,0.002491279217094215,2.1057427016292834e-05,0.00021063295575683274,0.0006319309898056031,0.9734040842267276,0.9748527285507319,0.990875038052572,0.0,1,0,0,0,0
2091_basis,2,reverse,60,60,1,282,293.0,294.8,318,0.296579476861167,0.002495036178196141,0.002495036178196141,2.1092476840504677e-05,0.0002108919957728739,0.0006325896898033657,0.9743375933452697,0.9753407156605506,0.9901725254152653,0.0,1,0,0,0,0
2091_basis,4,all,120,120,1,277,292.0,293.51666666666665,318,0.2952883970489604,0.0019173011313850575,0.0019173011313850575,1.6230537994623442e-05,0.00016073507411662878,0.00048225645432499627,0.9737398845418156,0.9758520718829413,0.991171016111204,0.0,1,0,0,0,0
2091_basis,4,forward,60,60,1,277,291.0,293.25,318,0.2950201207243461,0.0019158630730096245,0.0019158630730096245,1.621719457200801e-05,0.00016063712308686997,0.0004819970432176506,0.9735549312940838,0.9760551397180944,0.9915283562585732,0.0,1,0,0,0,0
2091_basis,4,reverse,60,60,1,277,292.0,293.78333333333336,318,0.2955566733735748,0.0019187391897604906,0.0019187391897604906,1.6243881417238875e-05,0.00016083302514638759,0.00048251586543234193,0.9746404420775685,0.9762352479833619,0.9909113716861615,0.0,1,0,0,0,0
2091_basis,8,all,120,120,1,272,287.0,288.6166666666667,318,0.2903588195841717,0.0011372441898862755,0.0011372441898862755,9.648825764073964e-06,9.342243169732711e-05,0.00028045393657549067,0.97370454266806,0.9773299650987286,0.9922548911814102,0.0,1,0,0,0,0
2091_basis,8,forward,60,60,1,272,287.0,288.68333333333334,318,0.29042588866532526,0.0011363990872392618,0.0011363990872392618,9.641053317100785e-06,9.336646648704103e-05,0.0002802952793428162,0.9734020337770163,0.9777700460225058,0.9925471248426736,0.0,1,0,0,0,0
2091_basis,8,reverse,60,60,1,272,287.0,288.55,318,0.2902917505030181,0.001138089292533289,0.001138089292533289,9.656598211047144e-06,9.347839690761318e-05,0.00028061259380816514,0.9747009326666479,0.9773734454389283,0.9920495821455367,0.0,1,0,0,0,0
2091_basis,16,all,120,120,1,264,280.0,280.825,307,0.28252012072434607,0.0004033164614060723,0.0004033164614060723,3.4330764866986178e-06,3.1512079715459364e-05,9.471995454226142e-05,0.9723929176707266,0.9773968831727338,0.9937670141910916,0.0,1,0,0,0,0
2091_basis,16,forward,60,60,1,264,280.0,281.03333333333336,307,0.282729711602951,0.0004030220953272248,0.0004030220953272248,3.430407833635887e-06,3.1494483440722344e-05,9.466531485716766e-05,0.9719504584936473,0.9782221280070612,0.9939814077181905,0.0,1,0,0,0,0
2091_basis,16,reverse,60,60,1,264,280.0,280.6166666666667,307,0.2823105298457411,0.0004036108274849197,0.0004036108274849197,3.435745139761349e-06,3.152967599019639e-05,9.477459422735517e-05,0.973496512697566,0.97690150593949,0.9936211748501158,0.0,1,0,0,0,0
2091_basis,32,all,120,120,1,251,265.0,265.5833333333333,287,0.267186452045607,5.178743102904052e-05,5.178743102904052e-05,4.4299854689979844e-07,3.5916831931477176e-06,1.0766671239668413e-05,0.9669785504445674,0.9691185775015854,0.9959293926094297,0.0,1,0,0,0,0
2091_basis,32,forward,60,60,1,251,265.0,266,287,0.2676056338028169,5.17507786555918e-05,5.17507786555918e-05,4.426754113420371e-07,3.590099464477169e-06,1.076108601689345e-05,0.9663761394876574,0.9701399341471783,0.996053420080305,0.0,1,0,0,0,0
2091_basis,32,reverse,60,60,1,251,264.5,265.1666666666667,287,0.26676727028839703,5.182408340248924e-05,5.182408340248924e-05,4.433216824575597e-07,3.5932669218182666e-06,1.0772256462443377e-05,0.9681896388269944,0.9683838772842458,0.9958431745445556,0.0,1,0,0,0,0
2091_basis,64,all,120,120,1,219,235.0,235.85833333333332,284,0.23728202548625082,9.101075588627084e-07,9.101075588627084e-07,7.844915161021747e-09,4.782860283352492e-08,1.41657531922285e-07,0.9487945379429402,0.8718240723479085,0.9986429217170262,0.0,1,0,0,0,0
2091_basis,64,forward,60,60,1,219,235.0,236.05,284,0.2374748490945674,9.094888685845255e-07,9.094888685845255e-07,7.83977706945974e-09,4.781117779188527e-08,1.4160931121950276e-07,0.9479758988598056,0.869298450593721,0.9986846356381608,0.0,1,0,0,0,0
2091_basis,64,reverse,60,60,1,219,235.0,235.66666666666666,273,0.23708920187793428,9.107262491408914e-07,9.107262491408914e-07,7.850053252583754e-09,4.784602787516457e-08,1.417057526250672e-07,0.9501332604286954,0.8753499169460217,0.9986023004918968,0.0,1,0,0,0,0
2092_holdout,0,all,108,108,1,282,297.0,298.89814814814815,332,0.30070236232208064,0.003243054310310032,0.003243054310310032,2.7445197898818256e-05,0.0002764982406362326,0.0008292962625845672,0.9628146679966271,0.9628146679966271,0.479323891108403,0.0,1,0,0,0,0
2092_holdout,0,forward,54,54,1,282,297.0,299.0925925925926,332,0.30089798047544525,0.003255389272671697,0.003255389272671697,2.7545296376798335e-05,0.00027749853060132985,0.000832150683738762,0.9653298549700187,0.9653298549700187,0.49237854150093063,0.0,1,0,0,0,0
2092_holdout,0,reverse,54,54,1,282,297.0,298.7037037037037,332,0.300506744168716,0.003230719347948367,0.003230719347948367,2.7345099420838177e-05,0.00027549795067113533,0.0008264418414303726,0.9623264380345476,0.9623264380345476,0.46502028662674716,0.0,1,0,0,0,0
2092_holdout,1,all,108,108,1,282,296.5,298.3333333333333,332,0.30013413816230716,0.0028418478524300504,0.0028418478524300504,2.407097362176977e-05,0.00024150787068989309,0.0007243139467601652,0.9634624710347883,0.9645836125513425,0.9832158424543459,0.0,1,0,0,0,0
2092_holdout,1,forward,54,54,1,282,296.5,298.3703703703704,332,0.30017139876294807,0.0028526258482676863,0.0028526258482676863,2.415854706499681e-05,0.0002423820960373428,0.0007268156853052243,0.9661095575218543,0.9670900121228878,0.9811525205223782,0.0,1,0,0,0,0
2092_holdout,1,reverse,54,54,1,282,296.5,298.2962962962963,332,0.3000968775616663,0.0028310698565924145,0.0028310698565924145,2.3983400178542726e-05,0.0002406336453424434,0.0007218122082151062,0.9628284462228323,0.964071084886078,0.9855104035291046,0.0,1,0,0,0,0
2092_holdout,2,all,108,108,1,282,295.5,297.6111111111111,332,0.29940755644981,0.0024911891842544346,0.0024911891842544346,2.111735027806066e-05,0.00021092665702576003,0.000632602324991736,0.9640198397119596,0.9661681511988776,0.9838670132340301,0.0,1,0,0,0,0
2092_holdout,2,forward,54,54,1,282,295.5,297.5925925925926,332,0.29938892614948953,0.0025006121499194798,0.0025006121499194798,2.1193997279506557e-05,0.00021169032669944983,0.0006347946654655413,0.9667871379468785,0.9686628157276085,0.9818988223284393,0.0,1,0,0,0,0
2092_holdout,2,reverse,54,54,1,282,295.5,297.6296296296296,332,0.29942618675013044,0.00248176621858939,0.00248176621858939,2.1040703276614765e-05,0.00021016298735207023,0.0006304099845179308,0.9632532703604434,0.965634780666626,0.986062808712333,0.0,1,0,0,0,0
2092_holdout,4,all,108,108,1,279,292.5,295.3796296296296,332,0.2971626052611968,0.0019161285179643327,0.0019161285179643327,1.626452833836065e-05,0.0001608541622079515,0.0004825073891195996,0.9649061629359119,0.9688377474548956,0.9849993191502907,0.0,1,0,0,0,0
2092_holdout,4,forward,54,54,1,279,291.5,295.0925925925926,332,0.29687383560623,0.001923341322926682,0.001923341322926682,1.632330355542484e-05,0.0001614365965164979,0.00048419034934629507,0.9678853892474111,0.971235271413199,0.9831925257942888,0.0,1,0,0,0,0
2092_holdout,4,reverse,54,54,1,279,293.0,295.6666666666667,332,0.29745137491616364,0.0019089157130019834,0.0019089157130019834,1.6205753121296458e-05,0.00016027172789940514,0.0004808244288929042,0.9639072873285209,0.9683329264403155,0.9870259330498253,0.0,1,0,0,0,0
2092_holdout,8,all,108,108,1,277,288.0,290.9166666666667,326,0.2926727028839705,0.0011369050077156533,0.0011369050077156533,9.670601096113265e-06,9.348331962010428e-05,0.0002806015794413806,0.9659991883721455,0.971613901197566,0.9867677672477331,0.0,1,0,0,0,0
2092_holdout,8,forward,54,54,1,277,287.5,290.75925925925924,326,0.29251434533124676,0.0011411488879013968,0.0011411488879013968,9.705274550138257e-06,9.382112813568327e-05,0.0002815915114707083,0.9693221484045663,0.9734846088901644,0.9852019393352125,0.0,1,0,0,0,0
2092_holdout,8,reverse,54,54,1,277,288.5,291.0740740740741,326,0.29283106043669427,0.0011326611275299097,0.0011326611275299097,9.635927642088271e-06,9.314551110452528e-05,0.0002796116474120529,0.9646295922249728,0.9714470160966534,0.9885370276300851,0.0,1,0,0,0,0
2092_holdout,16,all,108,108,1,268,280.0,284.25,326,0.28596579476861167,0.0004034112129960573,0.0004034112129960573,3.4419274413870254e-06,3.1525740199646904e-05,9.47628704032878e-05,0.9666162262362116,0.9739526002251152,0.9892547197158809,0.0,1,0,0,0,0
2092_holdout,16,forward,54,54,1,268,281.0,284.7037037037037,326,0.2864222371264625,0.0004048957057322234,0.0004048957057322234,3.454098610936294e-06,3.163910194663214e-05,9.510143223717262e-05,0.9704578107215089,0.9746719623045947,0.9880042889497646,0.0,1,0,0,0,0
2092_holdout,16,reverse,54,54,1,270,280.0,283.7962962962963,326,0.28550935241076086,0.00040192672025989116,0.00040192672025989116,3.4297562718377567e-06,3.141237845266166e-05,9.442430856940297e-05,0.9647045619984133,0.9745631239669471,0.990675336006009,0.0,1,0,0,0,0
2092_holdout,32,all,108,108,1,254,266.0,267.35185185185185,326,0.2689656457262091,5.1850390692923454e-05,5.1850390692923454e-05,4.444285705399511e-07,3.5895308627192293e-06,1.0767914794593858e-05,0.9650736777727049,0.9706882094401174,0.9928789428641819,0.0,1,0,0,0,0
2092_holdout,32,forward,54,54,1,254,266.0,266.962962962963,326,0.26857440941947985,5.2036362162428744e-05,5.2036362162428744e-05,4.459611057271774e-07,3.6028318792389304e-06,1.0806092398994424e-05,0.9696679539844605,0.9720205820388162,0.9920610347509466,0.0,1,0,0,0,0
2092_holdout,32,reverse,54,54,1,254,266.0,267.74074074074076,326,0.2693568820329384,5.166441922341817e-05,5.166441922341817e-05,4.4289603535272484e-07,3.576229846199528e-06,1.072973719019329e-05,0.9623780251528586,0.9706908119362054,0.9938015419399727,0.0,1,0,0,0,0
2092_holdout,64,all,108,108,1,218,232.5,232.9814814814815,250,0.2343878083314703,9.129738386846138e-07,9.129738386846138e-07,7.88007030659903e-09,4.770117324770589e-08,1.412685517519887e-07,0.9559458854252226,0.8793287105223385,0.9977777089787404,0.0,1,0,0,0,0
2092_holdout,64,forward,54,54,1,220,232.5,233.1851851851852,250,0.23459274163499516,9.161007434801399e-07,9.161007434801399e-07,7.906075826006232e-09,4.787800763685209e-08,1.4178429567737098e-07,0.9612484256435352,0.8868926291246871,0.9975383159054424,0.0,1,0,0,0,0
2092_holdout,64,reverse,54,54,1,218,232.5,232.77777777777777,250,0.23418287502794544,9.098469338890877e-07,9.098469338890877e-07,7.854064787191826e-09,4.752433885855969e-08,1.4075280782660643e-07,0.9523560934353892,0.8740028352790193,0.9980264551584379,0.0,1,0,0,0,0
