symbol_family,events,holdout_labels,dominant_field_contact_class,dominant_field_share,field_classes,syntax_reifung,avg_carry,avg_strain,avg_rekopplung
dio_104t,2412,doge2024:1;btc2024:1;paxg2024:1,tragende_rekopplung,1.0,tragende_rekopplung:2412,weltuebergreifend_feldstabil,0.5875002314443079,0.16253610035398722,0.726361919175113
dio_0l7p,2063,btc2024:1;doge2024:1;paxg2024:1,tragende_rekopplung,1.0,tragende_rekopplung:2063,weltuebergreifend_feldstabil,0.594288410280862,0.1513987381244603,0.7332897618856319
dio_14wj,1696,paxg2024:1;btc2024:1;doge2024:1,tragende_rekopplung,1.0,tragende_rekopplung:1696,weltuebergreifend_feldstabil,0.5989915997069303,0.1428909086080381,0.7388009892052865
dio_155c,1208,btc2024:1;doge2024:1;paxg2024:1,tragende_rekopplung,1.0,tragende_rekopplung:1208,weltuebergreifend_feldstabil,0.5796403374423867,0.17124464713996557,0.7209362952578273
dio_0m9z,1191,btc2024:1;doge2024:1;paxg2024:1,tragende_rekopplung,1.0,tragende_rekopplung:1191,weltuebergreifend_feldstabil,0.5747704995727698,0.18106562195037243,0.7131223706241733
dio_0h9h,1012,btc2024:1;paxg2024:1;doge2024:1,tragende_rekopplung,1.0,tragende_rekopplung:1012,weltuebergreifend_feldstabil,0.5897471619287438,0.1567350514606723,0.7302528879046926
dio_00ly,619,doge2024:1;btc2024:1;paxg2024:1,tragende_rekopplung,1.0,tragende_rekopplung:619,weltuebergreifend_feldstabil,0.5873920498250936,0.15627061113591362,0.7296527959472922
dio_06s7,604,doge2024:1;btc2024:1;paxg2024:1,tragende_rekopplung,1.0,tragende_rekopplung:604,weltuebergreifend_feldstabil,0.5943910787002097,0.14541789518998952,0.736438144369759
dio_1kpz,601,doge2024:1;btc2024:1;paxg2024:1,tragende_rekopplung,1.0,tragende_rekopplung:601,weltuebergreifend_feldstabil,0.5951837356660061,0.1447011300048606,0.7365889683300721
dio_02n3,590,paxg2024:1;btc2024:1;doge2024:1,tragende_rekopplung,1.0,tragende_rekopplung:590,weltuebergreifend_feldstabil,0.5927820810630247,0.1375787384664327,0.7411936845591502
dio_06er,565,paxg2024:1;btc2024:1;doge2024:1,tragende_rekopplung,1.0,tragende_rekopplung:565,weltuebergreifend_feldstabil,0.5974009768695377,0.14262573610298987,0.7405776034531782
dio_1lsu,527,doge2024:1;paxg2024:1;btc2024:1,tragende_rekopplung,1.0,tragende_rekopplung:527,weltuebergreifend_feldstabil,0.5760648922871411,0.17164809931123984,0.7187928399070956
dio_1fll,501,paxg2024:1;btc2024:1;doge2024:1,tragende_rekopplung,1.0,tragende_rekopplung:501,weltuebergreifend_feldstabil,0.598542433724107,0.13074336390358612,0.7470281166096068
dio_0pz6,486,doge2024:1;btc2024:1;paxg2024:1,tragende_rekopplung,1.0,tragende_rekopplung:486,weltuebergreifend_feldstabil,0.591939079362239,0.15201082424262946,0.7334280957468995
