dataset,universe_scope,younger_exact_run_length,older_exact_run_length,exact_age_gap,matched_pairs,older_wins,ties,older_losses,older_age_auc
2091_basis,all,1,2,1,6145,382,4718,1045,0.44605370219690804
2091_basis,all,1,3,2,2621,198,2095,328,0.47520030522701256
2091_basis,all,1,4,3,1307,106,1037,164,0.4778117827084927
2091_basis,all,1,5,4,665,7,556,102,0.42857142857142855
2091_basis,all,1,6,5,838,0,677,161,0.4039379474940334
2091_basis,all,1,7,6,461,43,290,128,0.4078091106290672
2091_basis,all,1,8,7,80,0,78,2,0.4875
2091_basis,all,1,9,8,97,0,96,1,0.4948453608247423
2091_basis,all,1,10,9,4,0,3,1,0.375
2091_basis,all,1,11,10,145,0,103,42,0.35517241379310344
2091_basis,all,1,12,11,42,0,42,0,0.5
2091_basis,all,1,13,12,58,0,58,0,0.5
2091_basis,all,1,14,13,64,0,64,0,0.5
2091_basis,all,1,16,15,43,0,43,0,0.5
2091_basis,all,1,18,17,5,0,5,0,0.5
2091_basis,all,1,19,18,5,0,5,0,0.5
2091_basis,all,1,21,20,25,0,25,0,0.5
2091_basis,all,1,23,22,43,0,43,0,0.5
2091_basis,all,2,3,1,3063,100,2873,90,0.5016323865491349
2091_basis,all,2,4,2,1234,60,1059,115,0.47771474878444087
2091_basis,all,2,5,3,695,4,582,109,0.4244604316546763
2091_basis,all,2,6,4,463,18,396,49,0.46652267818574517
2091_basis,all,2,7,5,522,39,433,50,0.48946360153256707
2091_basis,all,2,8,6,265,22,214,29,0.4867924528301887
2091_basis,all,2,9,7,71,0,71,0,0.5
2091_basis,all,2,10,8,96,0,96,0,0.5
2091_basis,all,2,11,9,3,0,3,0,0.5
2091_basis,all,2,12,10,103,0,61,42,0.2961165048543689
2091_basis,all,2,13,11,28,0,26,2,0.4642857142857143
2091_basis,all,2,14,12,58,0,10,48,0.08620689655172414
2091_basis,all,2,15,13,64,0,45,19,0.3515625
2091_basis,all,2,17,15,43,0,43,0,0.5
2091_basis,all,2,19,17,5,0,5,0,0.5
2091_basis,all,2,20,18,5,0,5,0,0.5
2091_basis,all,2,22,20,25,0,25,0,0.5
2091_basis,all,2,24,22,43,0,43,0,0.5
2091_basis,all,3,4,1,2166,55,1955,156,0.47668513388734995
2091_basis,all,3,5,2,604,67,537,0,0.5554635761589404
2091_basis,all,3,6,3,294,0,292,2,0.4965986394557823
2091_basis,all,3,7,4,342,55,275,12,0.5628654970760234
2091_basis,all,3,8,5,339,0,300,39,0.4424778761061947
2091_basis,all,3,9,6,196,0,196,0,0.5
2091_basis,all,3,10,7,71,0,24,47,0.16901408450704225
2091_basis,all,3,11,8,55,0,55,0,0.5
2091_basis,all,3,12,9,3,0,3,0,0.5
2091_basis,all,3,13,10,59,0,59,0,0.5
2091_basis,all,3,14,11,26,5,0,21,0.19230769230769232
2091_basis,all,3,16,13,45,45,0,0,1.0
2091_basis,all,3,18,15,43,0,43,0,0.5
2091_basis,all,3,20,17,5,0,5,0,0.5
2091_basis,all,3,21,18,5,5,0,0,1.0
2091_basis,all,3,23,20,25,0,25,0,0.5
2091_basis,all,3,25,22,43,0,43,0,0.5
2091_basis,all,4,5,1,1179,51,1107,21,0.5127226463104325
2091_basis,all,4,6,2,377,113,241,23,0.6193633952254642
2091_basis,all,4,7,3,155,0,155,0,0.5
2091_basis,all,4,8,4,179,0,179,0,0.5
2091_basis,all,4,9,5,220,90,130,0,0.7045454545454546
2091_basis,all,4,10,6,196,0,175,21,0.44642857142857145
2091_basis,all,4,11,7,24,0,11,13,0.22916666666666666
2091_basis,all,4,12,8,55,0,55,0,0.5
2091_basis,all,4,14,10,59,11,48,0,0.5932203389830508
2091_basis,all,4,19,15,43,0,43,0,0.5
2091_basis,all,4,26,22,43,0,43,0,0.5
2091_basis,all,5,6,1,667,44,586,37,0.5052473763118441
2091_basis,all,5,7,2,214,1,167,46,0.39485981308411217
2091_basis,all,5,8,3,91,0,91,0,0.5
2091_basis,all,5,9,4,93,0,72,21,0.3870967741935484
2091_basis,all,5,10,5,79,0,79,0,0.5
2091_basis,all,5,11,6,127,41,86,0,0.6614173228346457
2091_basis,all,5,12,7,11,6,5,0,0.7727272727272727
2091_basis,all,5,13,8,55,1,54,0,0.509090909090909
2091_basis,all,5,15,10,48,0,48,0,0.5
2091_basis,all,5,20,15,43,0,43,0,0.5
2091_basis,all,6,7,1,353,26,317,10,0.5226628895184136
2091_basis,all,6,8,2,164,0,164,0,0.5
2091_basis,all,6,9,3,62,0,62,0,0.5
2091_basis,all,6,10,4,53,0,53,0,0.5
2091_basis,all,6,11,5,79,11,68,0,0.569620253164557
2091_basis,all,6,12,6,86,17,69,0,0.5988372093023255
2091_basis,all,6,13,7,5,0,5,0,0.5
2091_basis,all,6,14,8,54,0,54,0,0.5
2091_basis,all,6,21,15,43,0,43,0,0.5
2091_basis,all,7,8,1,225,28,197,0,0.5622222222222222
2091_basis,all,7,9,2,162,0,162,0,0.5
2091_basis,all,7,10,3,54,46,8,0,0.9259259259259259
2091_basis,all,7,11,4,5,0,0,5,0.0
2091_basis,all,7,12,5,68,0,68,0,0.5
2091_basis,all,7,13,6,41,0,41,0,0.5
2091_basis,all,7,14,7,5,0,5,0,0.5
2091_basis,all,7,15,8,54,43,11,0,0.8981481481481481
