dataset,triad_index,source_0,source_1,source_2,unique_sources,semantic_roles_assigned
2091_basis,1,2091_basis|BTC|2024|0,2091_basis|BTC|2024|10000,2091_basis|BTC|2024|11000,3,0
2091_basis,2,2091_basis|BTC|2024|12000,2091_basis|BTC|2024|13000,2091_basis|BTC|2024|14000,3,0
2091_basis,3,2091_basis|BTC|2024|15000,2091_basis|BTC|2024|2000,2091_basis|BTC|2024|3000,3,0
2091_basis,4,2091_basis|BTC|2024|5000,2091_basis|BTC|2024|6000,2091_basis|BTC|2024|7000,3,0
2091_basis,5,2091_basis|BTC|2024|8000,2091_basis|BTC|2024|9000,2091_basis|BTC|2025|0,3,0
2091_basis,6,2091_basis|BTC|2025|10000,2091_basis|BTC|2025|11000,2091_basis|BTC|2025|14000,3,0
2091_basis,7,2091_basis|BTC|2025|15000,2091_basis|BTC|2025|3000,2091_basis|BTC|2025|4000,3,0
2091_basis,8,2091_basis|BTC|2025|5000,2091_basis|BTC|2025|6000,2091_basis|BTC|2025|9000,3,0
2091_basis,9,2091_basis|SOL|2024|0,2091_basis|SOL|2024|1000,2091_basis|SOL|2024|11000,3,0
2091_basis,10,2091_basis|SOL|2024|12000,2091_basis|SOL|2024|14000,2091_basis|SOL|2024|15000,3,0
2091_basis,11,2091_basis|SOL|2024|3000,2091_basis|SOL|2024|4000,2091_basis|SOL|2024|5000,3,0
2091_basis,12,2091_basis|SOL|2024|6000,2091_basis|SOL|2024|7000,2091_basis|SOL|2024|8000,3,0
2091_basis,13,2091_basis|SOL|2024|9000,2091_basis|SOL|2025|10000,2091_basis|SOL|2025|11000,3,0
2091_basis,14,2091_basis|SOL|2025|12000,2091_basis|SOL|2025|13000,2091_basis|SOL|2025|14000,3,0
2091_basis,15,2091_basis|SOL|2025|2000,2091_basis|SOL|2025|3000,2091_basis|SOL|2025|4000,3,0
2091_basis,16,2091_basis|SOL|2025|5000,2091_basis|SOL|2025|6000,2091_basis|SOL|2025|9000,3,0
2092_holdout,1,2092_holdout|DOGE|2024|0,2092_holdout|DOGE|2024|1000,2092_holdout|DOGE|2024|2000,3,0
2092_holdout,2,2092_holdout|DOGE|2024|3000,2092_holdout|DOGE|2024|4000,2092_holdout|DOGE|2024|6000,3,0
2092_holdout,3,2092_holdout|DOGE|2024|7000,2092_holdout|DOGE|2024|8000,2092_holdout|DOGE|2025|1000,3,0
2092_holdout,4,2092_holdout|DOGE|2025|3000,2092_holdout|DOGE|2025|4000,2092_holdout|DOGE|2025|5000,3,0
2092_holdout,5,2092_holdout|DOGE|2025|6000,2092_holdout|DOGE|2025|7000,2092_holdout|DOGE|2025|8000,3,0
2092_holdout,6,2092_holdout|DOGE|2025|9000,2092_holdout|PAXG|2024|0,2092_holdout|PAXG|2024|2000,3,0
2092_holdout,7,2092_holdout|PAXG|2024|3000,2092_holdout|PAXG|2024|4000,2092_holdout|PAXG|2024|5000,3,0
2092_holdout,8,2092_holdout|PAXG|2024|6000,2092_holdout|PAXG|2024|7000,2092_holdout|PAXG|2024|8000,3,0
2092_holdout,9,2092_holdout|PAXG|2024|9000,2092_holdout|PAXG|2025|1000,2092_holdout|PAXG|2025|2000,3,0
2092_holdout,10,2092_holdout|PAXG|2025|3000,2092_holdout|PAXG|2025|5000,2092_holdout|PAXG|2025|6000,3,0
2092_holdout,11,2092_holdout|PAXG|2025|7000,2092_holdout|XRP|2024|0,2092_holdout|XRP|2024|1000,3,0
2092_holdout,12,2092_holdout|XRP|2024|2000,2092_holdout|XRP|2024|3000,2092_holdout|XRP|2024|5000,3,0
2092_holdout,13,2092_holdout|XRP|2024|7000,2092_holdout|XRP|2024|8000,2092_holdout|XRP|2025|0,3,0
2092_holdout,14,2092_holdout|XRP|2025|1000,2092_holdout|XRP|2025|2000,2092_holdout|XRP|2025|4000,3,0
2092_holdout,15,2092_holdout|XRP|2025|6000,2092_holdout|XRP|2025|9000,2092_holdout|DOGE|2024|0,3,0
