dataset,control,phase,metric,observed,null_mean,null_sd,null_min,null_max,observed_minus_null_mean,lower_empirical_p,upper_empirical_p,two_sided_empirical_p,permutations,seed
2091_basis,world_activity_event_age_and_support_trajectory_preserving,all,depth_change_share,0.8108529991911337,0.8101946955398828,0.045971521692121715,0.6807248577388639,0.921369680284948,0.0006583036512509688,0.48514851485148514,0.5247524752475248,0.9702970297029703,100,2102
2091_basis,world_activity_event_age_and_support_trajectory_preserving,all,mean_absolute_depth_change,1.7133065603314932,1.7826503852757951,0.1851921230599288,1.3657494784940896,2.338489264783096,-0.06934382494430191,0.3465346534653465,0.6633663366336634,0.693069306930693,100,2102
2091_basis,world_activity_event_age_and_support_trajectory_preserving,all,mean_world_depth_change_share,0.8297759563770243,0.8144707686275185,0.03757446010510628,0.7289966467661695,0.9015620796978076,0.015305187749505733,0.6633663366336634,0.3465346534653465,0.693069306930693,100,2102
2091_basis,world_activity_event_age_and_support_trajectory_preserving,first_half,depth_change_share,0.8126350245499182,0.8120091653027823,0.05491976912326046,0.6612111292962357,0.9243862520458265,0.0006258592471358737,0.5247524752475248,0.48514851485148514,0.9702970297029703,100,2102
2091_basis,world_activity_event_age_and_support_trajectory_preserving,first_half,mean_absolute_depth_change,1.7578396072013094,1.7988425531914893,0.19563044554154005,1.3442225859247137,2.282356792144026,-0.04100294599017995,0.45544554455445546,0.5544554455445545,0.9108910891089109,100,2102
2091_basis,world_activity_event_age_and_support_trajectory_preserving,first_half,mean_world_depth_change_share,0.832956064481248,0.8217193192216274,0.04155648252628781,0.6999116482875627,0.9103497144430722,0.011236745259620595,0.6138613861386139,0.39603960396039606,0.7920792079207921,100,2102
2091_basis,world_activity_event_age_and_support_trajectory_preserving,second_half,depth_change_share,0.8103598217197522,0.809692539044099,0.05313917307211463,0.6461209551762873,0.9311881726274595,0.0006672826756531913,0.4752475247524752,0.5346534653465347,0.9504950495049505,100,2102
2091_basis,world_activity_event_age_and_support_trajectory_preserving,second_half,mean_absolute_depth_change,1.700981990796101,1.7781691850563468,0.2240212002401369,1.2620755879262238,2.3832119433271735,-0.07718719426024578,0.36633663366336633,0.6435643564356436,0.7326732673267327,100,2102
2091_basis,world_activity_event_age_and_support_trajectory_preserving,second_half,mean_world_depth_change_share,0.8267946050293147,0.8076752524455416,0.05099359023420689,0.6729985589691551,0.9243682322059024,0.019119352583773064,0.6732673267326733,0.33663366336633666,0.6732673267326733,100,2102
2092_holdout,world_activity_event_age_and_support_trajectory_preserving,all,depth_change_share,0.7773871519617981,0.7745064014588934,0.04795476065334969,0.6099904119117896,0.8940234250155101,0.0028807505029047054,0.5445544554455446,0.46534653465346537,0.9306930693069307,100,2103
2092_holdout,world_activity_event_age_and_support_trajectory_preserving,all,mean_absolute_depth_change,1.6052527683254687,1.6046925231712132,0.15621302520993788,1.2896542648192364,2.1052245680660264,0.0005602451542554565,0.504950495049505,0.504950495049505,1.0,100,2103
2092_holdout,world_activity_event_age_and_support_trajectory_preserving,all,mean_world_depth_change_share,0.8252855294926783,0.7858287887618408,0.03685053826527172,0.6529446495423854,0.8722770668342373,0.03945674073083749,0.8712871287128713,0.13861386138613863,0.27722772277227725,100,2103
2092_holdout,world_activity_event_age_and_support_trajectory_preserving,first_half,depth_change_share,0.7985290254793801,0.7773259784607303,0.062408104200360505,0.6312056737588653,0.8944926013483933,0.021203047018649834,0.6633663366336634,0.3465346534653465,0.693069306930693,100,2103
2092_holdout,world_activity_event_age_and_support_trajectory_preserving,first_half,mean_absolute_depth_change,1.4872603099553454,1.602417476578233,0.1755649910679177,1.2580334471587427,2.0912354434813065,-0.11515716662288766,0.27722772277227725,0.7326732673267327,0.5544554455445545,100,2103
2092_holdout,world_activity_event_age_and_support_trajectory_preserving,first_half,mean_world_depth_change_share,0.8638432526747123,0.7967008020631979,0.04315575497660354,0.6988152666880164,0.8827374535296262,0.06714245061151436,0.9207920792079208,0.0891089108910891,0.1782178217821782,100,2103
2092_holdout,world_activity_event_age_and_support_trajectory_preserving,second_half,depth_change_share,0.7716064160881015,0.773735456068949,0.05845464683956556,0.5862101987072061,0.9221690208283457,-0.002129039980847458,0.45544554455445546,0.5544554455445545,0.9108910891089109,100,2103
2092_holdout,world_activity_event_age_and_support_trajectory_preserving,second_half,mean_absolute_depth_change,1.6375149628920278,1.6053145798419919,0.19247251635492915,1.1921953555183147,2.143093129039981,0.03220038305003592,0.5742574257425742,0.43564356435643564,0.8712871287128713,100,2103
2092_holdout,world_activity_event_age_and_support_trajectory_preserving,second_half,mean_world_depth_change_share,0.7892983211894465,0.7756815763472409,0.05731516016583127,0.5741516544064077,0.9213582841550636,0.013616744842205653,0.594059405940594,0.4158415841584158,0.8316831683168316,100,2103
