dataset,scope,streams,mean_candidate_shape_distance,median_candidate_shape_distance,mean_candidate_all_percentile,median_candidate_all_percentile,candidate_above_own_midrank_share,mean_candidate_source_percentile,mean_candidate_target_percentile,minimum_all_transition_count,median_all_transition_count,maximum_all_transition_count,position_null_permutations,position_null_mean_percentile,position_null_max_percentile,candidate_high_salience_position_p,candidate_low_change_position_p,candidate_two_sided_position_p,episode_shapes_strength_normalized,exact_distance_ties_preserved,contact_boundary_visible_to_field,contact_boundary_visible_to_segmenter,contact_candidate_selected_posthoc,fixed_salience_threshold_used,field_learning_used,memory_read,memory_written,influences_action
2091_basis,all,768,1.0071100441234382,0.9039938556067588,0.3799021390203522,0.320032956685499,0.32421875,0.3823254372097678,0.3770768563744064,337,371.0,404,4096,0.5001505103797669,0.5370211201077464,1.0,0.000244081034903588,0.000488162069807176,1,1,0,0,1,0,0,0,0,0
2091_basis,universe_a,384,0.9806638463772641,0.878413540482506,0.36111838535147434,0.2956503728251864,0.3125,0.36496741463140164,0.3568304184986896,337,371.0,404,4096,0.5000990775071692,0.5560667519021261,1.0,0.000244081034903588,0.000488162069807176,1,1,0,0,1,0,0,0,0,0
2091_basis,universe_b,384,1.0335562418696123,0.9278589619209313,0.39868589268923,0.3377292949230071,0.3359375,0.399683459788134,0.39732329425012314,342,371.0,400,4096,0.5002433564415768,0.5497508724191361,1.0,0.000244081034903588,0.000488162069807176,1,1,0,0,1,0,0,0,0,0
2091_basis,crossing,640,0.9890259005211574,0.8888888888888888,0.3691134462841221,0.310425488798513,0.3046875,0.3730780674855247,0.3645668149905992,337,371.0,404,4096,0.5001773000079277,0.5446970770106689,1.0,0.000244081034903588,0.000488162069807176,1,1,0,0,1,0,0,0,0,0
2091_basis,no_crossing,128,1.0975307621348422,1.0949122807017542,0.43384560270150246,0.4271287563214868,0.421875,0.4285622858309834,0.43962706329344237,348,376.0,401,4096,0.5003552602468085,0.5906669970288078,0.9948742982670247,0.005369782767878936,0.010739565535757872,1,1,0,0,1,0,0,0,0,0
2092_holdout,all,704,1.1277383392252815,1.1,0.46333234574658777,0.4626435003780848,0.4559659090909091,0.47625741008831696,0.45112485527504387,329,370.5,415,4096,0.5001916533749985,0.5354286238864358,0.9997559189650964,0.000488162069807176,0.000976324139614352,1,1,0,0,1,0,0,0,0,0
2092_holdout,universe_a,352,1.312379532156717,1.3333333333333333,0.577384605040112,0.6183910429193449,0.6420454545454546,0.5940321785253266,0.5622576805171015,329,372.0,415,4096,0.49995525233797355,0.5591739712833557,0.000244081034903588,1.0,0.000488162069807176,1,1,0,0,1,0,0,0,0,0
2092_holdout,universe_b,352,0.943097146293846,0.8811764705882353,0.3492800864530636,0.31055320522013485,0.26988636363636365,0.3584826416513074,0.33999203003298634,329,370.0,415,4096,0.5002109514857248,0.5537107409200508,1.0,0.000244081034903588,0.000488162069807176,1,1,0,0,1,0,0,0,0,0
2092_holdout,crossing,592,1.119678384300747,1.064366376866377,0.45774863099310537,0.4536034028369894,0.4375,0.47195993544999226,0.44431216402003654,329,369.0,415,4096,0.49973617160926787,0.548400410432541,0.9997559189650964,0.000488162069807176,0.000976324139614352,1,1,0,0,1,0,0,0,0,0
2092_holdout,no_crossing,112,1.1703409581121074,1.25,0.49284626658642344,0.5544311594202899,0.5535714285714286,0.4989726331766046,0.4871347947657969,355,378.0,403,4096,0.5004097306210713,0.6129629643147958,0.6067854527703197,0.39345862826458383,0.7869172565291677,1,1,0,0,1,0,0,0,0,0
