sequence,group,metric,count,minimum,p25,median,p75,maximum,mean
forward,strict_core,world_pair_count,26,39.0,106.25,391.0,788.75,2125.0,541.8461538461538
forward,strict_core,world_count,26,14.0,25.25,45.5,64.5,81.0,47.03846153846154
forward,strict_core,growth_seen_count,26,11.0,23.0,44.0,59.75,79.0,43.69230769230769
forward,strict_core,scope_count,26,3.0,3.0,3.0,3.0,3.0,3.0
forward,strict_core,scope_balance,26,0.16781292984869325,0.34875930521091814,0.5608805688346121,0.7320599960786877,0.8605664488017429,0.5483340323795678
forward,strict_core,pair_density,26,0.18358395989974938,0.30326484018264843,0.3653013653013653,0.5213650703057384,0.6724683544303798,0.39708770838074553
forward,strict_core,confirmation_ratio,26,0.15492957746478872,0.30720588235294116,0.5604707792207793,0.7836637047163363,0.9875,0.5666024330518226
forward,strict_core,recency_score,26,0.2,0.5,1.0,1.0,1.0,0.7942307692307692
forward,periphery,world_pair_count,2020,1.0,1.0,2.0,9.0,1318.0,15.317326732673267
forward,periphery,world_count,2020,2.0,2.0,3.0,9.0,81.0,8.110891089108911
forward,periphery,growth_seen_count,2020,1.0,1.0,2.0,5.0,75.0,5.2693069306930695
forward,periphery,scope_count,2020,1.0,1.0,2.0,3.0,3.0,1.757920792079208
forward,periphery,scope_balance,2020,0.002770083102493075,0.5,1.0,1.0,1.0,0.7723076006766328
forward,periphery,pair_density,2020,0.03225806451612903,0.2857142857142857,0.6666666666666666,1.0,1.0,0.5983974414593679
forward,periphery,confirmation_ratio,2020,0.0125,0.04,0.07692307692307693,0.16279069767441862,1.0,0.1419114315052144
forward,periphery,recency_score,2020,0.0125,0.038461538461538464,0.09090909090909091,0.25,1.0,0.20731199218517035
reverse,strict_core,world_pair_count,26,34.0,112.25,371.5,767.25,2130.0,542.2307692307693
reverse,strict_core,world_count,26,15.0,25.25,46.0,65.25,81.0,46.65384615384615
reverse,strict_core,growth_seen_count,26,12.0,21.75,41.5,58.75,78.0,42.73076923076923
reverse,strict_core,scope_count,26,3.0,3.0,3.0,3.0,3.0,3.0
reverse,strict_core,scope_balance,26,0.17507002801120447,0.37578053148748725,0.5718340611353712,0.7583920907418761,0.9318181818181818,0.5674737051657124
reverse,strict_core,pair_density,26,0.18609022556390978,0.30769230769230765,0.40107526881720434,0.5235119047619048,0.691333982473223,0.402623885346974
reverse,strict_core,confirmation_ratio,26,0.15584415584415584,0.30608108108108106,0.5493143459915611,0.7497401247401247,1.0,0.5547311841970223
reverse,strict_core,recency_score,26,0.16666666666666666,0.5,1.0,1.0,1.0,0.7737179487179487
reverse,periphery,world_pair_count,2059,1.0,1.0,2.0,8.5,1302.0,15.052938319572608
reverse,periphery,world_count,2059,2.0,2.0,3.0,9.0,81.0,8.013598834385624
reverse,periphery,growth_seen_count,2059,1.0,1.0,2.0,5.0,75.0,5.1486158329286065
reverse,periphery,scope_count,2059,1.0,1.0,2.0,3.0,3.0,1.7537639630888782
reverse,periphery,scope_balance,2059,0.003067484662576687,0.5,1.0,1.0,1.0,0.775611773874186
reverse,periphery,pair_density,2059,0.03225806451612903,0.2857142857142857,0.6666666666666666,1.0,1.0,0.6068796579780125
reverse,periphery,confirmation_ratio,2059,0.012987012987012988,0.04,0.07692307692307693,0.1710801393728223,1.0,0.13588978443265742
reverse,periphery,recency_score,2059,0.012987012987012988,0.034482758620689655,0.09090909090909091,0.25,1.0,0.22582055047841085
