sequence,from_position,to_position,shared_relations,depth_spearman,normalized_depth_spearman,same_depth,mean_absolute_normalized_change
forward,10,20,240,0.8209485867532724,0.8209485867532724,7,0.1268107769423559
forward,20,40,482,0.8251477333426196,0.8251477333426196,29,0.13882403903150792
forward,40,60,952,0.9065076906066926,0.9065076906066926,35,0.07156189398836457
forward,60,81,1591,0.9422982862848275,0.9422982862848275,64,0.04452028999152623
reverse,10,20,190,0.8108043567637471,0.8108043567637471,13,0.1555023923444976
reverse,20,40,421,0.8288067875681366,0.8288067875681366,19,0.14642065948479252
reverse,40,60,928,0.932089996956874,0.932089996956874,32,0.07745265988800472
reverse,60,81,1541,0.9307837888577339,0.9307837888577339,87,0.04598183267878272
